ID	AUTHOR	YEAR	LIST_SUFFIX	ITEMS	TAGS	SOURCE_LANGUAGE	TARGET_LANGUAGE	URL	REFS	PDF	NOTE	PAGES	ALIAS
Zhao-2006-201	Zhào, Yànzhēn 趙燕珍	2006		201	basic	Chinese	Zhaozhuang Bai		Zhao2006		This is a concept list prepared to illustrate basic lexemes in Zhaozhuang Bai, a Southern Bai variety spoken in the South of Dali in Yunnan (China). The author intended to use Swadesh's [list of 200 items](:ref:Swadesh-1952-200), but there are a few derivations. Interestingly, some concepts are also identical (like the Chinese items for SKY and DAY (NOT NIGHT)), due to ambiguities in the glossing language. Furthermore, as in many Chinese lists, we observe a wrong translation from DULL, being rendered as STUPID rather than DULL of a knife.		
Savelyev-2020-254	Savelyev, Alexander and Robbeets, Martine	2020		254	basic	English	Turkic languages	https://zenodo.org/record/3555174/files/turkic_alignment.tsv?download=1	Savelyev2020		This concept list, which extends the classical [Swadesh list of 200 items](:ref:Swadesh-1952-200) by the [Leipzig-Jakarta list](:ref:Tadmor-2009-100) was used for a phylogenetic study on Turkic languages.		
Carling-2019-99	Carling, Gerd and Cronhamn, Sandra and Farren, Robert and Aliyev, Elnur and Frid, Johan	2019		99	lolo,ranked	English	Global	https://doi.org/10.1371/journal.pone.0223588.s005	Carling2019		This is a ranked list of concepts that are supposed to be rather prone to borrowing. The ranking stem from an analysis of borrowing frequencies, assessed by means of a manual tagging of those words that were found to be borrowings in the database. The data are ranked from the highest to the lowest degree of borrowability.		
Ceolin-2019-168	Ceolin, Andrea	2019		168	basic	English	Altaic	https://github.com/AndreaCeolin/Significant-Testing-of-Altaic/	Ceolin2019		This list was used to investigate experiments on significance testing of language relatedness. The list is basically oriented towards the [200-item list of Swadesh](:ref:Swadesh-1952-200), but discards some of the items for reasons mentioned in detail in the paper.		
Rojas-2019-5	Rojas-Berscia, Luis Miguel and Roberts, Sean	2019		5	specific	English	Southern American Languages	https://github.com/seannyD/BersciaHistoryOfPronounsInSouthAmerica	Rojas2019		This very small list if five pronoun terms was used for a phylogenetic study in South American languages.		
Wang-2004-471	Wang, Feng	2004		471	questionnaire,basic	English,Chinese	Bai dialects (Tibeto-Burman)		Wang2004b		This concept list was used for a study on Bai dialects, based on original field work by the author. The thesis was published officially two years later ([Wang 2006](:bib:Wang2006)), potentially with small modifications. The seemingly inconsistent numbering of concepts indicates a probably larger questionnaire underlying the data which was published in the end. In some cases, English glosses were missing or not complete. We have added them and indicated this by putting them in square brackets.		
Bodt-2019-664	Bodt, Timotheus A. and List, Johann-Mattis	2019		664	questionnaire,proto-language	English	Kho-Bwa (Tibeto-Burman)		Bodt2019		This list was extracted from a larger questionnaire for fieldwork of the Western Kho-Bwa languages and later assembled for a prediction experiment.		
Sagart-2019-250	Sagart, Laurent and Jacques, Guillaume and Lai, Yunfan and Ryder, Robin and Thouzeau, Valentin and Greenhill, Simon J. and List, Johann-Mattis	2019		250	basic	English	Sino-Tibetan	http://dighl.github.io/sinotibetan/	Sagart2019		This list was used for a phylogenetic study on Sino-Tibetan languages. As the items were selected by taking the list of [Huang et al. (1992)](:ref:Huang-1992-1820) as reference, it also indicates to which item of this list the supposed items correspond.	242-253	
SoHartmann-1988-280	So-Hartmann, Helga	1988		280	basic	English	Chin varieties (Tibeto-Burman)		SoHartmann1988		This list was used for a study of Chin varieties, which was later digitized as part of the [STEDT](https://stedt.berkeley.edu/) project.		
Castro-2010-511	Castro, Andy and Hansen, Bruce	2010		511	questionnaire	English,Chinese	Zhuang dialects (Tai-Kadai)		Castro2010a		This list provides a rather large range of concepts used for a mutual intelligibility survey of Zhuang dialects of the Hongshui He area.	60-107	
Castro-2010-540	Andy Castro and Brian Crook and Royce Flaming	2010		540	questionnaire	English,Chinese	Yi dialects (Tibeto-Burman)		Castro2010		This list was used for a sociolinguistic survey of closely related Yi varieties spoken in the Heqing province in Yunnan (China).	61-92	
Chen-2012-888	Chén, Qíguāng 陳其光	2012		888	questionnaire	Chinese	Hmong-Mien languages		Chen2012		This very long and only partially linked list is based on a survey of Hmong-Mian languages, which was particularly focusing on historical language comparison. The English glosses were added by us, by comparing specifically which glosses other scholars from China used in their collections where they provided English glosses.	567-862	
Huang-1992-1820	Huáng, Bùfán 黃布凡	1992		1820	questionnaire	Chinese,English	Sino-Tibetan languages		Huang1992		This extremely long and only marginally linked concept list is taken from the very influential survey of Sino-Tibetan (or Tibeto-Burman) languages published in 1992. The data has also been digitized by the [STEDT](https://stedt.berkeley.edu/) project, but in this version, the Chinese elicitation glosses are not provided. For the version we list here, Doug Cooper provided a digitized version of the Chinese glosses.	1-608	TBL
Lama-2012-301	Lama, Ziwo Qiu-Fuyuan	2012		301	basic, proto-language	Chinese,English	Yi (Tibeto-Burman)		Lama2012		This list was used for the initial proposal of a subgrouping for the Nisoic or Yi subgroup of Tibeto-Burman. The numbering starts with 0, which is why the list contains a total of 300 items. Data was taken from different sources, which may also have influenced the choice of concepts.		
Walworth-2018-215	Walworth, Mary and Shimelman, Aviva	2018		215	basic,areal	English,Bislama	Vanuatu languages		Walworth2018		This list is closely related to the basic wordlist of the [Austronesian Basic Vocabulary Database](:ref:Blust-2008-210), but it lists additional personal pronouns.		Vanuatu Basic Words
Hale-1973-1798	Hale, Austin	1973		1798	questionnaire,areal	English	Languages spoken in Nepal		Hale1973		This huge questionnaire is based on a large survey of languages in Nepal.		
Castro-2015-608	Castro, Andy and Pan, Xingwen	2015		608	questionnaire,areal	English,Chinese	Sui	https://www.sil.org/resources/publications/entry/64425	Castro2015	Castro2015	This large concept list was used as the basis for a detailed investigation of Sui dialects. The study was first published in Chinese and later translated into English. Andy Castro was so friendly to share his bilingual concept list with us. This facilitated the concept mapping process greatly, although we could not map all concepts to Concepticon.	377-382	
Perrin-2010-110	Perrin, Loïc-Michel	2010		110	annotated	English,German,French	Global	https://journals.dartmouth.edu/cgi-bin/WebObjects/Journals.woa/xmlpage/1/article/353?htmlOnce=yes	Perrin2010	Perrin2010	This list was used as an initial questionnaire for colexification studies on a world-wide sample of languages.	276f	
Sun-1991-1004	Sun, Hongkai et al.	1991		1004	questionnaire	English,Chinese	Tibeto-Burman languages	http://stedt.berkeley.edu/~stedt-cgi/rootcanal.pl	Sun1991		This concept list originally served as a questionnaire for a large-scale investigation on Tibeto-Burman languages. The original questionnaire was in Chinese with no English translation. Later the [STEDT project](:bib:Matisoff2015) digitized the data, translating Chinese concept labels to English, but not listing the original Chinese forms. As a result, some concept labels are identical, although they are different in the Chinese version. We are still trying to add the original Chinese concept labels to this resource, but for the moment, we only link the STEDT version, occasionally adding Chinese concept labels, where we figure they are important to distinguish the original meaning.		
Robinson-2012-398	Robinson, Laura C and Holton, Gary	2012		398	basic	English	Alor-Pantar languages	http://booksandjournals.brillonline.com/content/journals/10.1163/22105832-20120201	Robinson2012		The authors inform that the list is built upon the about 400 items of [Holton (2012)](:bib:Holton2012), but this source did not submit the dataset.		
