ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	OMEGAWIKI
Alpher-1999-151-1	1886	ARMPIT	1	armpit	818235
Alpher-1999-151-2	646	ASH	2	ashes	264
Alpher-1999-151-3	1251	BELLY	3	belly	5516
Alpher-1999-151-4	1202	BIG	4	big	5437
Alpher-1999-151-5	1403	BITE	5	bite	5993
Alpher-1999-151-6	163	BLACK	6	black	1341728
Alpher-1999-151-7	946	BLOOD	7	blood	411
Alpher-1999-151-8	1394	BONE	8	bone	5983
Alpher-1999-151-9	1402	BREAST	9	breast	5992
Alpher-1999-151-10	1428	BURN	10	to burn (intr.)	6039
Alpher-1999-151-11	1685	AFTER	11	by-and-by	6944
Alpher-1999-151-12	1592	CHEST	12	chest	6532
Alpher-1999-151-13	1102	CLIMB	13	to climb	479387
Alpher-1999-151-14	1839	CRY	14	to cry	7709
Alpher-1999-151-15	1432	CUT	15	to cut	6043
Alpher-1999-151-16	2009	DOG	16	dog	966
Alpher-1999-151-17	1326	DOWN	17	down, below	5797
	1485	BELOW, UNDER	17	down, below	6199
Alpher-1999-151-18	1247	EAR	18	ear	5510
Alpher-1999-151-19	1877	EAST	19	east	8131
Alpher-1999-151-20	1336	EAT	20	to eat	5827
Alpher-1999-151-21	744	EGG	21	egg	340828
Alpher-1999-151-22	981	ELBOW	22	elbow	422180
Alpher-1999-151-23	676	SHIT	23	excrement	332137
Alpher-1999-151-24	1248	EYE	24	eye	5511
Alpher-1999-151-25	1280	FALL	25	to fall	5622
Alpher-1999-151-26	1406	FAR	26	far	5997
Alpher-1999-151-27	1282	FAT, SUBSTANCE	27	fat, grease	5624
	323	GREASE	27	fat, grease	1510501
Alpher-1999-151-28	1258	FINGERNAIL	28	fingernail	5529
Alpher-1999-151-29	221	FIRE	29	fire	1446
Alpher-1999-151-30	1504	FLY, INSECT	30	fly (N)	6261
Alpher-1999-151-31	256	FOOD	31	vegetable food	1505
Alpher-1999-151-32	1301	FOOT	32	foot	5672
Alpher-1999-151-33	123	FOREHEAD	33	forehead	1241509
Alpher-1999-151-34	371	PICK UP	34	to get, pick up	1511027
	694	GET	34	to get, pick up	334733
Alpher-1999-151-35	1447	GIVE	35	to give	6059
Alpher-1999-151-36	695	GO	36	to go	334831
Alpher-1999-151-37	690	BOTTOM	37	ground	334481
Alpher-1999-151-38	1277	HAND	38	hand	5616
Alpher-1999-151-39	1256	HEAD	39	head	5527
Alpher-1999-151-40	1040	HAIR	40	head hair	446278
Alpher-1999-151-41	1408	HEAR	41	hear	5999
Alpher-1999-151-42	1223	HEART	42	heart	5475
Alpher-1999-151-43	1433	HIT	43	to hit (with hand)	6044
Alpher-1999-151-44	1533	BE HUNGRY	44	hungry	6345
Alpher-1999-151-45	1209	I	45	I	5450
Alpher-1999-151-46	1371	KNEE	46	knee	5918
Alpher-1999-151-47	628	LEAF	47	leaf	2124
Alpher-1999-151-48	1097	ABANDON	48	to leave it	478269
Alpher-1999-151-49	1224	LIVER	49	liver	5476
Alpher-1999-151-50	1203	LONG	50	long	5438
Alpher-1999-151-51	1411	LIE, REST	51	to be lying down	6005
Alpher-1999-151-52	1198	MANY	52	many	5423
Alpher-1999-151-53	634	MEAT	53	meat, animal	2300
	619	ANIMAL	53	meat, animal	194
Alpher-1999-151-54	1313	MOON	54	moon	5729
Alpher-1999-151-55	674	MOUTH	55	mouth	332000
Alpher-1999-151-56	1405	NAME	56	name	5995
Alpher-1999-151-57	1347	NAPE OF NECK	57	nape	5862
Alpher-1999-151-58	1598	NORTH	58	north	6550
Alpher-1999-151-59	1221	NOSE	59	nose	5471
Alpher-1999-151-60	1376	NOW	60	now, today	5936
	1283	TODAY	60	now, today	5630
Alpher-1999-151-61	406	OLD MAN	61	old man	1526622
Alpher-1999-151-62	1493	ONE	62	one	6244
Alpher-1999-151-63	683	PERSON	63	person, Aborigine	333730
Alpher-1999-151-64	801	RIB	64	rib	348225
Alpher-1999-151-65	1728	ROTTEN	65	rotten	7031
Alpher-1999-151-66	1409	SEE	66	to see	6003
Alpher-1999-151-67	1645	SHORT	67	short	6746
Alpher-1999-151-68	1416	SIT	68	to sit	6022
Alpher-1999-151-69	763	SKIN	69	skin	3430
Alpher-1999-151-70	1732	SKY	70	sky	7039
Alpher-1999-151-71	1246	SMALL	71	small	5509
Alpher-1999-151-72	1586	SMELL, PERCEIVE	72	to smell it	6520
Alpher-1999-151-73	778	SMOKE, EXHAUST	73	smoke	3451
Alpher-1999-151-74	730	SNAKE	74	snake	3388
Alpher-1999-151-75	1595	SOUTH	75	south	6542
Alpher-1999-151-76	1623	SPEAK	76	to speak	6656
Alpher-1999-151-77	945	SPEAR	77	spear (N)	408915
Alpher-1999-151-78	1503	SALIVA	78	spit (N)	6259
Alpher-1999-151-79	1442	STAND	79	to be standing	6053
Alpher-1999-151-80	1430	STAR	80	star	6041
Alpher-1999-151-81	857	STONE	81	stone	3633
Alpher-1999-151-82	1343	SUN	82	sun	5850
Alpher-1999-151-83	1220	TAIL	83	tail	5468
Alpher-1999-151-84	800	THIGH	84	thigh	348189
Alpher-1999-151-85	1214	THIS	85	this	5458
Alpher-1999-151-86	1346	THROAT	86	throat	5861
Alpher-1999-151-87	1205	TONGUE	87	tongue	5440
Alpher-1999-151-88	1380	TOOTH	88	tooth	5946
Alpher-1999-151-89	906	TREE	89	tree	3854
Alpher-1999-151-90	1498	TWO	90	two	6248
Alpher-1999-151-91	1591	UP	91	up	6531
Alpher-1999-151-92	1142	URINE	92	urine	504787
Alpher-1999-151-93	948	WATER	93	water	4118
Alpher-1999-151-94	1817	WEST	94	west	7537
Alpher-1999-151-95	1236	WHAT	95	what?	5491
Alpher-1999-151-96	1237	WHERE	96	where?	5492
Alpher-1999-151-97	1235	WHO	97	who?	5490
Alpher-1999-151-98	960	WIND	98	wind	4160
Alpher-1999-151-99	962	WOMAN	99	woman	4165
Alpher-1999-151-100	1215	THOU	100	you (sg.)	5459
Alpher-1999-151-101	1482	SHOULDER	101	shoulder	6186
Alpher-1999-151-102	431	UPPER ARM	102	upper arm	1541167
Alpher-1999-151-103	186	SHIN	103	shin	1398936
Alpher-1999-151-104	1494	DIE	104	to die	6245
Alpher-1999-151-105	1519	RUN	105	to run	6323
Alpher-1999-151-106	1749	TAKE	106	to take	7077
Alpher-1999-151-107	1456	THROW	107	to throw	6072
Alpher-1999-151-108	473	SPEAR ACTION	108	to spear	1544459
Alpher-1999-151-109	1355	LAUGH	109	to laugh	5876
Alpher-1999-151-110	1035	GOOD	110	good	443659
Alpher-1999-151-111	1292	BAD	111	bad	5650
Alpher-1999-151-112	1418	DIG	112	to dig	6024
Alpher-1999-151-113	990	CREEK	113	creek	4259
Alpher-1999-151-114	1329	TOMORROW	114	tomorrow	5808
Alpher-1999-151-115	492	THREE	115	three	156096
Alpher-1999-151-116	1942	NEAR	116	near	869106
Alpher-1999-151-117	1884	HARD	117	hard	8173
Alpher-1999-151-118	1211	HE	118	he	5454
Alpher-1999-151-119	1131	WE INCLUSIVE	119	we two inclusive	496905
