ID	NUMBER	CATEGORY	ENGLISH	ENGLISH_FREQUENCY	SPANISH_ORDER_OF_DIFFICULTY	SPANISH	SPANISH_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS	ESPERANTO	LATIN	TURKISH	BASQUE	RUSSIAN	SIKUANI
Ardila-2007-40-1	31	Actions	To drink	1,129	15	Beber	1,002	1401	DRINK	Orelo	Auris	Kulak	Belarri	Uxa	Muxu
Ardila-2007-40-2	32	Actions	To eat	662	8	Comer	445	1336	EAT	Okulo	Oculus	Göz	Begi	Glaz	Itaxu
Ardila-2007-40-3	33	Actions	To hear	258	2	Oir	130	1408	HEAR	Nazo	Nasus	Burun	Sudor	Nos	Pumu
Ardila-2007-40-4	34	Actions	To sleep	1,381	6	Dormir	387	1585	SLEEP	Buso	Os	Ağız	Aho	Rot	Koibo
Ardila-2007-40-5	35	Actions	To swim	2,952	39	Nadar	4,796	1439	SWIM	Dento	Dens	Diş	Hortz	Zub	Wono
Ardila-2007-40-6	36	Actions	To fly	3,892	21	Volar	1,321	1441	FLY (MOVE THROUGH AIR)	Lango	Lengua	Dil	Mihia	Jazyk	Ebanu
Ardila-2007-40-7	37	Actions	To walk	463	25	Caminar	1,559	1443	WALK	Genuo	Genu	Diz	Belaun	Koliena	Matabaka
Ardila-2007-40-8	38	Actions	To lie down	447	18	Acostarse	1,129	215	LIE DOWN	Ventro	Venter	Karın	Sabel	Zhivot	Koto
Ardila-2007-40-9	39	Actions	To sit	317	7	Sentarse	444	1416	SIT	Nuko	Collum	Ense	Lepo	Ceja	Wosi
Ardila-2007-40-10	40	Actions	To say (talk)	34	1	Decir (hablar)	42	1458	SAY	Piedo	Pes	Ayak	Oin	Noga	Taxu
Ardila-2007-40-11	1	Body-parts	Ear	305	33	Oreja	2,742	1247	EAR	Suno	Sol	Güneþ	Eguzki	Sontse	Huamekotia
Ardila-2007-40-12	2	Body-parts	Eye	240	3	Ojo	147	1248	EYE	Luno	Luna	Ay	Hilargia	Luna	Juameto
Ardila-2007-40-13	3	Body-parts	Nose	1,940	31	Nariz	2,367	1221	NOSE	Nubo	Nimbus	Bulut	Hodei	Oblako	Pahubo
Ardila-2007-40-14	4	Body-parts	Mouth	1,014	9	Boca	559	674	MOUTH	Fajro	Ignis	Ates	Su	Ogon	Iso
Ardila-2007-40-15	5	Body-parts	Tooth	1,756	28	Diente	2,121	1380	TOOTH	Monto	Mons	Dað	Mendi	Gora	Tsu
Ardila-2007-40-16	6	Body-parts	Tongue	2,878	14	Lengua	901	1205	TONGUE	Arbo	Arbor	Agac	Arbol	Diereva	Nae
Ardila-2007-40-17	7	Body-parts	Knee	1,966	37	Rodilla	3,684	1371	KNEE	Folio	Folium	Yaprak	Orri	List	Boxu
Ardila-2007-40-18	8	Body-parts	Belly	5,676	35	Estomago	3,003	1251	BELLY	Osto	Os	Kemik	Hezur	Kost	Si
Ardila-2007-40-19	9	Body-parts	Neck	1,598	24	Cuello	1,714	1333	NECK	Ovo	Ovum	Yumurta	Arrautza	Jaitso	Tobo
Ardila-2007-40-20	10	Body-parts	Foot	484	4	Pie	329	1301	FOOT	Plumo	Penna	Tüy	Luma	Piero	Korope
Ardila-2007-40-21	11	Natural phenomena	Sun	1,058	5	Sol	362	1343	SUN	Hundo	Canis	Kopek	Txakur	Sobaka	Awiri
Ardila-2007-40-22	12	Natural phenomena	Moon	3,020	30	Luna	2,254	1313	MOON	Birdo	Avis	Kus	Txori	Ptitsa	Baratsui
Ardila-2007-40-23	13	Natural phenomena	Cloud	2,456	20	Nube	1,307	1489	CLOUD	Serpento	Serpens	Yýlan	Suge	Zmeja	Homo
Ardila-2007-40-24	14	Natural phenomena	Fire	719	11	Fuego	667	221	FIRE	Fiso	Piscis	Balık	Arrain	Ryba	Duhai
Ardila-2007-40-25	15	Natural phenomena	Mountain	1,590	13	Montaña	883	639	MOUNTAIN	Vermo	Vermis	Kurt	Har	Gusenitsa	Oro
Ardila-2007-40-26	16	External objects	Tree	695	10	Arbol	582	906	TREE	Ruga	Ruber	Kýrmýzý	Gorri	Krasno	Tsobia
Ardila-2007-40-27	17	External objects	Leaf	1,852	12	Hoja	881	628	LEAF	Verda	Viridis	Yeþi	Berde	Ziliony	Rauna
Ardila-2007-40-28	18	External objects	Bone	1,955	23	Hueso	1,574	1394	BONE	Flava	Flavus	Sarý	Ori	Zhiolty	Wajana
Ardila-2007-40-29	19	External objects	Egg	1,544	38	Huevo	4,142	744	EGG	Blanka	Albus	Beyaz	Zuri	Bliedno	Niopo
Ardila-2007-40-30	20	External objects	Feather	5,302	16	Pluma	1,035	1201	FEATHER	Nigra	Niger	Siyah	Beltz	Tchiorne	Tsaebia
Ardila-2007-40-31	21	Animals	Dog	823	17	Perro	1,121	2009	DOG	Trinki	Bibere	Içmek	Edan	Pit	Apa
Ardila-2007-40-32	22	Animals	Bird	1,115	34	Ave	2,802	937	BIRD	Mangi	Edere	Yemek	Jan	Iedit	Xane
Ardila-2007-40-33	23	Animals	Snake	5,513	36	Serpiente	3,472	730	SNAKE	Audi	Audire	Duymak	Entzun	Slushat	Humet
Ardila-2007-40-34	24	Animals	Fish	1,017	32	Pez	2,600	227	FISH	Dormi	Dormire	Uyumak	Lo	Spat	Mahita
Ardila-2007-40-35	25	Animals	Worm	5,336	40	Gusano	4,970	1219	WORM	Nagi	Natare	Yüzmek	Igeri	Plavat	Hua
