ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	EXPERIMENT_I_AVERAGE_RESPONSE_LATENCY	EXPERIMENT_II_AVERAGE_RESPONSE_LATENCY
Auracher-2017-16-1	1	bison	3142	BISON	152.77	76.93
Auracher-2017-16-2	2	polar bear	3143	POLAR BEAR	135.19	132.4
Auracher-2017-16-3	3	elephant	1290	ELEPHANT	85.19	214.64
Auracher-2017-16-4	4	gorilla	3144	GORILLA	221.22	118.4
Auracher-2017-16-5	5	lion	1386	LION	144.25	108.13
Auracher-2017-16-6	6	rhino	2591	RHINOCEROS	81.02	50.5
Auracher-2017-16-7	7	hippo	3145	HIPPOPOTAMUS	308.5	52.65
Auracher-2017-16-8	8	cheetah	3146	CHEETAH	147.14	6.7
Auracher-2017-16-9	9	hamster	3147	HAMSTER	176.77	74.32
Auracher-2017-16-10	10	rabbit	1136	RABBIT	129.86	148.92
Auracher-2017-16-11	11	cat	1208	CAT	98.79	116.19
Auracher-2017-16-12	12	mouse	1491	MOUSE	212.18	241.81
Auracher-2017-16-13	13	bird	937	BIRD	138.72	217.05
Auracher-2017-16-14	14	deer	1936	DEER	29.05	197.62
Auracher-2017-16-15	15	squirrel	1628	SQUIRREL	186.13	120.63
Auracher-2017-16-16	16	meerkat	3148	MEERKAT	72.57	112.06
