ID	NUMBER	PAGE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Backstrom-1992-210a-1	1	210	body	1480	BODY
Backstrom-1992-210a-2	2	210	head	1256	HEAD
Backstrom-1992-210a-3	3	210	hair	1040	HAIR
Backstrom-1992-210a-4	4	210	face	1560	FACE
Backstrom-1992-210a-5	5	210	eye	1248	EYE
Backstrom-1992-210a-6	6	210	ear	1247	EAR
Backstrom-1992-210a-7	7	210	nose	1221	NOSE
Backstrom-1992-210a-8	8	210	mouth	674	MOUTH
Backstrom-1992-210a-9	9	210	teeth	1380	TOOTH
Backstrom-1992-210a-10	10	210	tongue	1205	TONGUE
Backstrom-1992-210a-11	11	210	breast	1402	BREAST
Backstrom-1992-210a-12	12	210	belly	1251	BELLY
Backstrom-1992-210a-13	13	210	arm/hand	2121	ARM OR HAND
Backstrom-1992-210a-14	14	210	elbow	981	ELBOW
Backstrom-1992-210a-15	15	210	palm	1183	PALM OF HAND
Backstrom-1992-210a-16	16	210	finger	1303	FINGER
Backstrom-1992-210a-17	17	210	fingernail	1258	FINGERNAIL
Backstrom-1992-210a-18	18	210	leg	1297	LEG
Backstrom-1992-210a-19	19	210	skin	763	SKIN
Backstrom-1992-210a-20	20	210	bone	1394	BONE
Backstrom-1992-210a-21	21	210	heart	1223	HEART
Backstrom-1992-210a-22	22	210	blood	946	BLOOD
Backstrom-1992-210a-23	23	210	urine	1142	URINE
Backstrom-1992-210a-24	24	210	feces	675	FAECES (EXCREMENT)
Backstrom-1992-210a-25	25	210	village	930	VILLAGE
Backstrom-1992-210a-26	26	210	house	1252	HOUSE
Backstrom-1992-210a-27	27	210	roof	769	ROOF
Backstrom-1992-210a-28	28	210	door	1567	DOOR
Backstrom-1992-210a-29	29	210	firewood	10	FIREWOOD
Backstrom-1992-210a-30	30	210	broom	245	BROOM
Backstrom-1992-210a-31	31	210	mortar	224	MORTAR
Backstrom-1992-210a-32	32	210	pestle	225	PESTLE
Backstrom-1992-210a-33	33	210	hammer	1481	HAMMER
Backstrom-1992-210a-34	34	210	knife	1352	KNIFE
Backstrom-1992-210a-35	35	210	axe	677	AXE
Backstrom-1992-210a-36	36	210	rope	1218	ROPE
Backstrom-1992-210a-37	37	210	thread	1161	THREAD
Backstrom-1992-210a-38	38	210	needle	1382	NEEDLE (FOR SEWING)
Backstrom-1992-210a-39	39	210	cloth	1616	CLOTH
Backstrom-1992-210a-40	40	210	ring	1374	RING
