ID	NUMBER	PAGE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Backstrom-1992-210d-1	1	273	body	1480	BODY
Backstrom-1992-210d-2	2	273	head	1256	HEAD
Backstrom-1992-210d-3	3	273	hair	1040	HAIR
Backstrom-1992-210d-4	4	273	face	1560	FACE
Backstrom-1992-210d-5	5	273	one eye	1248	EYE
Backstrom-1992-210d-6	6	273	one ear	1247	EAR
Backstrom-1992-210d-7	7	273	nose	1221	NOSE
Backstrom-1992-210d-8	8	273	mouth	674	MOUTH
Backstrom-1992-210d-9	9	273	one tooth	1380	TOOTH
Backstrom-1992-210d-10	10	274	tongue	1205	TONGUE
Backstrom-1992-210d-11	11	274	breast	1402	BREAST
Backstrom-1992-210d-12	12	274	belly	1251	BELLY
Backstrom-1992-210d-13	13	274	arm	1673	ARM
Backstrom-1992-210d-14	14	274	elbow	981	ELBOW
Backstrom-1992-210d-15	15	274	palm of hand	1183	PALM OF HAND
Backstrom-1992-210d-16	16	274	finger	1303	FINGER
Backstrom-1992-210d-17	17	274	fingernail	1258	FINGERNAIL
Backstrom-1992-210d-18	18	274	leg	1297	LEG
Backstrom-1992-210d-19	19	274	skin	763	SKIN
Backstrom-1992-210d-20	20	274	bone	1394	BONE
Backstrom-1992-210d-21	21	274	heart	1223	HEART
Backstrom-1992-210d-22	22	274	blood	946	BLOOD
Backstrom-1992-210d-23	23	274	urine	1142	URINE
Backstrom-1992-210d-24	24	274	feces	675	FAECES (EXCREMENT)
Backstrom-1992-210d-25	25	274	village	930	VILLAGE
Backstrom-1992-210d-26	26	274	house	1252	HOUSE
Backstrom-1992-210d-27	27	274	roof	769	ROOF
Backstrom-1992-210d-28	28	275	door	1567	DOOR
Backstrom-1992-210d-29	29	275	firewood	10	FIREWOOD
Backstrom-1992-210d-30	30	275	broom	245	BROOM
Backstrom-1992-210d-31	31	275	butter churn		
Backstrom-1992-210d-32	32	275	agitator / pestle	225	PESTLE
Backstrom-1992-210d-33	33	275	hammer	1481	HAMMER
Backstrom-1992-210d-34	34	275	knife	1352	KNIFE
Backstrom-1992-210d-35	35	275	axe	677	AXE
Backstrom-1992-210d-36	36	275	rope	1218	ROPE
Backstrom-1992-210d-37	37	275	thread	1161	THREAD
Backstrom-1992-210d-38	38	275	needle	1382	NEEDLE (FOR SEWING)
Backstrom-1992-210d-39	39	275	cloth	1616	CLOTH
Backstrom-1992-210d-40	40	275	ring	1374	RING
Backstrom-1992-210d-41	41	275	sun	1343	SUN
Backstrom-1992-210d-42	42	275	moon	1313	MOON
Backstrom-1992-210d-43	43	275	sky	1732	SKY
Backstrom-1992-210d-44	44	275	one star	1430	STAR
Backstrom-1992-210d-45	45	275	rain	658	RAIN (PRECIPITATION)
Backstrom-1992-210d-46	46	276	water	948	WATER
Backstrom-1992-210d-47	47	276	river	666	RIVER
Backstrom-1992-210d-48	48	276	cloud	1489	CLOUD
Backstrom-1992-210d-49	49	276	lightning	1654	LIGHTNING
Backstrom-1992-210d-50	50	276	rainbow	1733	RAINBOW
Backstrom-1992-210d-51	51	276	wind	960	WIND
Backstrom-1992-210d-52	52	276	stone	857	STONE
Backstrom-1992-210d-53	53	276	path	2252	PATH
Backstrom-1992-210d-54	54	276	sand	671	SAND
Backstrom-1992-210d-55	55	276	fire	221	FIRE
Backstrom-1992-210d-56	56	276	smoke	778	SMOKE (EXHAUST)
Backstrom-1992-210d-57	57	276	ash	646	ASH
Backstrom-1992-210d-58	58	276	mud	640	MUD
Backstrom-1992-210d-59	59	276	dust	2	DUST
Backstrom-1992-210d-60	60	276	gold	1369	GOLD
Backstrom-1992-210d-61	61	276	tree	906	TREE
Backstrom-1992-210d-62	62	276	leaf	628	LEAF
Backstrom-1992-210d-63	63	276	root	670	ROOT
Backstrom-1992-210d-64	64	277	thorn	124	THORN
Backstrom-1992-210d-65	65	277	flower	239	FLOWER
Backstrom-1992-210d-66	66	277	fruit	1507	FRUIT
Backstrom-1992-210d-69	67	277	wheat	1077	WHEAT
Backstrom-1992-210d-71	68	277	rice	926	RICE
Backstrom-1992-210d-72	69	277	potato	593	POTATO
Backstrom-1992-210d-75	70	277	chili	919	CHILI PEPPER
Backstrom-1992-210d-76	71	277	turmeric	2842	TURMERIC
Backstrom-1992-210d-77	72	277	garlic	2368	GARLIC
Backstrom-1992-210d-78	73	277	onion	2366	ONION
Backstrom-1992-210d-79	74	277	cauliflower	2843	CAULIFLOWER
Backstrom-1992-210d-80	75	277	tomato	986	TOMATO
Backstrom-1992-210d-81	76	277	cabbage	774	CABBAGE
Backstrom-1992-210d-82	77	277	oil (for cooking)	1484	OIL (ORGANIC SUBSTANCE)
Backstrom-1992-210d-83	78	277	salt	1274	SALT
Backstrom-1992-210d-84	79	277	meat (for eating)	634	MEAT
Backstrom-1992-210d-85	80	277	fat (part of meat)	1282	FAT (FROM ANIMALS)
Backstrom-1992-210d-86	81	277	fish	227	FISH
Backstrom-1992-210d-87	82	278	chicken (hen)	1514	HEN
Backstrom-1992-210d-88	83	278	one egg	744	EGG
Backstrom-1992-210d-89	84	278	cow	1007	COW
Backstrom-1992-210d-90	85	278	buffalo	934	BUFFALO
Backstrom-1992-210d-91	86	278	milk	635	MILK
Backstrom-1992-210d-92	87	278	horn	1393	HORN (ANATOMY)
Backstrom-1992-210d-93	88	278	tail	1220	TAIL
Backstrom-1992-210d-94	89	278	goat	1502	GOAT
Backstrom-1992-210d-95	90	278	dog	2009	DOG
Backstrom-1992-210d-96	91	278	snake	730	SNAKE
Backstrom-1992-210d-97	92	278	monkey	1350	MONKEY
Backstrom-1992-210d-98	93	278	mosquito	1509	MOSQUITO
Backstrom-1992-210d-99	94	278	ant	587	ANT
Backstrom-1992-210d-100	95	278	spider	843	SPIDER
Backstrom-1992-210d-101	96	278	name	1405	NAME
Backstrom-1992-210d-102	97	278	man	1554	MAN
Backstrom-1992-210d-103	98	278	woman	962	WOMAN
Backstrom-1992-210d-104	99	278	child	2099	CHILD
Backstrom-1992-210d-105	100	279	father	1217	FATHER
Backstrom-1992-210d-106	101	279	mother	1216	MOTHER
Backstrom-1992-210d-107	102	279	older brother	1759	OLDER BROTHER
Backstrom-1992-210d-108	103	279	younger brother	1760	YOUNGER BROTHER
Backstrom-1992-210d-109	104	279	older sister	1758	OLDER SISTER
Backstrom-1992-210d-110	105	279	younger sister	1761	YOUNGER SISTER
Backstrom-1992-210d-111	106	279	son	1620	SON
Backstrom-1992-210d-112	107	279	daughter	1357	DAUGHTER
Backstrom-1992-210d-113	108	279	husband	1200	HUSBAND
Backstrom-1992-210d-114	109	279	wife	1199	WIFE
Backstrom-1992-210d-115	110	279	boy	1366	BOY
Backstrom-1992-210d-116	111	279	girl	1646	GIRL
Backstrom-1992-210d-117	112	279	day	1225	DAY (NOT NIGHT)
Backstrom-1992-210d-118	113	279	night	1233	NIGHT
Backstrom-1992-210d-119	114	279	morning	1339	MORNING
Backstrom-1992-210d-120	115	279	noon	12	MIDDAY
Backstrom-1992-210d-121	116	279	evening	1629	EVENING
Backstrom-1992-210d-122	117	279	yesterday	1174	YESTERDAY
Backstrom-1992-210d-123	118	280	today	1283	TODAY
Backstrom-1992-210d-124	119	280	tomorrow	1329	TOMORROW
Backstrom-1992-210d-125	120	280	week	1469	WEEK
Backstrom-1992-210d-126	121	280	month	1370	MONTH
Backstrom-1992-210d-127	122	280	year	1226	YEAR
Backstrom-1992-210d-128	123	280	old (thing)	2113	OLD (USED)
Backstrom-1992-210d-129	124	280	new	1231	NEW
Backstrom-1992-210d-130	125	280	good	1035	GOOD
Backstrom-1992-210d-131	126	280	bad	1292	BAD
Backstrom-1992-210d-132	127	280	wet	1726	WET
Backstrom-1992-210d-133	128	280	dry	1398	DRY
Backstrom-1992-210d-134	129	280	long	1203	LONG
Backstrom-1992-210d-135	130	280	short	1645	SHORT
Backstrom-1992-210d-136	131	280	hot	1286	HOT
Backstrom-1992-210d-137	132	280	cold	1287	COLD
Backstrom-1992-210d-138	133	280	right	1019	RIGHT
Backstrom-1992-210d-139	134	280	left	244	LEFT
Backstrom-1992-210d-140	135	280	near	1942	NEAR
Backstrom-1992-210d-141	136	281	far	1406	FAR
Backstrom-1992-210d-142	137	281	big	1202	BIG
Backstrom-1992-210d-143	138	281	small	1246	SMALL
Backstrom-1992-210d-144	139	281	heavy	1210	HEAVY
Backstrom-1992-210d-145	140	281	light	1052	LIGHT (WEIGHT)
Backstrom-1992-210d-146	141	281	above	1741	ABOVE
Backstrom-1992-210d-147	142	281	below	1485	BELOW OR UNDER
Backstrom-1992-210d-148	143	281	white	1335	WHITE
Backstrom-1992-210d-149	144	281	black	163	BLACK
Backstrom-1992-210d-150	145	281	red	156	RED
Backstrom-1992-210d-151	146	281	one	1493	ONE
Backstrom-1992-210d-152	147	281	two	1498	TWO
Backstrom-1992-210d-153	148	281	three	492	THREE
Backstrom-1992-210d-154	149	281	four	1500	FOUR
Backstrom-1992-210d-155	150	281	five	493	FIVE
Backstrom-1992-210d-156	151	281	six	1703	SIX
Backstrom-1992-210d-157	152	281	seven	1704	SEVEN
Backstrom-1992-210d-158	153	281	eight	1705	EIGHT
Backstrom-1992-210d-159	154	282	nine	1483	NINE
Backstrom-1992-210d-160	155	282	ten	1515	TEN
Backstrom-1992-210d-161	156	282	eleven	1706	ELEVEN
Backstrom-1992-210d-162	157	282	twelve	1707	TWELVE
Backstrom-1992-210d-163	158	282	twenty	1710	TWENTY
Backstrom-1992-210d-164	159	282	one hundred	1634	HUNDRED
Backstrom-1992-210d-165	160	282	who	1235	WHO
Backstrom-1992-210d-166	161	282	what	1236	WHAT
Backstrom-1992-210d-167	162	282	where	1237	WHERE
Backstrom-1992-210d-168	163	282	when	1238	WHEN
Backstrom-1992-210d-169	164	282	how many	822	HOW MANY
Backstrom-1992-210d-170	165	282	which	727	WHICH
Backstrom-1992-210d-171	166	282	this	1214	THIS
Backstrom-1992-210d-172	167	282	that	78	THAT
Backstrom-1992-210d-173	168	282	these	1214	THIS
Backstrom-1992-210d-174	169	282	those	78	THAT
Backstrom-1992-210d-176	170	282	different	2504	DIFFERENT
Backstrom-1992-210d-177	171	282	whole (not broken)	2277	WHOLE
Backstrom-1992-210d-178	172	283	broken	588	BROKEN
Backstrom-1992-210d-179	173	283	few	1242	FEW
Backstrom-1992-210d-180	174	283	many	1198	MANY
Backstrom-1992-210d-181	175	283	all	98	ALL
Backstrom-1992-210d-182	176	283	(you) eat!	1336	EAT
Backstrom-1992-210d-183	177	283	(the dog) bites	1403	BITE
Backstrom-1992-210d-184	178	283	(you are) hungry	1533	BE HUNGRY
Backstrom-1992-210d-185	179	283	(you) drink!	1401	DRINK
Backstrom-1992-210d-186	180	283	(you are) thirsty	847	THIRSTY
Backstrom-1992-210d-187	181	283	(you) sleep!	1585	SLEEP
Backstrom-1992-210d-188	182	283	(you) lay down!	2071	LAY (VERB)
Backstrom-1992-210d-189	183	283	(you) sit down!	1416	SIT
Backstrom-1992-210d-190	184	283	(you) give!	1447	GIVE
Backstrom-1992-210d-192	185	283	(he) died	1494	DIE
Backstrom-1992-210d-193	186	283	(you) beat!	1665	BEAT
Backstrom-1992-210d-194	187	283	(the bird) flies	1441	FLY (MOVE THROUGH AIR)
Backstrom-1992-210d-195	188	283	(you) walk!	1443	WALK
Backstrom-1992-210d-196	189	283	(you) run!	1519	RUN
Backstrom-1992-210d-197	190	284	(you) go!	695	GO
Backstrom-1992-210d-198	191	284	(you) come!	1446	COME
Backstrom-1992-210d-199	192	284	(you) speak!	1623	SPEAK
Backstrom-1992-210d-200	193	284	(you) listen!/hear!	3862	HEAR OR LISTEN
Backstrom-1992-210d-201	194	284	(you) look!/see!	1819	LOOK
Backstrom-1992-210d-202	195	284	I	1209	I
Backstrom-1992-210d-203	196	284	you	1215	THOU
Backstrom-1992-210d-205	197	284	he	1211	HE
Backstrom-1992-210d-206	198	284	she	1834	SHE
Backstrom-1992-210d-207	199	284	we	1212	WE
Backstrom-1992-210d-209	200	284	you (plural)	1213	YOU
Backstrom-1992-210d-210	201	284	they	817	THEY
