ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	JAPANESE	CHINESE
BarbosaEscobar-2021-12-1	1	1861	ACTIVE	active, alert	activo/a, alerta	活動的な, テキバキと	活跃的, 被唤起的
BarbosaEscobar-2021-12-2	2	3972	EXCITED	energetic, excited	energico/a, emocionado/a	エネルギッシュな, ワクワクする	精力充沛的, 兴奋的
BarbosaEscobar-2021-12-3	3			enthusiastic, inspired	entusiasmado/a, inspirado/a	熱意がある, 触発される	振奋的, 鼓舞的
BarbosaEscobar-2021-12-4	4	1495	HAPPY	happy, satisfied	feliz, satisfecho/a	幸せ, 満足している	高兴的, 两足的
BarbosaEscobar-2021-12-5	5	3762	SAFE	secure, at ease	seguro/a, comodo/a	安心している, 気が休まる	安心的, 安逸的
BarbosaEscobar-2021-12-6	6	258	CALM	relaxed, calm	relajado/a, calmado/a	リラックスしている, 穏やかな	放松的, 平静的
BarbosaEscobar-2021-12-7	7			passive, quiet	pasivo/a, tranquilo/a	不活発な, 静かな	不积极的, 安静的
BarbosaEscobar-2021-12-8	8	905	BORING	dull, bored	desanimado/a, aburrido/a	つまらない, 退屈な	枯燥的, 无聊的
BarbosaEscobar-2021-12-9	9			blue, uninspired	deprimido/a, melancolico/a	憂鬱な, 感じるものがない	郁闷的, 低落的
BarbosaEscobar-2021-12-10	10	3974	UNHAPPY	unhappy, dissatisfied	infeliz, insatisfecho/a	不幸, 不満	不高兴的, 不满足的
BarbosaEscobar-2021-12-11	11			tense, bothered	tenso/a, molesto/a	緊張する, わずらわしい	紧绷的, 烦恼的
BarbosaEscobar-2021-12-12	12	3975	NERVOUS	jittery, nervous	agitado/a, nervioso/a	いら立った, 神経質な	战战兢兢的, 紧张的
