ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bender-1971-99-1	1	all	98	ALL
Bender-1971-99-2	2	ashes	646	ASH
Bender-1971-99-3	3	bark (tree)	1204	BARK
Bender-1971-99-4	4	belly	1251	BELLY
Bender-1971-99-5	5	big	1202	BIG
Bender-1971-99-6	6	bird	937	BIRD
Bender-1971-99-7	7	bite (v.)	1403	BITE
Bender-1971-99-8	8	black	163	BLACK
Bender-1971-99-9	9	blood	946	BLOOD
Bender-1971-99-10	10	bone	1394	BONE
Bender-1971-99-11	11	breast	1402	BREAST
Bender-1971-99-12	12	burn (tr.v.)	141	BURN (SOMETHING)
Bender-1971-99-13	13	claw (animal)	72	CLAW
Bender-1971-99-14	14	cloud	1489	CLOUD
Bender-1971-99-15	15	cold (of air)	2483	COLD (OF WEATHER)
Bender-1971-99-16	16	come	1446	COME
Bender-1971-99-17	17	die	1494	DIE
Bender-1971-99-18	18	dog	2009	DOG
Bender-1971-99-19	19	drink (v.)	1401	DRINK
Bender-1971-99-20	20	dry (adj.)	1398	DRY
Bender-1971-99-21	21	ear	1247	EAR
Bender-1971-99-22	22	eat	1336	EAT
Bender-1971-99-23	23	egg	744	EGG
Bender-1971-99-24	24	eye	1248	EYE
Bender-1971-99-25	25	fat (n.)	323	FAT (ORGANIC SUBSTANCE)
Bender-1971-99-26	26	father	1217	FATHER
Bender-1971-99-27	27	fire	221	FIRE
Bender-1971-99-28	28	fish (n.)	227	FISH
Bender-1971-99-29	29	fly (insect)	1504	FLY (INSECT)
Bender-1971-99-30	30	foot	1301	FOOT
Bender-1971-99-31	31	give	1447	GIVE
Bender-1971-99-32	32	go	695	GO
Bender-1971-99-33	33	good	1035	GOOD
Bender-1971-99-34	34	grass	606	GRASS
Bender-1971-99-35	35	hair (of head)	2648	HAIR (HEAD)
Bender-1971-99-36	36	hand	1277	HAND
Bender-1971-99-37	37	head	1256	HEAD
Bender-1971-99-38	38	hear	1408	HEAR
Bender-1971-99-39	39	heart	1223	HEART
Bender-1971-99-40	40	horn	1393	HORN (ANATOMY)
Bender-1971-99-41	41	I	1209	I
Bender-1971-99-42	42	kill	1417	KILL
Bender-1971-99-43	43	know	1410	KNOW (SOMETHING)
Bender-1971-99-44	44	knee	1371	KNEE
Bender-1971-99-45	45	leaf	628	LEAF
Bender-1971-99-46	46	liver	1224	LIVER
Bender-1971-99-47	47	long	1203	LONG
Bender-1971-99-48	48	louse	1392	LOUSE
Bender-1971-99-49	49	man	1554	MAN
Bender-1971-99-50	50	many	1198	MANY
Bender-1971-99-51	51	meat	634	MEAT
Bender-1971-99-52	52	moon	1313	MOON
Bender-1971-99-53	53	mountain	639	MOUNTAIN
Bender-1971-99-54	54	mouth	674	MOUTH
Bender-1971-99-55	55	name	1405	NAME
Bender-1971-99-56	56	neck	1333	NECK
Bender-1971-99-57	57	new	1231	NEW
Bender-1971-99-58	58	night	1233	NIGHT
Bender-1971-99-60	60	nose	1221	NOSE
Bender-1971-99-61	61	one	1493	ONE
Bender-1971-99-62	62	other	197	OTHER
Bender-1971-99-63	63	rain (n.)	658	RAIN (PRECIPITATION)
Bender-1971-99-64	64	red	156	RED
Bender-1971-99-65	65	road	667	ROAD
Bender-1971-99-66	66	root	670	ROOT
Bender-1971-99-67	67	sand	671	SAND
Bender-1971-99-68	68	say	1458	SAY
Bender-1971-99-69	69	see	1409	SEE
Bender-1971-99-70	70	seed	714	SEED
Bender-1971-99-71	71	sit	1416	SIT
Bender-1971-99-72	72	skin (human)	2613	SKIN (HUMAN)
Bender-1971-99-73	73	sleep (v.)	1585	SLEEP
Bender-1971-99-74	74	small	1246	SMALL
Bender-1971-99-75	75	smoke (n.)	778	SMOKE (EXHAUST)
Bender-1971-99-76	76	snake	730	SNAKE
Bender-1971-99-77	77	stand	1442	STAND
Bender-1971-99-78	78	star	1430	STAR
Bender-1971-99-79	79	stone	857	STONE
Bender-1971-99-80	80	sun	1343	SUN
Bender-1971-99-81	81	swim	1439	SWIM
Bender-1971-99-82	82	tail	1220	TAIL
Bender-1971-99-83	83	thin	2308	THIN
Bender-1971-99-84	84	this	1214	THIS
Bender-1971-99-85	85	three	492	THREE
Bender-1971-99-86	86	thou	1215	THOU
Bender-1971-99-87	87	tongue	1205	TONGUE
Bender-1971-99-88	88	tooth	1380	TOOTH
Bender-1971-99-89	89	tree	906	TREE
Bender-1971-99-90	90	two	1498	TWO
Bender-1971-99-91	91	warm	1232	WARM
Bender-1971-99-92	92	water	948	WATER
Bender-1971-99-93	93	we	1212	WE
Bender-1971-99-94	94	wet	1726	WET
Bender-1971-99-95	95	what?	1236	WHAT
Bender-1971-99-96	96	white	1335	WHITE
Bender-1971-99-97	97	who?	1235	WHO
Bender-1971-99-98	98	woman	962	WOMAN
Bender-1971-99-99	99	ye	1213	YOU
