ID	NUMBER	ENGLISH	PROTOWORLD	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bengtson-1994-27-1	1	mother, older femaile relative	AJA	1216	MOTHER
Bengtson-1994-27-2	2	knee, to bend	BU(N)KA	1371	KNEE
Bengtson-1994-27-3	3	ashes, dust	BUR	646	ASH
Bengtson-1994-27-4	4	nose; to smell	ČUN(G)A	1221	NOSE
Bengtson-1994-27-5	5	hold (in the hand)	KAMA	1448	HOLD
Bengtson-1994-27-6	6	arm	KANO	1673	ARM
Bengtson-1994-27-7	7	bone	KATI	1394	BONE
Bengtson-1994-27-8	8	hole	K'OLO	1667	HOLE
Bengtson-1994-27-9	9	dog	KUAN	2009	DOG
Bengtson-1994-27-10	10	who	KU(N)	1235	WHO
Bengtson-1994-27-11	11	woman	KUNA	962	WOMAN
Bengtson-1994-27-12	12	child	MAKO	1304	CHILD (YOUNG HUMAN)
Bengtson-1994-27-13	13	to suck(le), nurse; breast	MALIQ'A	2472	SUCKLE (BREASTFEED, NURSE)
Bengtson-1994-27-14	14	to stay (in a place)	MANA	987	REMAIN
Bengtson-1994-27-15	15	man	MANO	1554	MAN
Bengtson-1994-27-16	16	to think (about)	MENA	1415	THINK (REFLECT)
Bengtson-1994-27-17	17	what?	MI(N)	1236	WHAT
Bengtson-1994-27-18	18	2	PAL	1498	TWO
Bengtson-1994-27-19	19	to fly	PAR	1441	FLY (MOVE THROUGH AIR)
Bengtson-1994-27-20	20	arm	POKO	1673	ARM
Bengtson-1994-27-21	21	vulva	PUTI	1837	VULVA
Bengtson-1994-27-22	22	leg, foot	TEKU	2098	FOOT OR LEG
Bengtson-1994-27-23	23	finger; one	TIK	1303	FINGER
Bengtson-1994-27-24	24	earth	TIKA	1228	EARTH (SOIL)
Bengtson-1994-27-25	25	leg, foot	TSAKU	2098	FOOT OR LEG
Bengtson-1994-27-26	26	hair	TSUMA	1040	HAIR
Bengtson-1994-27-27	27	water	ʔAQ'WA	948	WATER
