ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Bennet-1976-100-1	619	ANIMAL	1	animal
Bennet-1976-100-2	587	ANT	2	ant
Bennet-1976-100-3	977	ARROW	3	arrow
Bennet-1976-100-4	677	AXE	4	axe
Bennet-1976-100-5	832	BEAN	5	bean
Bennet-1976-100-6	678	BEARD	6	beard
Bennet-1976-100-7	946	BLOOD	7	blood
Bennet-1976-100-8	1394	BONE	8	bone
Bennet-1976-100-9	245	BROOM	9	broom
Bennet-1976-100-10	1683	BUSH	10	bush
Bennet-1976-100-11	1155	CAVE	11	cave
Bennet-1976-100-12	1476	CHAIR	12	chair
Bennet-1976-100-13	1007	COW	13	cow
Bennet-1976-100-14	11	DARKNESS	14	darkness
Bennet-1976-100-15	744	EGG	15	egg
Bennet-1976-100-16	1303	FINGER	16	finger
Bennet-1976-100-17	221	FIRE	17	fire
Bennet-1976-100-18	227	FISH	18	fish
Bennet-1976-100-19	1594	FLOUR	19	flour
Bennet-1976-100-20	239	FLOWER	20	flower
Bennet-1976-100-21	256	FOOD	21	food
Bennet-1976-100-22	503	FROG	22	frog
Bennet-1976-100-23	606	GRASS	23	grass
Bennet-1976-100-24	1040	HAIR	24	hair
Bennet-1976-100-25	263	HERDSMAN	25	herdsman
Bennet-1976-100-26	1371	KNEE	26	knee
Bennet-1976-100-27	624	LAKE	27	lake
Bennet-1976-100-28	1386	LION	28	lion
Bennet-1976-100-29	634	MEAT	29	meat
Bennet-1976-100-30	674	MOUTH	30	mouth
Bennet-1976-100-31	1405	NAME	31	name
Bennet-1976-100-32	1333	NECK	32	neck
Bennet-1976-100-33	1221	NOSE	33	nose
Bennet-1976-100-34	683	PERSON	34	person
Bennet-1976-100-35	1136	RABBIT	35	rabbit
Bennet-1976-100-36	658	RAIN (PRECIPITATION)	36	rain
Bennet-1976-100-37	1490	RAT	37	rat
Bennet-1976-100-38	801	RIB	38	rib
Bennet-1976-100-39	666	RIVER	39	river
Bennet-1976-100-40	671	SAND	40	sand
Bennet-1976-100-41	1331	SHEEP	41	sheep
Bennet-1976-100-42	1064	SHIELD	42	shield
Bennet-1976-100-43	778	SMOKE (EXHAUST)	43	smoke
Bennet-1976-100-44	945	SPEAR	44	spear
Bennet-1976-100-45	857	STONE	45	stone
Bennet-1976-100-46	1218	ROPE	46	string
Bennet-1976-100-47	1343	SUN	47	sun
Bennet-1976-100-48	1380	TOOTH	48	tooth
Bennet-1976-100-49	1391	TOWN	49	town
Bennet-1976-100-50	1226	YEAR	50	year
Bennet-1976-100-51	972	BE ABLE	51	be able
Bennet-1976-100-52	1387	ARRIVE	52	arrive
Bennet-1976-100-53	1309	ASK (INQUIRE)	53	ask
Bennet-1976-100-54	1820	BEAR	54	bear
Bennet-1976-100-55	1665	BEAT	55	beat
Bennet-1976-100-56	692	BRING	56	bring
Bennet-1976-100-57	1840	BUILD	57	build
Bennet-1976-100-58	1869	BUY	58	buy
Bennet-1976-100-59	1046	SHUT	59	close
Bennet-1976-100-60	1446	COME	60	come
Bennet-1976-100-61	879	COUGH	61	cough
Bennet-1976-100-62	1494	DIE	62	die
Bennet-1976-100-63	813	DO	63	do
Bennet-1976-100-64	1401	DRINK	64	drink
Bennet-1976-100-65	1615	ESCAPE	65	escape
Bennet-1976-100-66	127	EXTINGUISH	66	extinguish
Bennet-1976-100-67	1280	FALL	67	fall
Bennet-1976-100-68	1441	FLY (MOVE THROUGH AIR)	68	fly
Bennet-1976-100-69	695	GO	69	go
Bennet-1976-100-70	1607	HATE	70	hate
Bennet-1976-100-71	1408	HEAR	71	hear
Bennet-1976-100-72	1897	HELP	72	help
Bennet-1976-100-73	763	SKIN	73	hide
Bennet-1976-100-74	1435	HUNT	74	hunt
Bennet-1976-100-75	1417	KILL	75	kill
Bennet-1976-100-76	66	KNEEL	76	kneel
Bennet-1976-100-77	1410	KNOW (SOMETHING)	77	know
Bennet-1976-100-78	1355	LAUGH	78	laugh
Bennet-1976-100-79	1752	LEAVE	79	leave
Bennet-1976-100-80	923	LOVE	80	love
Bennet-1976-100-81	1831	MEET	81	meet
Bennet-1976-100-82	635	MILK	82	milk
Bennet-1976-100-83	718	PAY	83	pay
Bennet-1976-100-84	24	PRAY	84	pray
Bennet-1976-100-85	724	READ	85	read
Bennet-1976-100-86	49	REFUSE	86	refuse
Bennet-1976-100-87	707	REMEMBER	87	remember
Bennet-1976-100-88	1777	RESEMBLE	88	resemble
Bennet-1976-100-89	142	RETURN HOME	89	return
Bennet-1976-100-90	1409	SEE	90	see
Bennet-1976-100-91	1468	LOOK FOR	91	seek
Bennet-1976-100-92	48	BE SILENT	92	be silent
Bennet-1976-100-93	1261	SING	93	sing
Bennet-1976-100-94	1416	SIT	94	sit
Bennet-1976-100-95	1442	STAND	95	stand
Bennet-1976-100-96	713	STEAL	96	steal
Bennet-1976-100-97	1711	TELL	97	tell
Bennet-1976-100-98	1456	THROW	98	throw
Bennet-1976-100-99	1917	TIE	99	tie
Bennet-1976-100-100	1443	WALK	100	walk
