ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	BENNET1976100	ENGLISH
Bennet-1976-50a-1	619	ANIMAL	1	1	animal
Bennet-1976-50a-2	587	ANT	2	2	ant
Bennet-1976-50a-3	977	ARROW	3	3	arrow
Bennet-1976-50a-4	677	AXE	4	4	axe
Bennet-1976-50a-5	832	BEAN	5	5	bean
Bennet-1976-50a-6	678	BEARD	6	6	beard
Bennet-1976-50a-7	946	BLOOD	7	7	blood
Bennet-1976-50a-8	1394	BONE	8	8	bone
Bennet-1976-50a-9	245	BROOM	9	9	broom
Bennet-1976-50a-10	1683	BUSH	10	10	bush
Bennet-1976-50a-11	1155	CAVE	11	11	cave
Bennet-1976-50a-12	1476	CHAIR	12	12	chair
Bennet-1976-50a-13	1007	COW	13	13	cow
Bennet-1976-50a-14	11	DARKNESS	14	14	darkness
Bennet-1976-50a-15	744	EGG	15	15	egg
Bennet-1976-50a-16	1303	FINGER	16	16	finger
Bennet-1976-50a-17	221	FIRE	17	17	fire
Bennet-1976-50a-18	227	FISH	18	18	fish
Bennet-1976-50a-19	1594	FLOUR	19	19	flour
Bennet-1976-50a-20	239	FLOWER	20	20	flower
Bennet-1976-50a-21	256	FOOD	21	21	food
Bennet-1976-50a-22	503	FROG	22	22	frog
Bennet-1976-50a-23	606	GRASS	23	23	grass
Bennet-1976-50a-24	1040	HAIR	24	24	hair
Bennet-1976-50a-25	263	HERDSMAN	25	25	herdsman
Bennet-1976-50a-26	1371	KNEE	26	26	knee
Bennet-1976-50a-27	624	LAKE	27	27	lake
Bennet-1976-50a-28	1386	LION	28	28	lion
Bennet-1976-50a-29	634	MEAT	29	29	meat
Bennet-1976-50a-30	674	MOUTH	30	30	mouth
Bennet-1976-50a-31	1405	NAME	31	31	name
Bennet-1976-50a-32	1333	NECK	32	32	neck
Bennet-1976-50a-33	1221	NOSE	33	33	nose
Bennet-1976-50a-34	683	PERSON	34	34	person
Bennet-1976-50a-35	1136	RABBIT	35	35	rabbit
Bennet-1976-50a-36	658	RAIN (PRECIPATION)	36	36	rain
Bennet-1976-50a-37	1490	RAT	37	37	rat
Bennet-1976-50a-38	801	RIB	38	38	rib
Bennet-1976-50a-39	666	RIVER	39	39	river
Bennet-1976-50a-40	671	SAND	40	40	sand
Bennet-1976-50a-41	1331	SHEEP	41	41	sheep
Bennet-1976-50a-42	1064	SHIELD	42	42	shield
Bennet-1976-50a-43	778	SMOKE (EXHAUST)	43	43	smoke
Bennet-1976-50a-44	945	SPEAR	44	44	spear
Bennet-1976-50a-45	857	STONE	45	45	stone
Bennet-1976-50a-46	1218	ROPE	46	46	string
Bennet-1976-50a-47	1343	SUN	47	47	sun
Bennet-1976-50a-48	1380	TOOTH	48	48	tooth
Bennet-1976-50a-49	1391	TOWN	49	49	town
Bennet-1976-50a-50	1226	YEAR	50	50	year
