ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	SUBLIST
Bennett-1976-100-1	619	ANIMAL	1	animal	Bennett-1976-50a
Bennett-1976-100-2	587	ANT	2	ant	Bennett-1976-50a
Bennett-1976-100-3	977	ARROW	3	arrow	Bennett-1976-50a
Bennett-1976-100-4	677	AXE	4	axe	Bennett-1976-50a
Bennett-1976-100-5	832	BEAN	5	bean	Bennett-1976-50a
Bennett-1976-100-6	678	BEARD	6	beard	Bennett-1976-50a
Bennett-1976-100-7	946	BLOOD	7	blood	Bennett-1976-50a
Bennett-1976-100-8	1394	BONE	8	bone	Bennett-1976-50a
Bennett-1976-100-9	245	BROOM	9	broom	Bennett-1976-50a
Bennett-1976-100-10	1683	BUSH	10	bush	Bennett-1976-50a
Bennett-1976-100-11	1155	CAVE	11	cave	Bennett-1976-50a
Bennett-1976-100-12	1476	CHAIR	12	chair	Bennett-1976-50a
Bennett-1976-100-13	1007	COW	13	cow	Bennett-1976-50a
Bennett-1976-100-14	11	DARKNESS	14	darkness	Bennett-1976-50a
Bennett-1976-100-15	744	EGG	15	egg	Bennett-1976-50a
Bennett-1976-100-16	1303	FINGER	16	finger	Bennett-1976-50a
Bennett-1976-100-17	221	FIRE	17	fire	Bennett-1976-50a
Bennett-1976-100-18	227	FISH	18	fish	Bennett-1976-50a
Bennett-1976-100-19	1594	FLOUR	19	flour	Bennett-1976-50a
Bennett-1976-100-20	239	FLOWER	20	flower	Bennett-1976-50a
Bennett-1976-100-21	256	FOOD	21	food	Bennett-1976-50a
Bennett-1976-100-22	503	FROG	22	frog	Bennett-1976-50a
Bennett-1976-100-23	606	GRASS	23	grass	Bennett-1976-50a
Bennett-1976-100-24	1040	HAIR	24	hair	Bennett-1976-50a
Bennett-1976-100-25	263	HERDSMAN	25	herdsman	Bennett-1976-50a
Bennett-1976-100-26	1371	KNEE	26	knee	Bennett-1976-50a
Bennett-1976-100-27	624	LAKE	27	lake	Bennett-1976-50a
Bennett-1976-100-28	1386	LION	28	lion	Bennett-1976-50a
Bennett-1976-100-29	634	MEAT	29	meat	Bennett-1976-50a
Bennett-1976-100-30	674	MOUTH	30	mouth	Bennett-1976-50a
Bennett-1976-100-31	1405	NAME	31	name	Bennett-1976-50a
Bennett-1976-100-32	1333	NECK	32	neck	Bennett-1976-50a
Bennett-1976-100-33	1221	NOSE	33	nose	Bennett-1976-50a
Bennett-1976-100-34	683	PERSON	34	person	Bennett-1976-50a
Bennett-1976-100-35	1136	RABBIT	35	rabbit	Bennett-1976-50a
Bennett-1976-100-36	658	RAIN (PRECIPITATION)	36	rain	Bennett-1976-50a
Bennett-1976-100-37	1490	RAT	37	rat	Bennett-1976-50a
Bennett-1976-100-38	801	RIB	38	rib	Bennett-1976-50a
Bennett-1976-100-39	666	RIVER	39	river	Bennett-1976-50a
Bennett-1976-100-40	671	SAND	40	sand	Bennett-1976-50a
Bennett-1976-100-41	1331	SHEEP	41	sheep	Bennett-1976-50a
Bennett-1976-100-42	1064	SHIELD	42	shield	Bennett-1976-50a
Bennett-1976-100-43	778	SMOKE (EXHAUST)	43	smoke	Bennett-1976-50a
Bennett-1976-100-44	945	SPEAR	44	spear	Bennett-1976-50a
Bennett-1976-100-45	857	STONE	45	stone	Bennett-1976-50a
Bennett-1976-100-46	362	STRING	46	string	Bennett-1976-50a
Bennett-1976-100-47	1343	SUN	47	sun	Bennett-1976-50a
Bennett-1976-100-48	1380	TOOTH	48	tooth	Bennett-1976-50a
Bennett-1976-100-49	1391	TOWN	49	town	Bennett-1976-50a
Bennett-1976-100-50	1226	YEAR	50	year	Bennett-1976-50a
Bennett-1976-100-51	972	BE ABLE	51	be able	Bennett-1976-50b
Bennett-1976-100-52	1387	ARRIVE	52	arrive	Bennett-1976-50b
Bennett-1976-100-53	1309	ASK (INQUIRE)	53	ask	Bennett-1976-50b
Bennett-1976-100-54	1820	BEAR	54	bear	Bennett-1976-50b
Bennett-1976-100-55	2133	STRIKE OR BEAT	55	beat	Bennett-1976-50b
Bennett-1976-100-56	692	BRING	56	bring	Bennett-1976-50b
Bennett-1976-100-57	1840	BUILD	57	build	Bennett-1976-50b
Bennett-1976-100-58	1869	BUY	58	buy	Bennett-1976-50b
Bennett-1976-100-59	1046	SHUT	59	close	Bennett-1976-50b
Bennett-1976-100-60	1446	COME	60	come	Bennett-1976-50b
