ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Birchall-2016-125-1	1	I	1209	I
Birchall-2016-125-2	2	You sg.	1215	THOU
Birchall-2016-125-3	3	He	1211	HE
Birchall-2016-125-4	4	We	1212	WE
Birchall-2016-125-5	5	You pl.	1213	YOU
Birchall-2016-125-6	6	They	817	THEY
Birchall-2016-125-7	7	Who/What	2147	WHO OR WHAT
Birchall-2016-125-8	8	Many	1198	MANY
Birchall-2016-125-9	9	Few	1242	FEW
Birchall-2016-125-10	10	One	1493	ONE
Birchall-2016-125-11	11	Two	1498	TWO
Birchall-2016-125-12	12	Big	1202	BIG
Birchall-2016-125-13	13	Small	1246	SMALL
Birchall-2016-125-14	14	Woman	962	WOMAN
Birchall-2016-125-15	15	Man	1554	MAN
Birchall-2016-125-16	16	Human	683	PERSON
Birchall-2016-125-17	17	Child	2099	CHILD
Birchall-2016-125-18	18	Mother	1216	MOTHER
Birchall-2016-125-19	19	Father	1217	FATHER
Birchall-2016-125-20	20	Animal	619	ANIMAL
Birchall-2016-125-21	21	Fish	227	FISH
Birchall-2016-125-22	22	Bird	937	BIRD
Birchall-2016-125-23	23	Peccary	2390	PECCARY
Birchall-2016-125-24	24	Deer	1936	DEER
Birchall-2016-125-25	25	Louse	1392	LOUSE
Birchall-2016-125-26	26	Snake	730	SNAKE
Birchall-2016-125-27	27	Worm	1219	WORM
Birchall-2016-125-28	28	Forest	420	FOREST
Birchall-2016-125-29	29	Stick	1295	STICK
Birchall-2016-125-30	30	Fruit	1507	FRUIT
Birchall-2016-125-31	31	Leaf	628	LEAF
Birchall-2016-125-32	32	Root	670	ROOT
Birchall-2016-125-33	33	Flower	239	FLOWER
Birchall-2016-125-34	34	Grass	606	GRASS
Birchall-2016-125-35	35	Rope	1218	ROPE
Birchall-2016-125-36	36	Skin	763	SKIN
Birchall-2016-125-37	37	Meat	634	MEAT
Birchall-2016-125-38	38	Blood	946	BLOOD
Birchall-2016-125-39	39	Bone	1394	BONE
Birchall-2016-125-40	40	Fat	323	FAT (ORGANIC SUBSTANCE)
Birchall-2016-125-41	41	Egg	744	EGG
Birchall-2016-125-42	42	Horn	1393	HORN (ANATOMY)
Birchall-2016-125-43	43	Tail	1220	TAIL
Birchall-2016-125-44	44	Hair	1040	HAIR
Birchall-2016-125-45	45	Head	1256	HEAD
Birchall-2016-125-46	46	Ear	1247	EAR
Birchall-2016-125-47	47	Eye	1248	EYE
Birchall-2016-125-48	48	Nose	1221	NOSE
Birchall-2016-125-49	49	Mouth	674	MOUTH
Birchall-2016-125-50	50	Tooth	1380	TOOTH
Birchall-2016-125-51	51	Tongue	1205	TONGUE
Birchall-2016-125-52	52	Fingernail	1258	FINGERNAIL
Birchall-2016-125-53	53	Foot	1301	FOOT
Birchall-2016-125-54	54	Leg	1297	LEG
Birchall-2016-125-55	55	Knee	1371	KNEE
Birchall-2016-125-56	56	Hand	1277	HAND
Birchall-2016-125-57	57	Wing	1257	WING
Birchall-2016-125-58	58	Belly	1251	BELLY
Birchall-2016-125-59	59	Guts	1334	GUTS
Birchall-2016-125-60	60	Neck	1333	NECK
Birchall-2016-125-61	61	Back	1291	BACK
Birchall-2016-125-62	62	Breast	1402	BREAST
Birchall-2016-125-63	63	Heart	1223	HEART
Birchall-2016-125-64	64	Liver	1224	LIVER
Birchall-2016-125-65	65	Drink	1401	DRINK
Birchall-2016-125-66	66	Eat	1336	EAT
Birchall-2016-125-67	67	Bite	1403	BITE
Birchall-2016-125-68	68	Suck	1421	SUCK
Birchall-2016-125-69	69	Vomit	1278	VOMIT
Birchall-2016-125-70	70	Breathe	1407	BREATHE
Birchall-2016-125-71	71	Laugh	1355	LAUGH
Birchall-2016-125-72	72	See	1409	SEE
Birchall-2016-125-73	73	Hear	1408	HEAR
Birchall-2016-125-74	74	Fear	1419	FEAR (BE AFRAID)
Birchall-2016-125-75	75	Sleep	1585	SLEEP
Birchall-2016-125-76	76	Die	1494	DIE
Birchall-2016-125-77	77	Kill	1417	KILL
Birchall-2016-125-78	78	Fight	1423	FIGHT
Birchall-2016-125-79	79	Shoot	1172	SHOOT
Birchall-2016-125-80	80	Hit	1433	HIT
Birchall-2016-125-81	81	Cut	1432	CUT
Birchall-2016-125-82	82	Dig	1418	DIG
Birchall-2016-125-83	83	Swim	1439	SWIM
Birchall-2016-125-84	84	Fly	1441	FLY (MOVE THROUGH AIR)
Birchall-2016-125-85	85	Walk	1443	WALK
Birchall-2016-125-86	86	Come	1446	COME
Birchall-2016-125-87	87	Lie	1411	LIE (REST)
Birchall-2016-125-88	88	Sit	1416	SIT
Birchall-2016-125-89	89	Stand	1442	STAND
Birchall-2016-125-90	90	Fall	1280	FALL
Birchall-2016-125-91	91	Give	1447	GIVE
Birchall-2016-125-92	92	Wash	1453	WASH
Birchall-2016-125-93	93	Pull	1455	PULL
Birchall-2016-125-94	94	Push	1452	PUSH
Birchall-2016-125-95	95	Throw	1456	THROW
Birchall-2016-125-96	96	Tie	1917	TIE
Birchall-2016-125-97	97	Say	1458	SAY
Birchall-2016-125-98	98	Sing	1261	SING
Birchall-2016-125-99	99	Sun	1343	SUN
Birchall-2016-125-100	100	Moon	1313	MOON
Birchall-2016-125-101	101	Star	1430	STAR
Birchall-2016-125-102	102	Water	948	WATER
Birchall-2016-125-103	103	Rain	2108	RAINING OR RAIN
Birchall-2016-125-104	104	Stone	857	STONE
Birchall-2016-125-105	105	Sand	671	SAND
Birchall-2016-125-106	106	Earth	1228	EARTH (SOIL)
Birchall-2016-125-107	107	Sky	1732	SKY
Birchall-2016-125-108	108	Wind	960	WIND
Birchall-2016-125-109	109	Smoke	778	SMOKE (EXHAUST)
Birchall-2016-125-110	110	Fire	221	FIRE
Birchall-2016-125-111	111	Ashes	646	ASH
Birchall-2016-125-112	112	Road	667	ROAD
Birchall-2016-125-113	113	Red	156	RED
Birchall-2016-125-114	114	Yellow	1424	YELLOW
Birchall-2016-125-115	115	White	1335	WHITE
Birchall-2016-125-116	116	Black	163	BLACK
Birchall-2016-125-117	117	Night	1233	NIGHT
Birchall-2016-125-118	118	Day	1225	DAY (NOT NIGHT)
Birchall-2016-125-119	119	Summer	1342	SUMMER
Birchall-2016-125-120	120	Cold	1287	COLD
Birchall-2016-125-121	121	New	1231	NEW
Birchall-2016-125-122	122	Old	1229	OLD
Birchall-2016-125-123	123	Good	1035	GOOD
Birchall-2016-125-124	124	Name	1405	NAME
Birchall-2016-125-125	125	Afternoon	1807	AFTERNOON
