ID	NUMBER	EXCLUDED	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2012-205-1	1		*above	1741	ABOVE
Bowern-2012-205-2	2		*again	204	AGAIN
Bowern-2012-205-3	3		all	98	ALL
Bowern-2012-205-4	4		and	1577	AND
Bowern-2012-205-5	5		*ankle	803	ANKLE
Bowern-2012-205-6	6		*ant	587	ANT
Bowern-2012-205-7	7		*armpit	1886	ARMPIT
Bowern-2012-205-8	8		ash	646	ASH
Bowern-2012-205-9	9		at	1461	AT
Bowern-2012-205-10	10		back	1291	BACK
Bowern-2012-205-11	11		bad/evil	3764	BAD OR EVIL
Bowern-2012-205-12	12		belly	1251	BELLY
Bowern-2012-205-13	13		*below	1485	BELOW OR UNDER
Bowern-2012-205-14	14		big	1202	BIG
Bowern-2012-205-15	15		bird	937	BIRD
Bowern-2012-205-16	16		bite	1403	BITE
Bowern-2012-205-17	17		black	163	BLACK
Bowern-2012-205-18	18		blood	946	BLOOD
Bowern-2012-205-19	19		blow	175	BLOW (OF WIND)
Bowern-2012-205-20	20		*blowfly/housefly	1504	FLY (INSECT)
Bowern-2012-205-21	21		*boil/pimple	1809	PIMPLE
Bowern-2012-205-22	22		bone	1394	BONE
Bowern-2012-205-23	23		*boomerang/throwing stick	135	BOOMERANG
Bowern-2012-205-24	24		bottom grinding stone	2459	GRINDSTONE
Bowern-2012-205-25	25		breast	1402	BREAST
Bowern-2012-205-26	26		breathe	1407	BREATHE
Bowern-2012-205-27	27		burn	2102	BURN
Bowern-2012-205-28	28	x	chew	321	CHEW
Bowern-2012-205-29	29		child	2099	CHILD
Bowern-2012-205-30	30		*climb	1102	CLIMB
Bowern-2012-205-31	31		cloud	1489	CLOUD
Bowern-2012-205-32	32		cold	1287	COLD
Bowern-2012-205-33	33		come	1446	COME
Bowern-2012-205-34	34		cook	1100	COOK (SOMETHING)
Bowern-2012-205-35	35		*correct/true	1725	CORRECT (RIGHT)
Bowern-2012-205-36	36	x	count	1420	COUNT
Bowern-2012-205-37	37		*cry	1839	CRY
Bowern-2012-205-38	38		cut/hack	1432	CUT
Bowern-2012-205-39	39		day	1225	DAY (NOT NIGHT)
Bowern-2012-205-40	40		die/be dead	2101	BE DEAD OR DIE
Bowern-2012-205-41	41		dig	1418	DIG
Bowern-2012-205-42	42		*digging stick	339	DIGGING STICK
Bowern-2012-205-43	43		*dingo/wolf	2461	WOLF-LIKE ANIMAL
Bowern-2012-205-44	44		dirty	1230	DIRTY
Bowern-2012-205-45	45		dog	2009	DOG
Bowern-2012-205-46	46		*dream	2455	DREAMING OR DREAM
Bowern-2012-205-47	47		drink	1401	DRINK
Bowern-2012-205-48	48		dry	1398	DRY
Bowern-2012-205-49	49		dull/blunt	379	BLUNT
Bowern-2012-205-50	50		dust	2	DUST
Bowern-2012-205-51	51		ear	1247	EAR
Bowern-2012-205-52	52		earth/soil	1228	EARTH (SOIL)
Bowern-2012-205-53	53		eat	1336	EAT
Bowern-2012-205-54	54		egg	744	EGG
Bowern-2012-205-55	55		eye	1248	EYE
Bowern-2012-205-56	56		*feces	675	FAECES (EXCREMENT)
Bowern-2012-205-57	57		fall	1280	FALL
Bowern-2012-205-58	58		far	1406	FAR
Bowern-2012-205-59	59		fat/grease	323	FAT (ORGANIC SUBSTANCE)
Bowern-2012-205-60	60		father	1217	FATHER
Bowern-2012-205-61	61		fear	1419	FEAR (BE AFRAID)
Bowern-2012-205-62	62		feather	1201	FEATHER
Bowern-2012-205-63	63		fire	221	FIRE
Bowern-2012-205-64	64		fish	227	FISH
Bowern-2012-205-65	65		flow	2003	FLOW
Bowern-2012-205-66	66	x	flower	239	FLOWER
Bowern-2012-205-67	67	x	fly	1441	FLY (MOVE THROUGH AIR)
Bowern-2012-205-68	68		fog	249	FOG
Bowern-2012-205-69	69		foot	1301	FOOT
Bowern-2012-205-70	70	x	fruit	1507	FRUIT
Bowern-2012-205-71	71		good	1035	GOOD
Bowern-2012-205-72	72		grass	606	GRASS
Bowern-2012-205-73	73		*grow	479	GROW
Bowern-2012-205-74	74		hair	1040	HAIR
Bowern-2012-205-75	75		hand	1277	HAND
Bowern-2012-205-76	76		he/she	2642	HE OR SHE
Bowern-2012-205-77	77		head	1256	HEAD
Bowern-2012-205-78	78		hear	1408	HEAR
Bowern-2012-205-79	79		heavy	1210	HEAVY
Bowern-2012-205-80	80		*hide	2486	HIDE
Bowern-2012-205-81	81	x	hit (with hand)	353	STRIKE
Bowern-2012-205-82	82		hold	1448	HOLD
Bowern-2012-205-83	83	x	house	1252	HOUSE
Bowern-2012-205-84	84		how	1239	HOW
Bowern-2012-205-85	85		I	1209	I
Bowern-2012-205-86	86	x	if	1459	IF
Bowern-2012-205-87	87		in/inside	1606	INSIDE
Bowern-2012-205-88	88		intestines	1991	INTESTINES
Bowern-2012-205-89	89		*itch	148	ITCH
Bowern-2012-205-90	90		*kangaroo/deer	2456	LARGE WILD HERBIVORE
Bowern-2012-205-91	91		kill	1417	KILL
Bowern-2012-205-92	92		know/be knowledgeable	1410	KNOW (SOMETHING)
Bowern-2012-205-93	93		lake	624	LAKE
Bowern-2012-205-94	94		laugh	1355	LAUGH
Bowern-2012-205-95	95		leaf	628	LEAF
Bowern-2012-205-96	96		left	244	LEFT
Bowern-2012-205-97	97		leg	1297	LEG
Bowern-2012-205-98	98		lie down	215	LIE DOWN
Bowern-2012-205-99	99		*lightning	1654	LIGHTNING
Bowern-2012-205-100	100		live/be alive	1422	BE ALIVE
Bowern-2012-205-101	101		liver	1224	LIVER
Bowern-2012-205-102	102		long	1203	LONG
Bowern-2012-205-103	103		louse	1392	LOUSE
Bowern-2012-205-104	104		*lung	688	LUNG
Bowern-2012-205-105	105	x	man/male	2106	MALE PERSON
Bowern-2012-205-106	106		meat/flesh	2615	FLESH OR MEAT
Bowern-2012-205-107	107		moon	1313	MOON
Bowern-2012-205-108	108		*mosquito	1509	MOSQUITO
Bowern-2012-205-109	109		mother	1216	MOTHER
Bowern-2012-205-110	110		mouth	674	MOUTH
Bowern-2012-205-111	111		name	1405	NAME
Bowern-2012-205-112	112		*nape	1347	NAPE (OF NECK)
Bowern-2012-205-113	113		near/close	1942	NEAR
Bowern-2012-205-114	114		neck	1333	NECK
Bowern-2012-205-115	115		new	1231	NEW
Bowern-2012-205-116	116		night	1233	NIGHT
Bowern-2012-205-117	117		no/not	2279	NO OR NOT
Bowern-2012-205-118	118		nose	1221	NOSE
Bowern-2012-205-119	119		old	1229	OLD
Bowern-2012-205-120	120		one	1493	ONE
Bowern-2012-205-121	121		*open/uncover	1156	OPEN
Bowern-2012-205-122	122		other	197	OTHER
Bowern-2012-205-123	123		*painful/sick	2103	PAINFUL OR SICK
Bowern-2012-205-124	124	x	person/human being	683	PERSON
Bowern-2012-205-125	125		*pound/beat	2133	STRIKE OR BEAT
Bowern-2012-205-126	126		rain	2108	RAINING OR RAIN
Bowern-2012-205-127	127		red	156	RED
Bowern-2012-205-128	128		right	1019	RIGHT
Bowern-2012-205-129	129		road/path	2457	PATH OR ROAD
Bowern-2012-205-130	130	x	roof	769	ROOF
Bowern-2012-205-131	131		root	670	ROOT
Bowern-2012-205-132	132		rope	1218	ROPE
Bowern-2012-205-133	133		rotten	1728	ROTTEN
Bowern-2012-205-134	134		sand	671	SAND
Bowern-2012-205-135	135		say	1458	SAY
Bowern-2012-205-136	136		scratch	1436	SCRATCH
Bowern-2012-205-137	137		see	1409	SEE
Bowern-2012-205-138	138		sharp	1396	SHARP
Bowern-2012-205-139	139		shoot	1172	SHOOT
Bowern-2012-205-140	140		short	1645	SHORT
Bowern-2012-205-141	141		*shoulder	1482	SHOULDER
Bowern-2012-205-142	142		*shy/ashamed	487	SHY
Bowern-2012-205-143	143		sit	1416	SIT
Bowern-2012-205-144	144		skin	763	SKIN
Bowern-2012-205-145	145		sky	1732	SKY
Bowern-2012-205-146	146		sleep	1585	SLEEP
Bowern-2012-205-147	147		small	1246	SMALL
Bowern-2012-205-148	148		smoke	778	SMOKE (EXHAUST)
Bowern-2012-205-149	149		snake	730	SNAKE
Bowern-2012-205-150	150		sniff/smell	1586	SMELL (PERCEIVE)
Bowern-2012-205-151	151		spear	945	SPEAR
Bowern-2012-205-152	152		*spearthrower	2677	SPEARTHROWER
Bowern-2012-205-153	153		*spider	843	SPIDER
Bowern-2012-205-154	154		spit	1440	SPIT
Bowern-2012-205-155	155		split	1437	SPLIT
Bowern-2012-205-156	156		squeeze	1414	SQUEEZE
Bowern-2012-205-157	157		stab/pierce	1434	STAB
Bowern-2012-205-158	158		stand	1442	STAND
Bowern-2012-205-159	159		star	1430	STAR
Bowern-2012-205-160	160		*steal	713	STEAL
Bowern-2012-205-161	161		*stick/wood	1295	STICK
Bowern-2012-205-162	162		stone	857	STONE
Bowern-2012-205-163	163		suck	1421	SUCK
Bowern-2012-205-164	164		*sweat	2458	PERSPIRE OR SWEAT
Bowern-2012-205-165	165		swell	1573	SWELL
Bowern-2012-205-166	166		swim	1439	SWIM
Bowern-2012-205-167	167		tail	1220	TAIL
Bowern-2012-205-168	168		that	78	THAT
Bowern-2012-205-169	169	x	thatch/roof	2100	THATCH OR ROOF
Bowern-2012-205-170	170		they	817	THEY
Bowern-2012-205-171	171	x	thick	1244	THICK
Bowern-2012-205-172	172		thin	2308	THIN
Bowern-2012-205-173	173		think	2271	THINK
Bowern-2012-205-174	174		this	1214	THIS
Bowern-2012-205-175	175		thou	1215	THOU
Bowern-2012-205-176	176		three	492	THREE
Bowern-2012-205-177	177		*throat	1346	THROAT
Bowern-2012-205-178	178		throw	1456	THROW
Bowern-2012-205-179	179		*thunder	1150	THUNDER
Bowern-2012-205-180	180		tie up/fasten	1094	FASTEN
Bowern-2012-205-181	181		tongue	1205	TONGUE
Bowern-2012-205-182	182		tooth	1380	TOOTH
Bowern-2012-205-183	183	x	top grinding stone	2459	GRINDSTONE
Bowern-2012-205-184	184		turn	1588	TURN
Bowern-2012-205-185	185		two	1498	TWO
Bowern-2012-205-186	186		vomit	1278	VOMIT
Bowern-2012-205-187	187		walk	1443	WALK
Bowern-2012-205-188	188		water	948	WATER
