ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2012-644-1	1	a nuisance		
Bowern-2012-644-2	2	(a) boil	793	BOIL (OF SKIN)
Bowern-2012-644-3	3	afternoon	1807	AFTERNOON
Bowern-2012-644-4	4	albatross		
Bowern-2012-644-5	5	alive	1422	BE ALIVE
Bowern-2012-644-6	6	amulet	2804	AMULET
Bowern-2012-644-7	7	anger	82	ANGER
Bowern-2012-644-8	8	ankle	803	ANKLE
Bowern-2012-644-9	9	anoint with grease and red ochre (to)		
Bowern-2012-644-10	10	another	197	OTHER
Bowern-2012-644-11	11	answer (to)	1275	ANSWER
Bowern-2012-644-12	12	ant	587	ANT
Bowern-2012-644-13	13	arm	1673	ARM
Bowern-2012-644-14	14	armpit	1886	ARMPIT
Bowern-2012-644-15	15	articles		
Bowern-2012-644-16	16	ashamed	1894	ASHAMED
Bowern-2012-644-17	17	ashes	646	ASH
Bowern-2012-644-18	18	baby	1289	BABY
Bowern-2012-644-19	19	back	1291	BACK
Bowern-2012-644-20	20	back of thigh		
Bowern-2012-644-21	21	bad	1292	BAD
Bowern-2012-644-22	22	bandicoot	3012	BANDICOOT
Bowern-2012-644-23	23	bandy-legged		
Bowern-2012-644-24	24	bark	1204	BARK
Bowern-2012-644-25	25	bark (to)	1204	BARK
Bowern-2012-644-26	26	basket	1539	BASKET
Bowern-2012-644-27	27	bat	1793	BAT
Bowern-2012-644-28	28	be (to)	1579	BE
Bowern-2012-644-29	29	beach	113	SHORE
Bowern-2012-644-30	30	beard	678	BEARD
Bowern-2012-644-31	31	beetle	2242	BEETLE
Bowern-2012-644-32	32	before	1882	BEFORE
Bowern-2012-644-33	33	behind	1686	BEHIND
Bowern-2012-644-34	34	belly	1251	BELLY
Bowern-2012-644-35	35	bellyfull	106	SATIATED
Bowern-2012-644-36	36	berry	904	BERRY
Bowern-2012-644-37	37	bilge		
Bowern-2012-644-38	38	bill		
Bowern-2012-644-39	39	black	163	BLACK
Bowern-2012-644-40	40	black man	2806	BLACK MAN
Bowern-2012-644-41	41	black man-native	2806	BLACK MAN
Bowern-2012-644-42	42	black milky way		
Bowern-2012-644-43	43	black woman	2807	BLACK WOMAN
Bowern-2012-644-44	44	black-butted gum		
Bowern-2012-644-45	45	blacken (to)	2808	BLACKEN
Bowern-2012-644-46	46	blacklead		
Bowern-2012-644-47	47	blood	946	BLOOD
Bowern-2012-644-48	48	blow (to)	175	BLOW (OF WIND)
Bowern-2012-644-49	49	blue-tongued lizard («goanna»)		
Bowern-2012-644-50	50	blueberry	2809	BLUEBERRY
Bowern-2012-644-51	51	boat	1844	BOAT
Bowern-2012-644-52	52	bone	1394	BONE
Bowern-2012-644-53	53	bottle	1321	BOTTLE
Bowern-2012-644-54	54	bottom (down in the bottom)	690	BOTTOM
Bowern-2012-644-55	55	bow	994	BOW
Bowern-2012-644-56	56	boy	1366	BOY
Bowern-2012-644-57	57	brain	1583	BRAIN
Bowern-2012-644-58	58	bread	1368	BREAD
Bowern-2012-644-59	59	breast, chest	1592	CHEST
Bowern-2012-644-60	60	breathe (to)	1407	BREATHE
Bowern-2012-644-61	61	bring (to)	692	BRING
Bowern-2012-644-62	62	brother	1262	BROTHER
Bowern-2012-644-63	63	brush opossum		
Bowern-2012-644-64	64	bullock		
Bowern-2012-644-65	65	burn (to)	2102	BURN
Bowern-2012-644-66	66	burn-off (to)		
Bowern-2012-644-67	67	bury (to)	1719	BURY
Bowern-2012-644-68	68	bush	1683	BUSH
Bowern-2012-644-69	69	bushfire	2811	BUSHFIRE
Bowern-2012-644-70	70	butterfly	1791	BUTTERFLY
Bowern-2012-644-71	71	buttock	834	BUTTOCKS
Bowern-2012-644-72	72	call (to)	1084	CALL
Bowern-2012-644-73	73	cap	771	HAT
Bowern-2012-644-74	74	cart (a)	122	CART
Bowern-2012-644-75	75	caterpillar	2247	CATERPILLAR
Bowern-2012-644-76	76	cattle	1153	CATTLE
Bowern-2012-644-77	77	caul		
Bowern-2012-644-78	78	charcoal	1188	CHARCOAL
Bowern-2012-644-79	79	cheek	1730	CHEEK
Bowern-2012-644-80	80	chief	301	CHIEFTAIN
Bowern-2012-644-81	81	child	2099	CHILD
Bowern-2012-644-82	82	childbirth	2805	BIRTH (ACCOUCHEMENT)
Bowern-2012-644-83	83	children	2099	CHILD
Bowern-2012-644-84	84	chin	1510	CHIN
Bowern-2012-644-85	85	chirrup (to)		
Bowern-2012-644-86	86	chisel	1979	CHISEL
Bowern-2012-644-87	87	cicada	2353	CICADA
Bowern-2012-644-88	88	cider		
Bowern-2012-644-89	89	circle	1467	CIRCLE
Bowern-2012-644-90	90	claw	72	CLAW
