ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	GBIF_ID	GBIF_NAME	KINGDOM	CLASS	GENUS
Brid-2022-324-1	1	honey	942	HONEY	miel					
Brid-2022-324-2	2	beehive	88	BEEHIVE	colmena					
Brid-2022-324-3	3	hit	1433	HIT	golpear					
Brid-2022-324-4	4	brother	1262	BROTHER	hermano					
Brid-2022-324-5	5	sister	1263	SISTER	hermana					
Brid-2022-324-6	6	older brother	1759	OLDER BROTHER	hermano mayor					
Brid-2022-324-7	7	younger brother	1760	YOUNGER BROTHER	hermano menor					
Brid-2022-324-8	8	older sister	1758	OLDER SISTER	hermana mayor					
Brid-2022-324-9	9	younger sister	1761	YOUNGER SISTER	hermana menor					
Brid-2022-324-10	10	son	1620	SON	hijo					
Brid-2022-324-11	11	daughter	1357	DAUGHTER	hija					
Brid-2022-324-12	12	shirt	1622	SHIRT	camisa					
Brid-2022-324-13	13	cup (drinking vessel)	476	CUP	taza					
Brid-2022-324-14	14	trousers	809	TROUSERS	pantalones, calzones					
Brid-2022-324-15	15	long	1203	LONG	largo					
Brid-2022-324-16	16	easy	686	EASY	fácil					
Brid-2022-324-17	17	difficult	584	DIFFICULT	difícil					
Brid-2022-324-18	18	word	1599	WORD	palabra					
Brid-2022-324-19	19	language	1307	LANGUAGE	lengua, idioma					
Brid-2022-324-20	20	understand	1536	UNDERSTAND	entender					
Brid-2022-324-21	21	find	719	FIND	encontrar, hallar					
Brid-2022-324-22	22	city	2547	CITY	ciudad					
Brid-2022-324-23	23	stone	668	ROCK	piedra					
Brid-2022-324-24	24	mountain	639	MOUNTAIN	montaña					
Brid-2022-324-25	25	sour	1906	SOUR	ácido					
Brid-2022-324-26	26	Geranospiza caerulescens				2480435	Geranospiza caerulescens (Vieillot, 1817)	Animalia	Aves	Geranospiza
Brid-2022-324-27	27	Britoa sellowiana				3180975	Campomanesia laurifolia Gardner	Plantae	Magnoliopsida	Campomanesia
Brid-2022-324-28	28	Tillandsia meridionalis				2695059	Tillandsia recurvifolia Hook.	Plantae	Liliopsida	Tillandsia
Brid-2022-324-29	29	Cucurbitella duriaei				5537213	Cucurbitella asperata (Gillies ex Hook. & Arn.) Walp.	Plantae	Magnoliopsida	Cucurbitella
Brid-2022-324-30	30	Echinodorus longipetalus				5328794	Echinodorus longipetalus Micheli	Plantae	Liliopsida	Echinodorus
Brid-2022-324-31	31	Polygonum punctatum				6390957	Persicaria punctata (Elliott) Small	Plantae	Magnoliopsida	Persicaria
Brid-2022-324-32	32	Polygonum hispidum				7291664	Polygonum hispidum Kunth	Plantae	Magnoliopsida	Persicaria
Brid-2022-324-33	33	Pithecoctenium cynanchoides				7939692	Amphilophium carolinae (Lindl.) L.G.Lohmann	Plantae	Magnoliopsida	Amphilophium
Brid-2022-324-34	34	Micrurus corallinus				5227011	Micrurus corallinus (Merrem, 1820)	Animalia	Reptilia	Micrurus
Brid-2022-324-35	35	spider	843	SPIDER	araña					
Brid-2022-324-36	36	spider web	1065	SPIDER WEB	telaraña					
Brid-2022-324-37	37	husband	1200	HUSBAND	marido, esposo					
Brid-2022-324-38	38	wife	1199	WIFE	esposa					
Brid-2022-324-39	39	sit	1416	SIT	sentar					
Brid-2022-324-40	40	born (to be)	1090	BE BORN	nacer					
Brid-2022-324-41	41	fall	1280	FALL	caer					
Brid-2022-324-42	42	hair (head)	2648	HAIR (HEAD)	cabello, pelo					
Brid-2022-324-43	43	leaf	628	LEAF	hoja					
Brid-2022-324-44	44	feather	1201	FEATHER	pluma					
Brid-2022-324-45	45	Pyrocephalus rubinus				2483647	Pyrocephalus rubinus (Boddaert, 1783)	Animalia		Pyrocephalus
Brid-2022-324-46	46	animal	619	ANIMAL	animal					
Brid-2022-324-47	47	sun	1343	SUN	sol					
