ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bromley-1967-111-1	1	all	98	ALL
Bromley-1967-111-2	2	ashes	646	ASH
Bromley-1967-111-3	3	bark	1204	BARK
Bromley-1967-111-4	4	belly	1251	BELLY
Bromley-1967-111-5	5	big	1202	BIG
Bromley-1967-111-6	6	bird	937	BIRD
Bromley-1967-111-7	7	bite (bit me)	1403	BITE
Bromley-1967-111-8	8	black	163	BLACK
Bromley-1967-111-9	9	blood	946	BLOOD
Bromley-1967-111-10	10	bone (my)	1394	BONE
Bromley-1967-111-11	11	breast	1402	BREAST
Bromley-1967-111-12	12	burn (me)	2102	BURN
Bromley-1967-111-13	13	claw	72	CLAW
Bromley-1967-111-14	14	cloud	1489	CLOUD
Bromley-1967-111-15	15	cold	1287	COLD
Bromley-1967-111-16	16	come! (2s)	1446	COME
Bromley-1967-111-17	17	died (3s)	???	???
Bromley-1967-111-18	18	dog	2009	DOG
Bromley-1967-111-19	19	drink! (2s)	1401	DRINK
Bromley-1967-111-20	20	dry (leaf)	1398	DRY
Bromley-1967-111-21	21	ear (my)	1247	EAR
Bromley-1967-111-22	22	earth	1228	EARTH (SOIL)
Bromley-1967-111-23	23	eat! (2s)	1336	EAT
Bromley-1967-111-24	24	egg	744	EGG
Bromley-1967-111-25	25	eye (my)	1248	EYE
Bromley-1967-111-26	26	fat	323	FAT (ORGANIC SUBSTANCE)
Bromley-1967-111-27	27	feather	1201	FEATHER
Bromley-1967-111-28	28	fire	221	FIRE
Bromley-1967-111-29	29	fish	227	FISH
Bromley-1967-111-30	30	flying	1441	FLY (MOVE THROUGH AIR)
Bromley-1967-111-31	31	foot	2098	FOOT OR LEG
Bromley-1967-111-32	32	full	1429	FULL
Bromley-1967-111-33	33	give (me)!	1447	GIVE
Bromley-1967-111-34	34	good	1035	GOOD
Bromley-1967-111-35	35	green	1425	GREEN
Bromley-1967-111-36	36	hair (my)	1040	HAIR
Bromley-1967-111-37	37	hand (my)	1277	HAND
Bromley-1967-111-38	38	head (my)	1256	HEAD
Bromley-1967-111-39	39	I heard	???	???
Bromley-1967-111-40	40	heart (my)	1223	HEART
Bromley-1967-111-41	41	horn	1393	HORN (ANATOMY)
Bromley-1967-111-42	42	I	1209	I
Bromley-1967-111-43	43	kill! (2s)	1417	KILL
Bromley-1967-111-44	44	knee (my)	1371	KNEE
Bromley-1967-111-45	45	I know	1410	KNOW (SOMETHING)
Bromley-1967-111-46	46	leaf	628	LEAF
Bromley-1967-111-47	47	lie down!	215	LIE DOWN
Bromley-1967-111-48	48	liver (my)	1224	LIVER
Bromley-1967-111-49	49	long	1203	LONG
Bromley-1967-111-50	50	louse (my)	1392	LOUSE
Bromley-1967-111-51	51	man	1554	MAN
Bromley-1967-111-52	52	many	1198	MANY
Bromley-1967-111-53	53	meat (lean)	634	MEAT
Bromley-1967-111-54	54	moon	1313	MOON
Bromley-1967-111-55	55	mountain	639	MOUNTAIN
Bromley-1967-111-56	56	mouth (my)	674	MOUTH
Bromley-1967-111-57	57	name	1405	NAME
Bromley-1967-111-58	58	neck (my)	1333	NECK
Bromley-1967-111-59	59	new	1231	NEW
Bromley-1967-111-60	60	night	1233	NIGHT
Bromley-1967-111-61	61	nose (my)	1221	NOSE
Bromley-1967-111-62	62	not	1240	NOT
Bromley-1967-111-63	63	one	1493	ONE
Bromley-1967-111-64	64	people	789	PEOPLE
Bromley-1967-111-65	65	rain	2108	RAINING OR RAIN
Bromley-1967-111-66	66	red	156	RED
Bromley-1967-111-67	67	road	667	ROAD
Bromley-1967-111-68	68	root	670	ROOT
Bromley-1967-111-69	69	round	1395	ROUND
Bromley-1967-111-70	70	sand	671	SAND
Bromley-1967-111-71	71	speak! (2s)	1623	SPEAK
Bromley-1967-111-72	72	look! (2s)	1819	LOOK
Bromley-1967-111-73	73	seed (plant)	714	SEED
Bromley-1967-111-74	74	sit! (2s)	1416	SIT
Bromley-1967-111-75	75	skin (my)	763	SKIN
Bromley-1967-111-76	76	sleep! (2s)	1585	SLEEP
Bromley-1967-111-77	77	small	1246	SMALL
Bromley-1967-111-78	78	smoke	778	SMOKE (EXHAUST)
Bromley-1967-111-79	79	stand! (2s)	1442	STAND
Bromley-1967-111-80	80	star	1430	STAR
Bromley-1967-111-81	81	stone	857	STONE
Bromley-1967-111-82	82	sun	1343	SUN
Bromley-1967-111-83	83	swim!	1439	SWIM
Bromley-1967-111-84	84	tail	1220	TAIL
Bromley-1967-111-85	85	that	78	THAT
Bromley-1967-111-86	86	this	1214	THIS
Bromley-1967-111-87	87	thou	1215	THOU
Bromley-1967-111-88	88	tongue (my)	1205	TONGUE
Bromley-1967-111-89	89	tooth (my)	1380	TOOTH
Bromley-1967-111-90	90	tree (wood)	906	TREE
Bromley-1967-111-91	91	two	1498	TWO
Bromley-1967-111-92	92	walk (go!)	1443	WALK
Bromley-1967-111-93	93	warm	1232	WARM
Bromley-1967-111-94	94	water	948	WATER
Bromley-1967-111-95	95	we	1212	WE
Bromley-1967-111-96	96	what	1236	WHAT
Bromley-1967-111-97	97	white	1335	WHITE
Bromley-1967-111-98	98	who	1235	WHO
Bromley-1967-111-99	99	woman	962	WOMAN
Bromley-1967-111-100	100	yellow	1424	YELLOW
Bromley-1967-111-101	101	across (stream)	2670	ACROSS
Bromley-1967-111-102	102	bad	1292	BAD
Bromley-1967-111-103	103	gourd man's	2671	PENIS SHEATH
