ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	DSS_ID	URL	GLOSS	OCCURRENCES	OMEGAWIKI
Bulakh-2013-870-1	fde056b7-d54b-4777-9382-ef7b3857d34b	GUNPOWDER	1	5	http://semshifts.iling-ran.ru/show-meaning.html?id=5	(gun)powder	3	736459
Bulakh-2013-870-2	e6429073-7606-4ff5-90d3-5be0ea04f11e	DAY 24 HOURS	2	62	http://semshifts.iling-ran.ru/show-meaning.html?id=62	24 hours	3	5533
Bulakh-2013-870-3	bde1425a-21c6-4890-ad47-6f89889d1a90	PINE	3	64	http://semshifts.iling-ran.ru/show-meaning.html?id=64	abies (Abies)	3	706003
Bulakh-2013-870-4	78a99b49-308c-4c77-b9f2-4e189426a525	SOUR	4	71	http://semshifts.iling-ran.ru/show-meaning.html?id=71	acerb, tart, harsh (taste or smell)	3	838324
Bulakh-2013-870-5	fda7371e-db81-4268-aff8-31555bb877b0	ACTIVE	5	76	http://semshifts.iling-ran.ru/show-meaning.html?id=76	active	6	8019
Bulakh-2013-870-6	NAN		6	81	http://semshifts.iling-ran.ru/show-meaning.html?id=81	affair	4	NAN
Bulakh-2013-870-7	44808f60-5ac3-4d8d-ab65-bfc0863f3739	AIR	7	87	http://semshifts.iling-ran.ru/show-meaning.html?id=87	air	5	106
Bulakh-2013-870-8	900d2e57-e888-4291-9916-a5d232ed22f4	AMAZING	8	98	http://semshifts.iling-ran.ru/show-meaning.html?id=98	amazing	4	803175
Bulakh-2013-870-9	8772e9b7-36f0-4456-8c4b-1bbdf533fa98	AMBUSH	9	100	http://semshifts.iling-ran.ru/show-meaning.html?id=100	ambush, embuscade	7	1117421
Bulakh-2013-870-10	758e2fce-20ce-4340-bec7-9b9a721e5941	ANGER	10	104	http://semshifts.iling-ran.ru/show-meaning.html?id=104	anger	4	1156554
Bulakh-2013-870-11	fa2291e9-7dee-4ee8-8c45-76849202d15a	ANGRY	11	105	http://semshifts.iling-ran.ru/show-meaning.html?id=105	angry	9	7613
Bulakh-2013-870-12	e47d5bef-ad59-43ef-a6a3-418133a0e3ad	ANIMAL	12	106	http://semshifts.iling-ran.ru/show-meaning.html?id=106	animal	5	194
Bulakh-2013-870-13	34eb4f7d-2f9d-4f71-a29f-044e425d0e00	ANT	13	109	http://semshifts.iling-ran.ru/show-meaning.html?id=109	ant	3	160271
Bulakh-2013-870-14	ed5613c8-4fb6-47e6-bd74-9ba0e709c7f1	APPLE	14	113	http://semshifts.iling-ran.ru/show-meaning.html?id=113	apple	3	5781
Bulakh-2013-870-15	1bb260d0-7b9e-4472-8507-8c417162760f	ARMPIT	15	117	http://semshifts.iling-ran.ru/show-meaning.html?id=117	armpit	4	818235
Bulakh-2013-870-16	d6e7aa40-5287-4555-9377-c21004d6b6f9	ARMY	16	118	http://semshifts.iling-ran.ru/show-meaning.html?id=118	army	5	6414
Bulakh-2013-870-17	412ceb41-f74e-41bd-808b-6b23c2e071d4	ARROW	17	119	http://semshifts.iling-ran.ru/show-meaning.html?id=119	arrow	8	420887
Bulakh-2013-870-18	eb52b26f-d024-438f-854f-3c3475b9c441	FRAXINUS	18	121	http://semshifts.iling-ran.ru/show-meaning.html?id=121	ash (tree)	3	474721
Bulakh-2013-870-19	4fbf8155-ad56-4b2a-aec4-f052c98cec72	ASPEN	19	123	http://semshifts.iling-ran.ru/show-meaning.html?id=123	aspen	3	384856
Bulakh-2013-870-20	6d9ea35a-07a5-4df4-8890-2407081f456c	ATTENTIVE	20	127	http://semshifts.iling-ran.ru/show-meaning.html?id=127	attentive	3	839411
Bulakh-2013-870-21	55fd9500-ed18-41a2-b1ce-8a3eba7089f1	AUTUMN	21	129	http://semshifts.iling-ran.ru/show-meaning.html?id=129	autumn	3	5615
