ID	NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Calero-2002-15-1	1	Tree	Árbol	906	TREE
Calero-2002-15-2	2	Watch	Reloj	1323	CLOCK
Calero-2002-15-3	3	Broom	Escoba	245	BROOM
Calero-2002-15-4	4	Hanger	Percha		
Calero-2002-15-5	5	Mask	Careta	2005	MASK
Calero-2002-15-6	6	Racquet	Raqueta	2585	RACQUET
Calero-2002-15-7	7	Wreath	Corona	2589	WREATH
Calero-2002-15-8	8	Rhinoceros	Rinoceronte	2591	RHINOCEROS
Calero-2002-15-9	9	Stilts	Zancos	2593	STILTS
Calero-2002-15-10	10	Escalator	Escalera MecÁnica	2596	ESCALATOR
Calero-2002-15-11	11	Muzzle	Bozal	2200	SNOUT
Calero-2002-15-12	12	Accordion	Acordeón	2603	ACCORDION
Calero-2002-15-13	13	Compass	CompÁs	2606	COMPASS
Calero-2002-15-14	14	Scroll	Papiro	2608	SCROLL
Calero-2002-15-15	15	Abacus	Ábaco	2489	ABACUS
