ID	NUMBER	ENGLISH	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	PORTUGUESE_FREQUENCY	CHINESE_FREQUENCY	SWAHILI_FREQUENCY	CHILEAN_FREQUENCY	FINNISH_FREQUENCY	ESTONIAN_FREQUENCY	FRENCH_FREQUENCY	TURKISH_FREQUENCY	CZECH_FREQUENCY	POLISH_FREQUENCY	BASQUE_FREQUENCY	MAORI_FREQUENCY	TOK_PISIN_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Calude-2011-200-1	1	ALL	3.4197905861	3.7385590659	3.9300428395	3.4584999747	3.6871205344	3.4103216177	3.5397659032	3.3425029521	2.991861568	3.4952667444	3.4288925275	3.2626883443	3.4584882749	3.1489075683	2.8107700112	3.5518158224	3.747340749	98	ALL
Calude-2011-200-2	2	AND	4.428410192	4.4014537599	4.5588255264	4.552466376	4.5034056831	3.8623520498	4.4551875888	4.4075202198	4.4130758632	4.4350795384	4.2643686625	4.0892514126	4.5110003785	4.1462608543	4.5842067993	4.5250707343	4.797449856	1577	AND
Calude-2011-200-3	3	ANIMAL	2.1846914308	1.9521083799	1.9307453283	1.7805556508	2.2419336756	2.0120353591	2.2810333672	1.8947221006	1.3183923183	2.3074960379	1.7161703479	1.6946051989	2.2082531931	1.9605236275	2.0406023401	1.7323937598	3.1968922281	619	ANIMAL
Calude-2011-200-4	4	ASHES	1.1139433523	0.7585556943	0.9484129658	0.8446979043	1.4377505628	1.39707055	1.0413926852	0.719331287	0.403403108	1.6127838567	0.8926510339	1.3010299957	1.3575537197	0.8520731604	1.6354837468	0.903089987	1.6862833933	646	ASH
Calude-2011-200-5	5	AT	3.6803355134	4.3731013972	3.6951312977	3.9006702541	4.540623355	2.9529667069	2.5652573434	4.3416382248		2.6928469193	4.2248716647		3.3021815195	4.221590702		4.3010734229	4.7898020506	1461	AT
Calude-2011-200-6	6	BACK	2.3263358609	1.6846869852	2.4738080103	1.5320786769	1.9223217045	1.8968016977	1.9444826722	1.4044535901	1.1788652199	2.6170003411	2.0728011494	1.8836614352	2.1054761211	1.559906625	1.9947569446	3.0310042814	3.5900191715	1291	BACK
Calude-2011-200-7	7	BAD	2.4216039269	2.375663614	2.004450353	2.4303884239	1.9020028914	1.7152510289	2.5538830266	-0.6989700043	1.7447276985	2.2278867046	1.883945195	2.3453737306	2.4505570094	2.4146651494	1.5132176001	2.2455126678	3.4885683234	1292	BAD
Calude-2011-200-8	8	BARK (OF A TREE)	0.6989700043	0.5824644353	1.2000292666	0.8749333273	1.2433137037		2.0663259254	0.4987698817	-0.2150472995	1.5797835966	1.883945195	0.9294189257	1.5177235948	0.8481206649	2.1065308538	0.3010299957		1204	BARK
Calude-2011-200-9	9	BECAUSE	2.9304395948	3.5860409493	2.890605429	2.5625822183	3.2091454986	3.4194931354	2.6688516481	3.0650590959	3.23452603	3.242292905	2.6228561794	2.7573960288	2.9952753269	3.8561334499		3.5794405971	2.9043935733	1157	BECAUSE
Calude-2011-200-10	10	BELLY	1	0.468521083	2.0182010225	0.9600005518	1.3263358609	1.4763968267	2.0211892991	0.9821706903	0.7240877916	2.0086001718	1.8724476478	2.0492180227	1.6925825623	1.4133742827	1.7543483357	1.8808135923	3.0080100113	1251	BELLY
Calude-2011-200-11	11	BIG	2.5289167003	2.6795080568	3.2088469743	3.3097262677	3.2093183758		3.3723595825	2.5671414305	2.4617869495	3.2545480771	2.8213366304	3.0960405543	3.2678496374	2.7239461541	1.4216039269	3.2581581933	3.6697378442	1202	BIG
