ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-10h-1	1	163	BLACK	colour term black	12141	Colour terms	
Carling-2017-10h-2	2	1335	WHITE	colour term white	12142	Colour terms	
Carling-2017-10h-3	3	156	RED	colour term red	12143	Colour terms	
Carling-2017-10h-4	4	837	BLUE	colour term blue	12144	Colour terms	
Carling-2017-10h-5	5	1425	GREEN	colour term green	12145	Colour terms	
Carling-2017-10h-6	6	1424	YELLOW	colour term yellow	12146	Colour terms	
Carling-2017-10h-7	7	2409	BROWN	colour term brown	12147	Colour terms	
Carling-2017-10h-8	8		*ORANGE (COLOR)	colour term orange	12148	Colour terms	
Carling-2017-10h-9	9	2452	PURPLE	colour term purple	12149	Colour terms	
Carling-2017-10h-10	10	153	GREY	colour term grey	12150	Colour terms	
