ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-87f-1	1	1008	BULL	bull	6001	Farm animals	
Carling-2017-87f-2	2	1007	COW	cow	6002	Farm animals	
Carling-2017-87f-3	3	1169	OX	ox	6003	Farm animals	
Carling-2017-87f-4	4	1153	CATTLE	cattle	6004	Farm animals	(collective term)
Carling-2017-87f-5	5	615	HORSE	horse	6005	Farm animals	
Carling-2017-87f-6	6	1862	DONKEY	donkey	6006	Farm animals	
Carling-2017-87f-7	7	1331	SHEEP	sheep	6007	Farm animals	(collective term)
Carling-2017-87f-8	8	1344	RAM	ram	6008	Farm animals	
Carling-2017-87f-9	9	820	LAMB	lamb	6009	Farm animals	
Carling-2017-87f-10	10	1502	GOAT	goat	6010	Farm animals	
Carling-2017-87f-11	11	1337	PIG	pig	6011	Farm animals	
Carling-2017-87f-12	12	2564	PIGLET	piglet	6012	Farm animals	
Carling-2017-87f-13	13	1514	HEN	hen	6013	Farm animals	
Carling-2017-87f-14	14	1511	ROOSTER	rooster	6014	Farm animals	
Carling-2017-87f-15	15	1318	CHICKEN	chicken	6015	Farm animals	
Carling-2017-87f-16	16	1360	DUCK	duck	6016	Farm animals	
Carling-2017-87f-17	17	2009	DOG	dog	6017	Farm animals	
Carling-2017-87f-18	18	1208	CAT	cat	6018	Farm animals	
Carling-2017-87f-19	19	665	BEE	bee	6019	Farm animals	
Carling-2017-87f-20	20	522	WOLF	wolf	6020	Wild animals	
Carling-2017-87f-21	21	1820	BEAR	bear	6021	Wild animals	
Carling-2017-87f-22	22	3154	WILD BOAR	wild pig	6022	Wild animals	
Carling-2017-87f-23	23	1139	LEOPARD	leopard	6023	Wild animals	
Carling-2017-87f-24	24	1386	LION	lion	6025	Wild animals	
Carling-2017-87f-25	25	1312	FOX	fox	6026	Wild animals	
Carling-2017-87f-26	26		*JACKAL	jackal	6027	Wild animals	
Carling-2017-87f-27	27	3142	BISON	bison	6028	Wild animals	
Carling-2017-87f-28	28	2345	LEPORID (RABBIT OR HARE)	hare / rabbit	6029	Wild animals	
Carling-2017-87f-29	29	730	SNAKE	snake	6030	Wild animals	
Carling-2017-87f-30	30	2543	RAVEN	raven	6031	Wild animals	
Carling-2017-87f-31	31	1905	EAGLE	eagle	6032	Wild animals	
Carling-2017-87f-32	32	964	WOOL	wool	6033	Products	
Carling-2017-87f-33	33	580	FUR	fur	6034	Products	
Carling-2017-87f-34	34	942	HONEY	honey	6035	Products	
Carling-2017-87f-35	35	635	MILK	milk	6036	Products	
Carling-2017-87f-36	36	1274	SALT	salt	6037	Products	
Carling-2017-87f-37	37	1524	WINE	wine	6038	Products	
Carling-2017-87f-38	38	941	MEAD	mead	6039	Products	(i.e. based on honey)
Carling-2017-87f-39	39		*HOPS	hops	6040	Products	(Swe. humle)
Carling-2017-87f-40	40	1931	BEESWAX	beeswax	6041	Products	
Carling-2017-87f-41	41	634	MEAT	meat	6042	Products	
Carling-2017-87f-42	42	323	FAT (ORGANIC SUBSTANCE)	grease	6043	Products	
Carling-2017-87f-43	43	133	WEAVE	to weave	6044	Activities	
Carling-2017-87f-44	44	121	SPIN	to spin (thread)	6045	Activities	
Carling-2017-87f-45	45	1457	SEW	to sew	6046	Activities	
Carling-2017-87f-46	46	1921	PLOUGH	to plough	6047	Activities	
Carling-2017-87f-47	47	748	SOW SEEDS	to sow	6048	Activities	
Carling-2017-87f-48	48	1077	WHEAT	wheat	6049	Crops & fruit	
Carling-2017-87f-49	49	932	BARLEY	barley	6050	Crops & fruit	
Carling-2017-87f-50	50	23	RYE	rye	6051	Crops & fruit	
Carling-2017-87f-51	51	60	OAT	oats	6052	Crops & fruit	
Carling-2017-87f-52	52	605	GRAIN	grain (generic)	6053	Crops & fruit	
Carling-2017-87f-53	53	3062	TURNIP	turnip	6054	Crops & fruit	
Carling-2017-87f-54	54	1320	APPLE	apple	6055	Crops & fruit	
Carling-2017-87f-55	55	920	GRAPE	grape	6056	Crops & fruit	
