ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-97d-1	1	665	BEE	bee	3009	Farm animals	
Carling-2017-97d-2	2	1008	BULL	bull	3012	Farm animals	
Carling-2017-97d-3	3	1989	CALF	calf	3013	Farm animals	
Carling-2017-97d-4	4	1208	CAT	cat	3014	Farm animals	
Carling-2017-97d-5	5	1153	CATTLE	cattle	3015	Farm animals	
Carling-2017-97d-6	6	1318	CHICKEN	chicken	3016	Farm animals	
Carling-2017-97d-7	7	1007	COW	cow	3018	Farm animals	
Carling-2017-97d-8	8	2009	DOG	dog	3021	Farm animals	
Carling-2017-97d-9	9	1862	DONKEY	donkey	3022	Farm animals	
Carling-2017-97d-10	10	1360	DUCK	duck	3023	Farm animals	
Carling-2017-97d-11	11	1502	GOAT	goat	3030	Farm animals	
Carling-2017-97d-12	12	1514	HEN	hen	3037	Farm animals	
Carling-2017-97d-13	13	615	HORSE	horse	3040	Farm animals	
Carling-2017-97d-14	14	1972	KID	kid	3044	Farm animals	
Carling-2017-97d-15	15	820	LAMB	lamb	3046	Farm animals	
Carling-2017-97d-16	16	1169	OX	ox	3056	Farm animals	
Carling-2017-97d-17	17	1337	PIG	pig	3058	Farm animals	
Carling-2017-97d-18	18	2564	PIGLET	piglet	3059	Farm animals	
Carling-2017-97d-19	19	1344	RAM	ram	3063	Farm animals	
Carling-2017-97d-20	20	1511	ROOSTER	rooster	3065	Farm animals	
Carling-2017-97d-21	21	1331	SHEEP	sheep	3071	Farm animals	
Carling-2017-97d-22	22	1820	BEAR	bear	3008	Wild animals	
Carling-2017-97d-23	23	3142	BISON	bison	3010	Wild animals	
Carling-2017-97d-24	24	1936	DEER	deer	3020	Wild animals	
Carling-2017-97d-25	25	1905	EAGLE	eagle	3024	Wild animals	
Carling-2017-97d-26	26	1312	FOX	fox	3027	Wild animals	
Carling-2017-97d-27	27	1190	HARE	hare	3035	Wild animals	
Carling-2017-97d-28	28	3313	JACKAL	jackal	3043	Wild animals	
Carling-2017-97d-29	29	1139	LEOPARD	leopard	3048	Wild animals	
Carling-2017-97d-30	30	1386	LION	lion	3049	Wild animals	
Carling-2017-97d-31	31	3314	LYNX	lynx	3050	Wild animals	
Carling-2017-97d-32	32	735	OWL	owl	3055	Wild animals	
Carling-2017-97d-33	33	1136	RABBIT	rabbit	3062	Wild animals	
Carling-2017-97d-34	34	2543	RAVEN	raven	3064	Wild animals	
Carling-2017-97d-35	35	730	SNAKE	snake	3074	Wild animals	
