ID	NUMBER	ENGLISH	LOAN	NO_LOAN	RANK	CONCEPTICON_ID	CONCEPTICON_GLOSS	CLASSIFICATION
Carling-2019-99-1	1	APPLE	8.94	91.06	43	1320	APPLE	VEGETABLES & FRUIT
Carling-2019-99-2	2	ARMY	39.58	60.42	4	1561	ARMY	WEAPONS
Carling-2019-99-3	3	ARROW	22.09	77.91	13	977	ARROW	WEAPONS
Carling-2019-99-4	4	ASH	1.85	98.15	94	646	ASH	TREES
Carling-2019-99-5	5	AUTUMN	5.43	94.57	67	1276	AUTUMN	SEASONS
Carling-2019-99-6	6	AXE	14.34	85.66	23	677	AXE	WEAPONS
Carling-2019-99-7	7	AXLE	13.01	86.99	27	1769	AXLE	VEHICLES
Carling-2019-99-8	8	BARLEY	4.2	95.8	78	932	BARLEY	CROPS
Carling-2019-99-9	9	BEAR	5.83	94.17	65	1820	BEAR	PREDATOR ANIMALS
Carling-2019-99-10	10	BEE	3.01	96.99	87	665	BEE	DOMESTIC INSECTS
Carling-2019-99-11	11	BEECH	16.67	83.33	19	1950	BEECH	TREES
Carling-2019-99-12	12	BIRCH	5.71	94.29	66	1855	BIRCH	TREES
Carling-2019-99-13	13	BISON	36.84	63.16	5	3142	BISON	GAME ANIMALS
Carling-2019-99-14	14	BOW	8	92	50	994	BOW	WEAPONS
Carling-2019-99-15	15	BULL	8.96	91.04	42	1008	BULL	CATTLE
Carling-2019-99-16	16	CALF	6.06	93.94	62	1989	CALF	CATTLE
Carling-2019-99-17	17	CAT	10.57	89.43	33	1208	CAT	DOMESTIC ANIMALS
Carling-2019-99-18	18	CATTLE	8.14	91.86	49	1153	CATTLE	CATTLE
Carling-2019-99-19	19	CHICKEN	5.92	94.08	63	1318	CHICKEN	POULTRY
Carling-2019-99-20	20	COPPER	14.62	85.38	21	1825	COPPER	METALS
Carling-2019-99-21	21	COW	2.04	97.96	92	1007	COW	CATTLE
Carling-2019-99-22	22	CULTIVATED FIELD	4.23	95.77	77	212	FIELD	TILLAGE
Carling-2019-99-23	23	DEER	8.84	91.16	44	1936	DEER	GAME ANIMALS
Carling-2019-99-24	24	DOG	6.63	93.37	58	2009	DOG	DOMESTIC ANIMALS
Carling-2019-99-25	25	DONKEY	26.44	73.56	10	1862	DONKEY	DRAFT ANIMALS
Carling-2019-99-26	26	DUCK	9.16	90.84	40	1360	DUCK	POULTRY
Carling-2019-99-27	27	EAGLE	8.66	91.34	45	1905	EAGLE	PREDATOR BIRDS
Carling-2019-99-28	28	ELM	0	100	98	3317	ELM	TREES
Carling-2019-99-29	29	FLAX	14.38	85.62	22	3315	FLAX	CROPS
Carling-2019-99-30	30	FOX	2.68	97.32	88	1312	FOX	PREDATOR ANIMALS
Carling-2019-99-31	31	FUR	13.94	86.06	25	580	FUR	MATERIALS
Carling-2019-99-32	32	FURROW	7.41	92.59	53	1794	FURROW	TILLAGE
