ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Carvalho-2021-206-1	1	BODY	1480	BODY
Carvalho-2021-206-2	2	HEAD	1256	HEAD
Carvalho-2021-206-3	3	EYE	1248	EYE
Carvalho-2021-206-4	4	EARHOLE		
Carvalho-2021-206-5	5	HAIR/FEATHER		
Carvalho-2021-206-6	6	MOUTH	674	MOUTH
Carvalho-2021-206-7	7	LIP	478	LIP
Carvalho-2021-206-8	8	BEARD	678	BEARD
Carvalho-2021-206-9	9	TONGUE	1205	TONGUE
Carvalho-2021-206-10	10	NOSE	1221	NOSE
Carvalho-2021-206-11	11	BONE	1394	BONE
Carvalho-2021-206-12	12	BACK	1291	BACK
Carvalho-2021-206-13	13	BREAST	1402	BREAST
Carvalho-2021-206-14	14	NIPPLE	796	NIPPLE
Carvalho-2021-206-15	15	CHEST	1592	CHEST
Carvalho-2021-206-16	16	HEART	1223	HEART
Carvalho-2021-206-17	17	LIVER	1224	LIVER
Carvalho-2021-206-18	18	BLOOD	946	BLOOD
Carvalho-2021-206-19	19	FLESH	2259	FLESH
Carvalho-2021-206-20	20	VEINS	1924	VEIN
Carvalho-2021-206-21	21	BUTTOCKS	834	BUTTOCKS
Carvalho-2021-206-22	22	LEG	1297	LEG
Carvalho-2021-206-23	23	THIGH	800	THIGH
Carvalho-2021-206-24	24	KNEE	1371	KNEE
Carvalho-2021-206-25	25	SHIN	186	SHIN
Carvalho-2021-206-26	26	FOOT	1301	FOOT
Carvalho-2021-206-27	27	ARM	1673	ARM
Carvalho-2021-206-28	28	ELBOW	981	ELBOW
Carvalho-2021-206-29	29	HAND	1277	HAND
Carvalho-2021-206-30	30	NECK	1333	NECK
Carvalho-2021-206-31	31	SKIN	763	SKIN
Carvalho-2021-206-32	32	NAVEL	1838	NAVEL
Carvalho-2021-206-33	33	TAIL	1220	TAIL
Carvalho-2021-206-34	34	WING	1257	WING
Carvalho-2021-206-35	35	EGG	744	EGG
