ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ceolin-2019-168-1	1	other	197	OTHER
Ceolin-2019-168-2	2	one	1493	ONE
Ceolin-2019-168-3	3	two	1498	TWO
Ceolin-2019-168-4	4	three	492	THREE
Ceolin-2019-168-5	5	four	1500	FOUR
Ceolin-2019-168-6	6	five	493	FIVE
Ceolin-2019-168-7	7	big	1202	BIG
Ceolin-2019-168-8	8	long	1203	LONG
Ceolin-2019-168-9	9	wide	1243	WIDE
Ceolin-2019-168-10	10	thick	1244	THICK
Ceolin-2019-168-11	11	heavy	1210	HEAVY
Ceolin-2019-168-12	12	small	1246	SMALL
Ceolin-2019-168-13	13	short	1645	SHORT
Ceolin-2019-168-14	14	narrow	1267	NARROW
Ceolin-2019-168-15	15	thin	2308	THIN
Ceolin-2019-168-16	16	man	1554	MAN
Ceolin-2019-168-17	17	person	683	PERSON
Ceolin-2019-168-18	18	child	2099	CHILD
Ceolin-2019-168-19	19	animal	619	ANIMAL
Ceolin-2019-168-20	20	fish	227	FISH
Ceolin-2019-168-21	21	bird	937	BIRD
Ceolin-2019-168-22	22	dog	2009	DOG
Ceolin-2019-168-23	23	louse	1392	LOUSE
Ceolin-2019-168-24	24	snake	730	SNAKE
Ceolin-2019-168-25	25	worm	1219	WORM
Ceolin-2019-168-26	26	tree	906	TREE
Ceolin-2019-168-27	27	forest	420	FOREST
Ceolin-2019-168-28	28	fruit	1507	FRUIT
Ceolin-2019-168-29	29	seed	714	SEED
Ceolin-2019-168-30	30	leaf	628	LEAF
Ceolin-2019-168-31	31	root	670	ROOT
Ceolin-2019-168-32	32	bark	1204	BARK
Ceolin-2019-168-33	33	flower	239	FLOWER
Ceolin-2019-168-34	34	grass	606	GRASS
Ceolin-2019-168-35	35	rope	1218	ROPE
Ceolin-2019-168-36	36	skin	763	SKIN
Ceolin-2019-168-37	37	meat	634	MEAT
Ceolin-2019-168-38	38	blood	946	BLOOD
Ceolin-2019-168-39	39	bone	1394	BONE
Ceolin-2019-168-40	40	fat	323	FAT (ORGANIC SUBSTANCE)
Ceolin-2019-168-41	41	egg	744	EGG
Ceolin-2019-168-42	42	horn	939	HORN (INSTRUMENT)
Ceolin-2019-168-43	43	tail	1220	TAIL
Ceolin-2019-168-44	44	feather	1201	FEATHER
Ceolin-2019-168-45	45	hair	1040	HAIR
Ceolin-2019-168-46	46	head	1256	HEAD
Ceolin-2019-168-47	47	ear	1247	EAR
Ceolin-2019-168-48	48	eye	1248	EYE
Ceolin-2019-168-49	49	nose	1221	NOSE
Ceolin-2019-168-50	50	mouth	674	MOUTH
Ceolin-2019-168-51	51	tooth	1380	TOOTH
Ceolin-2019-168-52	52	tongue	1205	TONGUE
Ceolin-2019-168-53	53	fingernail	1258	FINGERNAIL
Ceolin-2019-168-54	54	foot	1301	FOOT
Ceolin-2019-168-55	55	knee	1371	KNEE
Ceolin-2019-168-56	56	hand	1277	HAND
Ceolin-2019-168-57	57	wing	1257	WING
Ceolin-2019-168-58	58	belly	1251	BELLY
Ceolin-2019-168-59	59	guts	1334	GUTS
Ceolin-2019-168-60	60	neck	1333	NECK
Ceolin-2019-168-61	61	back	1291	BACK
Ceolin-2019-168-62	62	heart	1223	HEART
Ceolin-2019-168-63	63	to drink	1401	DRINK
Ceolin-2019-168-64	64	to eat	1336	EAT
Ceolin-2019-168-65	65	to bite	1403	BITE
Ceolin-2019-168-66	66	to spit	1440	SPIT
Ceolin-2019-168-67	67	to vomit	1278	VOMIT
Ceolin-2019-168-68	68	to blow	175	BLOW (OF WIND)
Ceolin-2019-168-69	69	to breathe	1407	BREATHE
Ceolin-2019-168-70	70	to laugh	1355	LAUGH
Ceolin-2019-168-71	71	to see	1409	SEE
Ceolin-2019-168-72	72	to hear	1408	HEAR
Ceolin-2019-168-73	73	to know	1410	KNOW (SOMETHING)
Ceolin-2019-168-74	74	to think	2271	THINK
Ceolin-2019-168-75	75	to smell	2124	SMELL
Ceolin-2019-168-76	76	to fear	1419	FEAR (BE AFRAID)
Ceolin-2019-168-77	77	to sleep	1585	SLEEP
Ceolin-2019-168-78	78	to live	1422	BE ALIVE
Ceolin-2019-168-79	79	to die	1494	DIE
Ceolin-2019-168-80	80	to fight	1423	FIGHT
Ceolin-2019-168-81	81	to hunt	1435	HUNT
Ceolin-2019-168-82	82	to hit	1433	HIT
Ceolin-2019-168-83	83	to cut	1432	CUT
Ceolin-2019-168-84	84	to split	1437	SPLIT
Ceolin-2019-168-85	85	to stab	1434	STAB
Ceolin-2019-168-86	86	to scratch	1436	SCRATCH
Ceolin-2019-168-87	87	to dig	1418	DIG
Ceolin-2019-168-88	88	to swim	1439	SWIM
Ceolin-2019-168-89	89	to fly	1441	FLY (MOVE THROUGH AIR)
Ceolin-2019-168-90	90	to walk	1443	WALK
Ceolin-2019-168-91	91	to come	1446	COME
Ceolin-2019-168-92	92	to lie	215	LIE DOWN
Ceolin-2019-168-93	93	to sit	1416	SIT
Ceolin-2019-168-94	94	to stand	1442	STAND
Ceolin-2019-168-95	95	to turn	1445	TURN (SOMETHING)
Ceolin-2019-168-96	96	to fall	1280	FALL
Ceolin-2019-168-97	97	to give	1447	GIVE
Ceolin-2019-168-98	98	to hold	1448	HOLD
Ceolin-2019-168-99	99	to squeeze	1414	SQUEEZE
Ceolin-2019-168-100	100	to rub	1449	RUB
Ceolin-2019-168-101	101	to wash	1453	WASH
Ceolin-2019-168-102	102	to wipe	1454	WIPE
Ceolin-2019-168-103	103	to pull	1455	PULL
Ceolin-2019-168-104	104	to push	1452	PUSH
Ceolin-2019-168-105	105	to throw	1456	THROW
Ceolin-2019-168-106	106	to tie	1917	TIE
Ceolin-2019-168-107	107	to sew	1457	SEW
Ceolin-2019-168-108	108	to count	1420	COUNT
Ceolin-2019-168-109	109	to say	1458	SAY
Ceolin-2019-168-110	110	to sing	1261	SING
Ceolin-2019-168-111	111	to play	1413	PLAY
Ceolin-2019-168-112	112	to float	1574	FLOAT
Ceolin-2019-168-113	113	to flow	2003	FLOW
Ceolin-2019-168-114	114	to freeze	1431	FREEZE
Ceolin-2019-168-115	115	to swell	1573	SWELL
Ceolin-2019-168-116	116	sun	1343	SUN
Ceolin-2019-168-117	117	moon	1313	MOON
Ceolin-2019-168-118	118	star	1430	STAR
Ceolin-2019-168-119	119	water	948	WATER
Ceolin-2019-168-120	120	rain	2108	RAINING OR RAIN
Ceolin-2019-168-121	121	river	666	RIVER
Ceolin-2019-168-122	122	lake	624	LAKE
Ceolin-2019-168-123	123	sea	1474	SEA
Ceolin-2019-168-124	124	salt	1274	SALT
Ceolin-2019-168-125	125	stone	857	STONE
Ceolin-2019-168-126	126	sand	671	SAND
Ceolin-2019-168-127	127	earth	1228	EARTH (SOIL)
Ceolin-2019-168-128	128	cloud	1489	CLOUD
Ceolin-2019-168-129	129	fog	249	FOG
Ceolin-2019-168-130	130	sky	1732	SKY
Ceolin-2019-168-131	131	wind	960	WIND
Ceolin-2019-168-132	132	snow	784	SNOW
Ceolin-2019-168-133	133	ice	617	ICE
Ceolin-2019-168-134	134	smoke	778	SMOKE (EXHAUST)
Ceolin-2019-168-135	135	fire	221	FIRE
Ceolin-2019-168-136	136	ash	646	ASH
Ceolin-2019-168-137	137	to burn	2102	BURN
Ceolin-2019-168-138	138	road	667	ROAD
