NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	3rd.person.masculine	1211	HE
2	agouti	313	AGOUTI
3	ant sp.	587	ANT
4	aracu fish		
5	armadillo	1885	ARMADILLO
6	back	1291	BACK
7	bat	1793	BAT
8	big	1202	BIG
9	black	163	BLACK
10	black_ink	2643	INK
11	blood	946	BLOOD
12	blow	175	BLOW (OF WIND)
13	bone	1394	BONE
14	break	680	BREAK (DESTROY OR GET DESTROYED)
15	breast	1402	BREAST
16	buriti palm		
17	capybara	314	CAPYBARA
18	cará(Dioscorea alata)		
19	Case: non-nominatvie		
20	centipede	1974	CENTIPEDE
21	charcoal (1)	1188	CHARCOAL
22	charcoal (2)	1188	CHARCOAL
23	cheek	1730	CHEEK
24	chew	321	CHEW
25	chili	919	CHILI PEPPER
26	cold	2483	COLD (OF WEATHER)
27	cut	1432	CUT
28	dance	1879	DANCE
29	deer	1936	DEER
30	distant	1406	FAR
31	dove	1853	DOVE
32	duck	1360	DUCK
33	ear	1247	EAR
34	egg	744	EGG
35	elder	2112	OLD (AGED)
36	elevated structure (shelves roof etc.)		
37	end	742	END (OF SPACE)
38	excrement	675	FAECES
39	face	1560	FACE
40	father	1217	FATHER
41	feminine		FEMALE
42	fire	221	FIRE
43	fish	227	FISH
44	fish with a net	2639	FISHING (WITH A NET)
45	fishing net	388	FISHNET
46	float	1574	FLOAT
47	flower	239	FLOWER
48	foot	1301	FOOT
49	fruit sp.	1507	FRUIT
50	garden	586	GARDEN
51	gather	7	GATHER
52	grand-father	1383	GRANDFATHER
53	grape	920	GRAPE
54	grass	606	GRASS
55	green	1425	GREEN
56	handpalm	1183	PALM OF HAND
57	head	1256	HEAD
58	heavy	1210	HEAVY
59	heron	758	HERON
60	hole	1667	HOLE
61	hot	1286	HOT
62	house	1252	HOUSE
63	hummingbird	1589	HUMMINGBIRD
64	I	1209	I
65	inga (fruit sp.)		
66	insect sp.	620	INSECT
67	jaguar	1250	JAGUAR
68	jenipapo		
69	kapok	2499	KAPOK TREE
70	king-fisher	2444	KINGFISHER
71	know	1410	KNOW (SOMETHING)
72	lake	624	LAKE
73	land	626	LAND
74	larva	2640	LARVA
75	leg	1297	LEG
76	locative		
77	macaw	1630	MACAW
78	man	1554	MAN
79	manioc	927	MANIOC
80	monkey	1350	MONKEY
81	monkey sp.	434	SPIDER MONKEY
82	mosquito	1509	MOSQUITO
83	mouth1	674	MOUTH
84	mouth2	674	MOUTH
85	mythical being	2641	MYTHICAL BEING
86	name	1405	NAME
87	navel	1838	NAVEL
88	non.3rd.animate.person	2642	HE OR SHE
89	nose	1221	NOSE
90	paca	316	PACA
91	pacu fish	227	FISH
92	palm-weevil		
93	parrot	882	PARROT
94	path	2252	PATH
95	peccary	2390	PECCARY
96	penis	1222	PENIS
97	people	789	PEOPLE
98	plant	653	PLANT (VEGETATION)
99	poison	655	POISON
100	pot	1462	POT
101	pupunha		
102	red	156	RED
103	river	666	RIVER
104	root	670	ROOT
105	rub	1449	RUB
106	sleep	1585	SLEEP
107	snake	730	SNAKE
108	spider	843	SPIDER
109	squeeze	1414	SQUEEZE
110	stone	857	STONE
111	stop	1928	CEASE
112	stump	241	TREE STUMP
113	swell	1573	SWELL
114	tapir	312	TAPIR
115	termite	883	TERMITE
116	thorn	124	THORN
117	three	492	THREE
118	thunder	1150	THUNDER
119	to bite	1403	BITE
120	to cry	1839	CRY
121	to smoke meat	1689	SMOKE (INHALE)
122	toad sp.	894	TOAD
123	tobacco	974	TOBACCO
124	tocandira ant		
125	tongue	1205	TONGUE
126	tooth	1380	TOOTH
127	tortoise	895	TORTOISE
128	toucan	308	TOUCAN
129	traira fish		
130	tree	906	TREE
131	urinate	592	PISS
132	urucum (achiote)		
133	wait	1590	WAIT (FOR)
134	wasp	1517	WASP
135	water	948	WATER
136	white	1335	WHITE
137	wife	1199	WIFE
138	wind	960	WIND
139	woman	962	WOMAN
140	woodpecker	2447	WOODPECKER
141	yam	410	YAM
142	you all	98	YOU
