ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	Chen-1996-200	CHINESE	ENGLISH
Chen-1996-100a-1	1209	I	1	1	我	I
Chen-1996-100a-2	1215	THOU	2	2	你	you
Chen-1996-100a-3	1212	WE	3	3	我们	we
Chen-1996-100a-4	1214	THIS	4	4	这	this
Chen-1996-100a-5	78	THAT	5	5	那	that
Chen-1996-100a-6	1235	WHO	6	6	谁	who
Chen-1996-100a-7	1236	WHAT	7	7	设么	what
Chen-1996-100a-8	1240	NOT	8	8	不	not
Chen-1996-100a-9	98	ALL	9	9	全部	all
Chen-1996-100a-10	1198	MANY	10	10	多	many
Chen-1996-100a-11	1493	ONE	11	11	一	one
Chen-1996-100a-12	1498	TWO	12	12	二	two
Chen-1996-100a-13	1202	BIG	13	13	大	big
Chen-1996-100a-14	1203	LONG	14	14	长	long
Chen-1996-100a-15	1246	SMALL	15	15	小	small
Chen-1996-100a-16	962	WOMAN	16	16	女人	woman
Chen-1996-100a-17	1554	MAN	17	17	男人	man
Chen-1996-100a-18	683	PERSON	18	18	人	person
Chen-1996-100a-19	227	FISH	19	19	鱼	fish
Chen-1996-100a-20	937	BIRD	20	20	鸟	bird
Chen-1996-100a-21	2009	DOG	21	21	狗	dog
Chen-1996-100a-22	1392	LOUSE	22	22	虱子	louse
Chen-1996-100a-23	906	TREE	23	23	树	tree
Chen-1996-100a-24	714	SEED	24	24	种子	seed
Chen-1996-100a-25	628	LEAF	25	25	叶子	leaf
Chen-1996-100a-26	670	ROOT	26	26	根	root
Chen-1996-100a-27	1204	BARK	27	27	树皮	bark
Chen-1996-100a-28	763	SKIN	28	28	皮肤	skin
Chen-1996-100a-29	634	MEAT	29	29	肉	flesh
Chen-1996-100a-30	946	BLOOD	30	30	血	blood
Chen-1996-100a-31	1394	BONE	31	31	骨头	bone
Chen-1996-100a-32	323	FAT (ORGANIC SUBSTANCE)	32	32	脂肪	grease
Chen-1996-100a-33	744	EGG	33	33	鸡蛋	egg
Chen-1996-100a-34	1393	HORN (KERATINIZED SKIN)	34	34	角	horn
Chen-1996-100a-35	1220	TAIL	35	35	尾巴	tail
Chen-1996-100a-36	1201	FEATHER	36	36	羽毛	feather
Chen-1996-100a-37	1040	HAIR	37	37	头发	hair
Chen-1996-100a-38	1256	HEAD	38	38	头	head
