ID	NUMBER	CHEN1996200	CHINESE	GLOSS	OMEGAWIKI
Chen-1996-100b-1	1	101	和	and	6464
Chen-1996-100b-2	2	102	动物	animal	194
Chen-1996-100b-3	3	103	背	back	5648
Chen-1996-100b-4	4	104	坏	bad	5650
Chen-1996-100b-5	5	105	因为	because	514093
Chen-1996-100b-6	6	106	吹	blow	1375415
Chen-1996-100b-7	7	107	呼吸	breathe	5998
Chen-1996-100b-8	8	108	孩子	child	568
Chen-1996-100b-9	9	109	数	count	6026
Chen-1996-100b-10	10	110	砍	cut	6043
Chen-1996-100b-11	11	111	天	day	5477
Chen-1996-100b-12	12	112	挖	dig	6024
Chen-1996-100b-13	13	113	脏	dirty	5483
Chen-1996-100b-14	14	114	呆，笨	dull	6322
Chen-1996-100b-15	15	115	尘土	dust	1009
Chen-1996-100b-16	16	116	掉	fall	5622
Chen-1996-100b-17	17	117	元	far	5997
Chen-1996-100b-18	18	118	父亲	father	5464
Chen-1996-100b-19	19	119	怕	fear	6025
Chen-1996-100b-20	20	120	少	few	5500
Chen-1996-100b-21	21	121	打架	fight	6030
Chen-1996-100b-22	22	122	五	five	156104
Chen-1996-100b-23	23	123	漂浮	float	6457
Chen-1996-100b-24	24	124	流	flow	961244
Chen-1996-100b-25	25	125	花	flower	1487
Chen-1996-100b-26	26	126	雾	fog	1502
Chen-1996-100b-27	27	127	四	four	6253
Chen-1996-100b-28	28	128	结冰	freeze	6042
Chen-1996-100b-29	29	129	水果	fruit	6280
Chen-1996-100b-30	30	130	草	grass	1675
Chen-1996-100b-31	31	131	肠子	guts	5824
Chen-1996-100b-32	32	132	他	he	5454
Chen-1996-100b-33	33	133	这里	here	1287831
Chen-1996-100b-34	34	134	打	hit	6044
Chen-1996-100b-35	35	135	拿	hold - take	6060
	35	135	拿	hold - take	7077
Chen-1996-100b-36	36	136	怎么	how	5494
Chen-1996-100b-37	37	137	打猎	hunt	6046
Chen-1996-100b-38	38	138	丈夫	husband	5432
Chen-1996-100b-39	39	139	冰	ice	1837
Chen-1996-100b-40	40	140	如果	if	6076
Chen-1996-100b-41	41	141	在	in	6077
Chen-1996-100b-42	42	142	湖	lake	2061
Chen-1996-100b-43	43	143	笑	laugh	5876
Chen-1996-100b-44	44	144	左边	leftside	1499731
Chen-1996-100b-45	45	145	脚	leg	5665
Chen-1996-100b-46	46	146	活的	live(alive)	6028
Chen-1996-100b-47	47	147	母亲	mother	5463
Chen-1996-100b-48	48	148	窄	narrow	5566
Chen-1996-100b-49	49	149	近	near	869106
Chen-1996-100b-50	50	150	老	old	5482
Chen-1996-100b-51	51	151	玩	play	6010
Chen-1996-100b-52	52	152	拉	pull	6071
Chen-1996-100b-53	53	153	推	push	6068
Chen-1996-100b-54	54	154	右边	rightside	436024
Chen-1996-100b-55	55	155	对	correct	7026
Chen-1996-100b-56	56	156	江	river	3253
Chen-1996-100b-57	57	157	绳子	rope	5465
Chen-1996-100b-58	58	158	腐烂	rotten	7031
Chen-1996-100b-59	59	159	擦	rub	6062
Chen-1996-100b-60	60	160	盐	salt	5599
Chen-1996-100b-61	61	161	抓	scratch	6047
Chen-1996-100b-62	62	162	海	sea	6154
Chen-1996-100b-63	63	163	缝	sew	6073
Chen-1996-100b-64	64	164	尖	sharp	5987
Chen-1996-100b-65	65	165	短	short	6746
Chen-1996-100b-66	66	166	唱	sing	5540
Chen-1996-100b-67	67	167	天空	sky	7039
Chen-1996-100b-68	68	168	闻	smell	6520
Chen-1996-100b-69	69	169	平	smooth	5487
Chen-1996-100b-70	70	170	蛇	snake	3388
Chen-1996-100b-71	71	171	雪	snow	3455
Chen-1996-100b-72	72	172	吐	spit	6051
Chen-1996-100b-73	73	173	撕裂	split	6048
Chen-1996-100b-74	74	174	压	squeeze	6017
Chen-1996-100b-75	75	175	刺	stab	6045
Chen-1996-100b-76	76	176	棍子	stick	5662
Chen-1996-100b-77	77	177	直	straight	5994
Chen-1996-100b-78	78	178	吮	suck	6027
Chen-1996-100b-79	79	179	肿	swell	6454
Chen-1996-100b-80	80	180	那儿	there	858309
Chen-1996-100b-81	81	181	他们	they	352331
Chen-1996-100b-82	82	182	厚	thick	5503
Chen-1996-100b-83	83	183	薄	thin	5990
Chen-1996-100b-84	84	184	想	think	6021
Chen-1996-100b-85	85	185	三	three	156096
Chen-1996-100b-86	86	186	扔	throw	6072
Chen-1996-100b-87	87	187	捆	tie	844574
Chen-1996-100b-88	88	188	转	turn	6526
Chen-1996-100b-89	89	189	呕吐	vomit	5617
Chen-1996-100b-90	90	190	洗	wash	6069
Chen-1996-100b-91	91	191	湿	wet	7027
Chen-1996-100b-92	92	192	哪里	where	5492
Chen-1996-100b-93	93	193	宽	wide	5502
Chen-1996-100b-94	94	194	妻子	wife	5429
Chen-1996-100b-95	95	195	风	wind	4160
Chen-1996-100b-96	96	196	翅膀	wing	5528
Chen-1996-100b-97	97	197	重	heavy	5451
Chen-1996-100b-98	98	198	森林	woods	1533
Chen-1996-100b-99	99	199	虫	worm	5466
Chen-1996-100b-100	100	200	年	year	5478
