ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	CHINESE	GLOSS	OMEGAWIKI
Chen-1996-200-1	1209	I	1	我	I	5450
Chen-1996-200-2	1215	THOU	2	你	you	5459
Chen-1996-200-3	1212	WE	3	我们	we	5455
Chen-1996-200-4	1214	THIS	4	这	this	5458
Chen-1996-200-5	78	THAT	5	那	that	1149393
Chen-1996-200-6	1235	WHO	6	谁	who	5490
Chen-1996-200-7	1236	WHAT	7	设么	what	5491
Chen-1996-200-8	1240	NOT	8	不	not	5495
Chen-1996-200-9	98	ALL	9	全部	all	1173416
Chen-1996-200-10	1198	MANY	10	多	many	5423
Chen-1996-200-11	1493	ONE	11	一	one	6244
Chen-1996-200-12	1498	TWO	12	二	two	6248
Chen-1996-200-13	1202	BIG	13	大	big	5437
Chen-1996-200-14	1203	LONG	14	长	long	5438
Chen-1996-200-15	1246	SMALL	15	小	small	5509
Chen-1996-200-16	962	WOMAN	16	女人	woman	4165
Chen-1996-200-17	1554	MAN	17	男人	man	6397
Chen-1996-200-18	683	PERSON	18	人	person	333730
Chen-1996-200-19	227	FISH	19	鱼	fish	1460
Chen-1996-200-20	937	BIRD	20	鸟	bird	400
Chen-1996-200-21	2009	DOG	21	狗	dog	966
Chen-1996-200-22	1392	LOUSE	22	虱子	louse	5980
Chen-1996-200-23	906	TREE	23	树	tree	3854
Chen-1996-200-24	714	SEED	24	种子	seed	3361
Chen-1996-200-25	628	LEAF	25	叶子	leaf	2124
Chen-1996-200-26	670	ROOT	26	根	root	3269
Chen-1996-200-27	1204	BARK	27	树皮	bark	5439
Chen-1996-200-28	763	SKIN	28	皮肤	skin	3430
Chen-1996-200-29	634	MEAT	29	肉	flesh	2300
Chen-1996-200-30	946	BLOOD	30	血	blood	411
Chen-1996-200-31	1394	BONE	31	骨头	bone	5983
Chen-1996-200-32	1282	FAT, SUBSTANCE	32	脂肪	grease	5624
Chen-1996-200-33	744	EGG	33	鸡蛋	egg	340828
Chen-1996-200-34	1393	HORN, KERATINIZED SKIN	34	角	horn	5981
Chen-1996-200-35	1220	TAIL	35	尾巴	tail	5468
Chen-1996-200-36	1201	FEATHER	36	羽毛	feather	5436
Chen-1996-200-37	1040	HAIR	37	头发	hair	446278
Chen-1996-200-38	1256	HEAD	38	头	head	5527
Chen-1996-200-39	1247	EAR	39	耳朵	ear	5510
Chen-1996-200-40	1248	EYE	40	眼睛	eye	5511
Chen-1996-200-41	1221	NOSE	41	鼻子	nose	5471
Chen-1996-200-42	674	MOUTH	42	嘴	mouth	332000
Chen-1996-200-43	1380	TOOTH	43	牙齿	tooth	5946
Chen-1996-200-44	1205	TONGUE	44	舌头	tongue	5440
Chen-1996-200-45	1896	NAIL, KERATIN	45	爪子	claw	828575
Chen-1996-200-46	1301	FOOT	46	脚	foot	5672
Chen-1996-200-47	1371	KNEE	47	膝	knee	5918
Chen-1996-200-48	1277	HAND	48	手	hand	5616
Chen-1996-200-49	1251	BELLY	49	肚子	belly	5516
Chen-1996-200-50	1333	NECK	50	脖子	neck	5823
Chen-1996-200-51	1402	BREAST	51	乳房	breasts	5992
Chen-1996-200-52	1223	HEART	52	心脏	heart	5475
Chen-1996-200-53	1224	LIVER	53	肝	liver	5476
Chen-1996-200-54	1401	DRINK ACTION	54	喝	drink	5991
Chen-1996-200-55	1336	EAT	55	吃	eat	5827
Chen-1996-200-56	1403	BITE	56	咬	bite	5993
Chen-1996-200-57	1409	SEE	57	看见	see	6003
Chen-1996-200-58	1408	HEAR	58	听见	hear	5999
Chen-1996-200-59	1410	KNOW	59	知道	know	6004
Chen-1996-200-60	1585	SLEEP	60	睡	sleep	6519
Chen-1996-200-61	1494	DIE	61	死	die	6245
Chen-1996-200-62	1417	KILL	62	杀	kill	6023
Chen-1996-200-63	1439	SWIM	63	游泳	swim	6050
Chen-1996-200-64	1441	FLY, MOVE THROUGH AIR	64	飞	fly	6052
Chen-1996-200-65	1443	WALK	65	走	walk	6054
Chen-1996-200-66	1446	COME	66	来	come	6056
Chen-1996-200-67	1411	LIE, REST	67	趟	lie	6005
Chen-1996-200-68	1416	SIT	68	坐	sit	6022
Chen-1996-200-69	1442	STAND	69	站	stand	6053
Chen-1996-200-70	1447	GIVE	70	给	give	6059
Chen-1996-200-71	1458	SAY	71	说	say	6075
Chen-1996-200-72	1343	SUN	72	太阳	sun	5850
Chen-1996-200-73	1313	MOON	73	月亮	moon	5729
Chen-1996-200-74	1430	STAR	74	星星	star	6041
Chen-1996-200-75	948	WATER	75	水	water	4118
Chen-1996-200-76	658	RAIN, PRECIPATION	76	雨	rain	3100
Chen-1996-200-77	857	STONE	77	石头	stone	3633
Chen-1996-200-78	671	SAND	78	沙子	sand	3305
Chen-1996-200-79	1228	EARTH, SOIL	79	土地	earth	5481
Chen-1996-200-80	1489	CLOUD	80	云	cloud	623
Chen-1996-200-81	778	SMOKE, EXHAUST	81	烟	smoke	3451
Chen-1996-200-82	221	FIRE	82	火	fire	1446
Chen-1996-200-83	646	ASH	83	灰	ash	264
Chen-1996-200-84	141	BURN SOMETHING	84	烧	burn	1299599
