ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Cross-1964-241-1	1	above — over (adv.)	1741	ABOVE
Cross-1964-241-2	2	alive	1422	BE ALIVE
Cross-1964-241-3	3	all	98	ALL
Cross-1964-241-4	4	animal	619	ANIMAL
Cross-1964-241-5	5	arm	1673	ARM
Cross-1964-241-6	6	ashes	646	ASH
Cross-1964-241-7	7	aunt (pat.)	1272	AUNT
Cross-1964-241-8	8	ax	677	AXE
Cross-1964-241-9	9	back (n. — of man)	1291	BACK
Cross-1964-241-10	10	bad	1292	BAD
Cross-1964-241-11	11	bark (of tree)	1204	BARK
Cross-1964-241-12	12	before — in front (adv.)	1882	BEFORE
Cross-1964-241-13	13	belly	1251	BELLY
Cross-1964-241-14	14	below — under	1485	BELOW OR UNDER
Cross-1964-241-15	15	bend (trans. — twig)	2224	BEND (SOMETHING)
Cross-1964-241-16	16	berry	904	BERRY
Cross-1964-241-17	17	big	1202	BIG
Cross-1964-241-18	18	bird	937	BIRD
Cross-1964-241-19	19	bite	1403	BITE
Cross-1964-241-20	20	bitter	887	BITTER
Cross-1964-241-21	21	black	163	BLACK
Cross-1964-241-22	22	blood	946	BLOOD
Cross-1964-241-23	23	blow (v. — with mouth)	176	BLOW (WITH MOUTH)
Cross-1964-241-24	24	blue (like sky)	837	BLUE
Cross-1964-241-25	25	bone	1394	BONE
Cross-1964-241-26	26	branch (of tree)	1531	BRANCH
Cross-1964-241-27	27	break (trans. — stick)	2558	BREAK (CLEAVE)
Cross-1964-241-28	28	breathe	1407	BREATHE
Cross-1964-241-29	29	brother (older, of man)	2414	OLDER BROTHER (OF MAN)
Cross-1964-241-30	30	burn (intrans.)	1428	BURNING
Cross-1964-241-31	31	call out — shout	715	SHOUT
Cross-1964-241-32	32	(I) can	972	BE ABLE
Cross-1964-241-33	33	carry (in arms)	412	CARRY IN HAND
Cross-1964-241-34	34	child (not infant)	1304	CHILD (YOUNG HUMAN)
Cross-1964-241-35	35	claw	72	CLAW
Cross-1964-241-36	36	close — shut	1046	SHUT
Cross-1964-241-37	37	cloud	1489	CLOUD
Cross-1964-241-38	38	cold (weather)	2483	COLD (OF WEATHER)
Cross-1964-241-39	39	cry — weep	1839	CRY
Cross-1964-241-40	40	dark	706	DARK
Cross-1964-241-41	41	daughter	1357	DAUGHTER
Cross-1964-241-42	42	day	1225	DAY (NOT NIGHT)
Cross-1964-241-43	43	dead	1625	DEAD
Cross-1964-241-44	44	dig	1418	DIG
Cross-1964-241-45	45	dog	2009	DOG
Cross-1964-241-46	46	drink	1401	DRINK
Cross-1964-241-47	47	dry	1398	DRY
Cross-1964-241-48	48	dull (blade)	379	BLUNT
Cross-1964-241-49	49	dust	2	DUST
Cross-1964-241-50	50	ear	1247	EAR
Cross-1964-241-51	51	earth (soil)	1228	EARTH (SOIL)
Cross-1964-241-52	52	eat	1336	EAT
Cross-1964-241-53	53	egg	744	EGG
Cross-1964-241-54	54	eight	1705	EIGHT
Cross-1964-241-55	55	eleven	1706	ELEVEN
Cross-1964-241-56	56	empty (container)	1624	EMPTY
Cross-1964-241-57	57	eye	1248	EYE
Cross-1964-241-58	58	fall (e.g. tree)	1280	FALL
Cross-1964-241-59	59	far	1406	FAR
Cross-1964-241-60	60	fat (of animal)	1282	FAT (FROM ANIMALS)
Cross-1964-241-61	61	father (of man)	1217	FATHER
Cross-1964-241-62	62	fear (v.)	1419	FEAR (BE AFRAID)
Cross-1964-241-63	63	feather (plume)	1201	FEATHER
Cross-1964-241-64	64	feel (with hands)	2559	FEEL (TACTUALLY)
Cross-1964-241-65	65	find	719	FIND
Cross-1964-241-66	66	fire	221	FIRE
Cross-1964-241-67	67	fish	227	FISH
Cross-1964-241-68	68	five	493	FIVE
Cross-1964-241-69	69	flat	1633	FLAT
Cross-1964-241-70	70	flesh	2259	FLESH
Cross-1964-241-71	71	flow	2003	FLOW
Cross-1964-241-72	72	flower	239	FLOWER
Cross-1964-241-73	73	fly (v.)	1441	FLY (MOVE THROUGH AIR)
Cross-1964-241-74	74	fog (mist)	249	FOG
Cross-1964-241-75	75	foot	1301	FOOT
Cross-1964-241-76	76	four	1500	FOUR
Cross-1964-241-77	77	front	123	FOREHEAD
Cross-1964-241-78	78	full	1429	FULL
Cross-1964-241-79	79	gather up (acorns)	7	GATHER
Cross-1964-241-80	80	give	1447	GIVE
Cross-1964-241-81	81	go (afoot)	695	GO
Cross-1964-241-82	82	good	1035	GOOD
Cross-1964-241-83	83	grandfather (paternal)	2560	PATERNAL GRANDFATHER
Cross-1964-241-84	84	grandson	1618	GRANDSON
Cross-1964-241-85	85	grass	606	GRASS
Cross-1964-241-86	86	green	1425	GREEN
Cross-1964-241-87	87	guts (entrails)	1334	GUTS
Cross-1964-241-88	88	hair	1040	HAIR
Cross-1964-241-89	89	half	816	HALF
Cross-1964-241-90	90	hammer	1481	HAMMER
Cross-1964-241-91	91	hand	1277	HAND
Cross-1964-241-92	92	hard (not soft)	1884	HARD
Cross-1964-241-93	93	he	1211	HE
Cross-1964-241-94	94	head	1256	HEAD
Cross-1964-241-95	95	hear	1408	HEAR
Cross-1964-241-96	96	heart	1223	HEART
Cross-1964-241-97	97	heavy	1210	HEAVY
Cross-1964-241-98	98	hide — conceal	602	HIDE (CONCEAL)
Cross-1964-241-99	99	hill	614	HILL
Cross-1964-241-100	100	hit — strike (with hand)	3309	STRIKE (SOMETHING)
Cross-1964-241-101	101	hold (in hand)	1448	HOLD
