ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	LENGTH	FREQUENCY	NAME_AGREEMENT_PERCENT	VISUAL_COMPLEXITY_MEAN	GREEK_AOA_MEAN	GREEK_AOA_SD
Dimitropoulou-2009-260-1	1	Accordion	2603	ACCORDION	αθνξληεόλ 	9	1.2	97.54	3.22	3.24	1.01
Dimitropoulou-2009-260-2	2	Airplane	1597	AIRPLANE	αεξνπιάλν 	9	23.6	100.0	2.93	2.23	0.84
Dimitropoulou-2009-260-3	3	Alligator	1581	ALLIGATOR	θξνθόδεηινο 	11	0.3	97.26	2.74	2.57	0.82
Dimitropoulou-2009-260-4	4	Anchor	1870	ANCHOR	άγθπξα 	6	68.4	100.0	2.36	2.78	0.79
Dimitropoulou-2009-260-5	5	Ant	587	ANT	κπξκήγθη 	8	0.6	99.39	2.91	2.05	0.7
Dimitropoulou-2009-260-6	6	Apple	1320	APPLE	κήιν 	4	4.0	95.72	1.94	1.76	0.66
Dimitropoulou-2009-260-7	7	Arm	1673	ARM	ρέξη 	4	105.1	91.77	1.9	1.43	0.7
Dimitropoulou-2009-260-8	8	Arrow	977	ARROW	βέινο 	5	2.4	92.94	1.59	2.69	0.78
Dimitropoulou-2009-260-9	9	Artichoke	3997	ARTICHOKE	αγθηλάξα 	8	0.1	91.28	2.9	3.3	0.97
Dimitropoulou-2009-260-10	10	Ashtray	4028	ASHTRAY	ηαζάθη 	6	0.6	84.71	2.02	2.79	0.93
Dimitropoulou-2009-260-11	11	Asparagus	2605	ASPARAGUS	ζπαξάγγη 	8	0.1	61.56	3.31	3.74	1.15
Dimitropoulou-2009-260-12	12	Axe	677	AXE	ηζεθνύξη 	8	1.2	99.38	2.17	2.98	0.88
Dimitropoulou-2009-260-13	13	Baby Carriage	4029	BABY CARRIAGE	θαξόηζη 	7	2.1	65.14	2.7	1.91	0.84
Dimitropoulou-2009-260-14	14	Ball	1845	BALL	κπάια 	5	63.3	78.05	1.98	1.46	0.63
Dimitropoulou-2009-260-15	15	Balloon	3083	BALLOON	κπαιόλη 	7	1.0	100.0	1.55	1.49	0.6
Dimitropoulou-2009-260-16	16	Banana	868	BANANA	κπαλάλα 	7	1.0	100.0	1.71	1.76	0.69
Dimitropoulou-2009-260-17	17	Barn	3025	BARN OR SHED	ζηάβινο 	7	0.4	31.99	3.19	3.15	0.93
Dimitropoulou-2009-260-18	18	Barrel	2548	BARREL	βαξέιη 	6	7.6	99.39	2.3	2.58	0.75
Dimitropoulou-2009-260-19	19	Baseball bat			ξόπαιν 	6	0.5	68.75	2.12	3.4	0.95
Dimitropoulou-2009-260-20	20	Basket	1539	BASKET	θαιάζη 	6	14.5	98.17	2.36	2.25	0.74
Dimitropoulou-2009-260-21	21	Bear	1820	BEAR	αξθνύδα 	7	2.3	100.0	2.6	2.1	0.78
Dimitropoulou-2009-260-22	22	Bed	1663	BED	θξεβάηη 	7	22.6	99.39	2.07	1.42	0.59
Dimitropoulou-2009-260-23	23	Bee	665	BEE	κέιηζζα 	7	1.7	68.31	3.25	2.31	0.77
Dimitropoulou-2009-260-24	24	Beetle	2242	BEETLE	θαηζαξίδα 	9	0.1	57.41	3.01	2.72	0.86
Dimitropoulou-2009-260-25	25	Bell	2246	BELL	θακπάλα 	7	3.0	90.83	2.3	2.3	0.71
Dimitropoulou-2009-260-26	26	Belt	772	BELT	δώλε 	4	56.9	96.90	1.88	2.27	0.69
Dimitropoulou-2009-260-27	27	Bicycle	747	BICYCLE	πνδήιαην 	8	6.9	100.0	2.81	1.87	0.67
Dimitropoulou-2009-260-28	28	Bird	937	BIRD	πνπιί 	5	7.2	42.59	2.67	2.11	0.87
Dimitropoulou-2009-260-29	29	Blouse	4018	BLOUSE	πνπθάκηζν 	9	4.2	30.65	2.9	2.55	0.92
Dimitropoulou-2009-260-30	30	Book	963	BOOK	βηβιίν 	6	133.1	100.0	1.99	1.69	0.65
Dimitropoulou-2009-260-31	31	Boot	585	BOOT	κπόηα 	5	0.5	72.87	2.46	2.49	0.87
