ID	NUMBER	GLOSS	OMEGAWIKI
Dixon-1919-173-1	1	person	333730
Dixon-1919-173-2	2	man (1)	6397
Dixon-1919-173-3	3	man (2)	6397
Dixon-1919-173-4	4	boy, youth (1)	5905
Dixon-1919-173-5	5	boy, youth (2)	5905
Dixon-1919-173-6	6	woman, †girl (1)	4165
Dixon-1919-173-7	7	woman, girl (2)	4165
	7	woman, girl (2)	6752
Dixon-1919-173-8	8	girl	6752
Dixon-1919-173-9	9	baby	5642
Dixon-1919-173-10	10	old man	1526622
Dixon-1919-173-11	11	head (1)	5527
Dixon-1919-173-12	12	11a.   head (2)	5527
Dixon-1919-173-13	13	head (3)	5527
Dixon-1919-173-14	14	hair, forehead	446278
	14	hair, forehead	1241509
Dixon-1919-173-15	15	ear (1)	5510
Dixon-1919-173-16	16	ear (2)	5510
Dixon-1919-173-17	17	eye (1)	5511
Dixon-1919-173-18	18	eye (2)	5511
Dixon-1919-173-19	19	nose (1)	5471
Dixon-1919-173-20	20	nose (2)	5471
Dixon-1919-173-21	21	mouth	332000
Dixon-1919-173-22	22	teeth	5946
Dixon-1919-173-23	23	tongue (1)	5440
Dixon-1919-173-24	24	tongue (2)	5440
Dixon-1919-173-25	25	beard	333455
Dixon-1919-173-26	26	chin	6306
Dixon-1919-173-27	27	neck	5823
Dixon-1919-173-28	28	shoulder	6186
Dixon-1919-173-29	29	hand (1)	5616
Dixon-1919-173-30	30	hand (2)	5616
Dixon-1919-173-31	31	arm	6894
Dixon-1919-173-32	32	nails	828575
Dixon-1919-173-33	33	breasts	5992
Dixon-1919-173-34	34	belly	5516
Dixon-1919-173-35	35	knee (1)	5918
Dixon-1919-173-36	36	knee (2)	5918
Dixon-1919-173-37	37	knee (3)	5918
Dixon-1919-173-38	38	foot, †leg (1)	5672
Dixon-1919-173-39	39	foot	5672
Dixon-1919-173-40	40	heart (1)	5475
Dixon-1919-173-41	41	heart (2)	5475
Dixon-1919-173-42	42	bone	5983
Dixon-1919-173-43	43	blood (1)	411
Dixon-1919-173-44	44	blood (2)	411
Dixon-1919-173-45	45	liver	5476
Dixon-1919-173-46	46	fat	5624
Dixon-1919-173-47	47	skin	3430
Dixon-1919-173-48	48	faeces (1)	332125
Dixon-1919-173-49	49	faeces (2)	332125
Dixon-1919-173-50	50	urine	504787
Dixon-1919-173-51	51	sinew	502614
Dixon-1919-173-52	52	horn	5981
Dixon-1919-173-53	53	tail (1)	5468
Dixon-1919-173-54	54	tail (2)	5468
Dixon-1919-173-55	55	navel	7690
Dixon-1919-173-56	56	chief	1508307
Dixon-1919-173-57	57	shaman, ceremonial initiate	1511147
Dixon-1919-173-58	58	house (1)	5517
Dixon-1919-173-59	59	house (2)	5517
Dixon-1919-173-60	60	bow	427040
Dixon-1919-173-61	61	arrow (1)	420887
Dixon-1919-173-62	62	arrow (2)	420887
Dixon-1919-173-63	63	knife	5873
Dixon-1919-173-64	64	boat (1)	7774
Dixon-1919-173-65	65	63a. boat (2)	7774
Dixon-1919-173-66	66	boat (3)	7774
Dixon-1919-173-67	67	pipe (1)	489864
Dixon-1919-173-68	68	pipe (2)	489864
