ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RUSSIAN	GLOSS	OMEGAWIKI
Dolgopolsky-1964-15-1	1209	I	1	1-е лицо	first person marker	5450
Dolgopolsky-1964-15-2	1498	TWO	2	два	two	6248
Dolgopolsky-1964-15-3	1213	YOU	3	2-е лицо	second person marker	5456
Dolgopolsky-1964-15-4	1235	WHO	4	кто, что	who/what	5490
	1236	WHAT	4	кто, что	who/what	5491
Dolgopolsky-1964-15-5	1205	TONGUE	5	язык	tongue	5440
Dolgopolsky-1964-15-6	1405	NAME	6	имя	name	5995
Dolgopolsky-1964-15-7	1248	EYE	7	глаз	eye	5511
Dolgopolsky-1964-15-8	1223	HEART	8	сердце	heart	5475
Dolgopolsky-1964-15-9	1380	TOOTH	9	зуб	tooth	5946
Dolgopolsky-1964-15-10	1269	NO	10	не при глаголе	verbal negation	5568
Dolgopolsky-1964-15-11	1896	NAIL, KERATIN	11	ноготь	finger-nail/toe-nail	828575
Dolgopolsky-1964-15-12	1392	LOUSE	12	вошь	louse	5980
Dolgopolsky-1964-15-13	1651	TEAR OF EYE	13	слеза	tear (noun)	6805
Dolgopolsky-1964-15-14	948	WATER	14	вода	water	4118
Dolgopolsky-1964-15-15	1625	DEAD	15	мертвый	dead	6660
