ID	NUMBER	PICTURE	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ITALIAN	SPANISH	GERMAN	WESTERNFLEMISH	FRENCH	H_INDEX_ENGLISH	MODAL_NAME_ENGLISH	VALID_RESPONSES_ENGLISH	NUMBER_DIFFERENT_RESPONSES_ENGLISH	UNKNOWN_RESPONSES_ENGLISH	VISUAL_COMPLEXITY_ENGLISH	H_INDEX_ITALIAN	MODAL_NAME_ITALIAN	VALID_RESPONSES_ITALIAN	NUMBER_DIFFERENT_RESPONSES__ITALIAN	UNKNOWN_RESPONSES__ITALIAN	IDIOSYNCRATIC_RESPONSES__ITALIAN	VISUAL_COMPLEXITY__ITALIAN	H_INDEX_SPANISH	MODAL_NAME_SPANISH	VALID_RESPONSES_SPANISH	NUMBER_DIFFERENT_RESPONSES_SPANISH	UNKNOWN_RESPONSES_SPANISH	IDIOSYNCRATIC_RESPONSES_SPANISH	VISUAL_COMPLEXITY_SPANISH	H_INDEX_GERMAN	MODAL_NAME_GERMAN	VALID_RESPONSES_GERMAN	NUMBER_DIFFERENT_RESPONSES_GERMAN	UNKNOWN_RESPONSES_GERMAN	IDIOSYNCRATIC_RESPONSES_GERMAN	VISUAL_COMPLEXITY_GERMAN	H_INDEX_WESTERNFLEMISH	MODAL_NAME_WESTERNFLEMISH	VALID_RESPONSES_WESTERNFLEMISH	NUMBER_DIFFERENT_RESPONSES_WESTERNFLEMISH	UNKNOWN_RESPONSES_WESTERNFLEMISH	IDIOSYNCRATIC_RESPONSES_WESTERNFLEMISH	VISUAL_COMPLEXITY_WESTERNFLEMISH	H_INDEX_FRENCH	MODAL_NAME_FRENCH	VALID_RESPONSES_FRENCH	NUMBER_DIFFERENT_RESPONSES_FRENCH	UNKNOWN_RESPONSES_FRENCH	IDIOSYNCRATIC_RESPONSES_FRENCH	VISUAL_COMPLEXITY_FRENCH
Dunabeitia-2018-750-99	99	PICTURE_99	3303	PICTURE (PAINTING)	painting	quadro	cuadro	bild	schilderij	tableau	0.831510185	80.6122449	98	3	0	2.99	0.40790598	91.83673469	98	2	1	1	2.71	0.14372617	97.95918367	98	2	0	2	2.74	0.899743759	68.42105263	95	2	0	5	3.09	0	100	96.66666667	1	1.666666667	1.666666667	3.322033898	0.709987827	85.85858586	99	3	0	1	2.878787879
Dunabeitia-2018-750-98	98	PICTURE_98	846	TIGER	tiger	tigre	tigre	tiger	tijger	tigre	0.327444919	94.0	100	2	0	3.48	0.0	100	97	1	1	2	2.88	0.327444919	94	100	2	0	0	3.03	0.195909271	96.96969697	99	2	0	1	3.41	0.213579815	96.61016949	100	2	0	0	3.677966102	0.242292189	96	100	2	0	0	3.080808081
Dunabeitia-2018-750-97	97	PICTURE_97	1201	FEATHER	feather	piuma	pluma	feder	veer	plume	0.286396957	95.0	100	2	0	2.29	0.373951367	92.78350515	97	2	2	1	1.86	0.141440543	98	100	2	0	0	1.82	0	100	100	1	0	0	2.08	0.735508582	79.31034483	96.66666667	2	0	3.333333333	2.333333333	0	100	100	1	0	0	1.838383838
Dunabeitia-2018-750-96	96	PICTURE_96	635	MILK	milk	latte	leche	milch	melk	lait	0.712904561	89.0	100	5	0	2.21	0.976519105	76.84210526	95	3	3	2	2.26	0.80754208	82.4742268	97	3	0	3	2.04	0.951541292	84.7826087	92	6	2	6	2.36	0.542390501	90.56603774	88.33333333	3	1.666666667	10	2.216666667	1.061386026	82.29166667	96	6	1	3	1.626262626
Dunabeitia-2018-750-95	95	PICTURE_95	4005	SUITCASE	suitcase	valigia	maleta	koffer	koffer	valise	0.244141642	95.95959596	99	2	0	2.4	0.973716109	71	100	3	0	0	2.16	0	100	99	1	0	1	2.1	0.741980504	87	100	4	0	0	2.45	1.804935194	44.64285714	94.91525424	4	1.694915254	3.389830508	2.644067797	0	100	99	1	0	1	1.98989899
Dunabeitia-2018-750-94	94	PICTURE_94	1251	BELLY	belly	pancia	ombligo	bauch	buik	ventre	1.642000643	46.93877551	98	6	0	1.96	1.862219064	53.06122449	98	5	0	2	1.78	2.115728529	48.48484848	99	7	0	1	1.7	0.827374478	73.95833333	96	2	0	4	1.94	0.622634316	84.48275862	98.30508475	2	0	1.694915254	1.949152542	0.987913589	72.44897959	98	3	0	2	1.535353535
Dunabeitia-2018-750-93	93	PICTURE_93			skateboard	skateboard	patinete	skateboard	skateboard	skate	0.295181743	94.79166667	96	2	2	1.8	0.686154947	81.72043011	93	2	2	5	1.78	1.723618879	47.47474747	99	4	0	1	1.68	0.390452131	93.93939394	99	3	0	1	1.78	0.357646706	93.22033898	98.33333333	2	0	1.666666667	1.75	1.318198539	58.16326531	98	4	1	1	1.484848485
Dunabeitia-2018-750-92	92	PICTURE_92	651	SEAL	seal	foca	foca	robbe	zeehond	phoque	0.731064443	87.5	96	4	3	3.05	0.14372617	97.95918367	98	2	1	1	2.737373737	0.295181743	94.79166667	96	2	1	3	2.84	1.435689903	66.32653061	98	5	1	1	3.19	0.966377887	81.48148148	91.52542373	4	5.084745763	3.389830508	3.389830508	0.94787496	73.11827957	93	3	3	4	2.818181818
Dunabeitia-2018-750-91	91	PICTURE_91	674	MOUTH	mouth	bocca	boca	mund	mond	bouche	0.0	100.0	98	1	0	2.94	0.884196192	83.15789474	95	4	2	3	2.767676768	0.385500363	93.93939394	99	3	0	1	2.696969697	1.621036412	60.41666667	96	5	0	4	3.09	0.693767374	86.66666667	100	3	0	0	3.233333333	0.52448452	90.52631579	95	3	0	5	2.757575758
Dunabeitia-2018-750-90	90	PICTURE_90	1313	MOON	moon	luna	luna	mond	maan	lune	0.771279482	82.10526316	95	3	0	1.41	0.14372617	97.95918367	98	2	1	1	1.32	0	100	100	1	0	0	1.24	1.096408695	77.77777778	99	4	0	1	1.3	0	100	96.66666667	1	1.666666667	1.666666667	1.06779661	0.426342091	93	100	3	0	0	1.090909091
