NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	animal	619	ANIMAL
2	back	1291	BACK
3	bad	1292	BAD
4	belly	1251	BELLY
5	big	1202	BIG
6	bird	937	BIRD
7	bite	1403	BITE
8	blood	946	BLOOD
9	blow	176	BLOW (WITH MOUTH)
10	bone	1394	BONE
11	breast	1402	BREAST
12	breathe	1407	BREATHE
13	child	2099	CHILD
14	claw/nail	72	CLAW
15	cloud	1489	CLOUD
16	cut	1432	CUT
17	dance	1879	DANCE
18	day	1225	DAY (NOT NIGHT)
19	die	1494	DIE
20	dig	1418	DIG
21	dirty	1230	DIRTY
22	dog	2009	DOG
23	drink	1401	DRINK
24	ear	1247	EAR
25	earth	1228	EARTH (SOIL)
26	eat	1336	EAT
27	egg	744	EGG
28	eye	1248	EYE
29	fall	1280	FALL
30	far	1406	FAR
31	fat	2449	FAT (OF MEAT AND FOOD)
32	father	1217	FATHER
33	fear	1419	FEAR (BE AFRAID)
34	fire	221	FIRE
35	fish	227	FISH
36	flow	2003	FLOW
37	flower	239	FLOWER
38	foot	1301	FOOT
39	fruit	1507	FRUIT
40	full	1429	FULL
41	give	1447	GIVE
42	good	1035	GOOD
43	hair	1040	HAIR
44	hand	1277	HAND
45	he	1211	HE
46	head	1256	HEAD
47	hear	1408	HEAR
48	heavy	1210	HEAVY
49	here	136	HERE
50	hold	1448	HOLD
51	husband	1200	HUSBAND
52	I	1209	I
53	knee	1371	KNEE
54	knife	1352	KNIFE
55	know	1410	KNOW (SOMETHING)
56	laugh	1355	LAUGH
57	leaf	628	LEAF
58	leftside	244	LEFT
59	live	2309	LIVE
60	liver	1224	LIVER
61	long	1203	LONG
62	louse	1392	LOUSE
63	male	1553	MALE
64	many	428	BE MANY
65	meat	634	MEAT
66	moon	1313	MOON
67	mother	1216	MOTHER
68	mountain	639	MOUNTAIN
69	mouth	674	MOUTH
70	name	1405	NAME
71	near	1942	NEAR
72	neck	1333	NECK
73	new	1231	NEW
74	night	1233	NIGHT
75	nose	1221	NOSE
76	not	1240	NOT
77	old	2112	OLD (AGED)
78	one	1493	ONE
79	person	683	PERSON
80	play	1413	PLAY
81	quiver	995	QUIVER
82	rain	1253	RAIN (RAINING)
83	red	156	RED
84	rice	926	RICE
85	rightside	1019	RIGHT
86	road_path	2457	PATH OR ROAD
87	root	670	ROOT
88	rotten	1728	ROTTEN
89	salt	1274	SALT
90	say	1458	SAY
91	scratch	1436	SCRATCH
92	see	1409	SEE
93	sharp	1396	SHARP
94	shoot	1172	SHOOT
95	short	1645	SHORT
96	sibling_younger	427	YOUNGER_SIBLING
97	sibling_elder	405	OLDER_SIBLING
98	sing	1261	SING
99	sit	1416	SIT
100	skin	763	SKIN
101	sky	1732	SKY
102	sleep	1585	SLEEP
103	small	1246	SMALL
104	smell	1586	SMELL (PERCEIVE)
105	smoke	1689	SMOKE (INHALE)
106	smooth	1234	SMOOTH
107	snake	730	SNAKE
108	spear	945	SPEAR
109	spit	1440	SPIT
110	squeeze	1414	SQUEEZE
111	stab	1434	STAB
112	stand	1442	STAND
113	stick	1295	STICK
114	stone	857	STONE
115	straight	1404	STRAIGHT
116	suck	1421	SUCK
117	swell	1573	SWELL
118	tail	1220	TAIL
119	thin	2307	THIN (OF HAIR AND LEAF)
120	this	1214	THIS
121	thou	1215	THOU
122	three	492	THREE
123	throw	1456	THROW
124	tie	1917	TIE
125	tongue	1205	TONGUE
126	tooth	1380	TOOTH
127	tree	906	TREE
128	turn	1588	TURN
129	two	1498	TWO
130	vomit	1278	VOMIT
131	walk	1443	WALK
132	wash_bathe	138	BATHE
133	water	948	WATER
134	we_PL_INCL	1131	WE (INCLUSIVE)
135	wet	1726	WET
136	what	1236	WHAT
137	when	1238	WHEN
138	white	1335	WHITE
139	who	1235	WHO
140	wind	960	WIND
141	wife	1199	WIFE
142	wing	1257	WING
143	wipe	1454	WIPE
144	woman	962	WOMAN
145	woods	2311	WOODS
146	you_PL	1213	YOU
