ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID
Duong-2020-100-1	1	sun	SUN	1343
Duong-2020-100-2	2	moon	MOON	1313
Duong-2020-100-3	3	star	STAR	1430
Duong-2020-100-4	4	earth	EARTH (SOIL)	1228
Duong-2020-100-5	5	cloud	CLOUD	1489
Duong-2020-100-6	6	rain	RAIN (PRECIPITATION)	658
Duong-2020-100-7	7	water	WATER	948
Duong-2020-100-8	8	mountain	MOUNTAIN	639
Duong-2020-100-9	9	rock	ROCK	668
Duong-2020-100-10	10	sand	SAND	671
Duong-2020-100-11	11	road/way	PATH OR ROAD	2457
Duong-2020-100-12	12	fire	FIRE	221
Duong-2020-100-13	13	smoke	SMOKE (EXHAUST)	778
Duong-2020-100-14	14	ash	ASH	646
Duong-2020-100-15	15	night	NIGHT	1233
Duong-2020-100-16	16	tree	TREE	906
Duong-2020-100-17	17	seed	SEED	714
Duong-2020-100-18	18	leaf	LEAF	628
Duong-2020-100-19	19	root	ROOT	670
Duong-2020-100-20	20	bark	BARK	1204
Duong-2020-100-21	21	dog	DOG	2009
Duong-2020-100-22	22	bird	BIRD	937
Duong-2020-100-23	23	fish	FISH	227
Duong-2020-100-24	24	louse	LOUSE	1392
Duong-2020-100-25	25	claw	CLAW	72
Duong-2020-100-26	26	horn	HORN (ANATOMY)	1393
Duong-2020-100-27	27	leather	LEATHER	629
Duong-2020-100-28	28	tail	TAIL	1220
Duong-2020-100-29	29	egg	EGG	744
Duong-2020-100-30	30	head	HEAD	1256
Duong-2020-100-31	31	hair	HAIR	1040
Duong-2020-100-32	32	eye	EYE	1248
Duong-2020-100-33	33	nose	NOSE	1221
Duong-2020-100-34	34	mouth	MOUTH	674
Duong-2020-100-35	35	tooth	TOOTH	1380
Duong-2020-100-36	36	tongue	TONGUE	1205
Duong-2020-100-37	37	ear	EAR	1247
Duong-2020-100-38	38	neck	NECK	1333
Duong-2020-100-39	39	hand	HAND	1277
Duong-2020-100-40	40	chest	CHEST	1592
Duong-2020-100-41	41	foot	FOOT	1301
Duong-2020-100-42	42	knee	KNEE	1371
Duong-2020-100-43	43	stomach	STOMACH	819
Duong-2020-100-44	44	liver	LIVER	1224
Duong-2020-100-45	45	heart	HEART	1223
Duong-2020-100-46	46	blood	BLOOD	946
Duong-2020-100-47	47	skin	SKIN	763
Duong-2020-100-48	48	bone	BONE	1394
Duong-2020-100-49	49	meat	MEAT	634
Duong-2020-100-50	50	fat	FAT (ORGANIC SUBSTANCE)	323
Duong-2020-100-51	51	human	PERSON	683
Duong-2020-100-52	52	name	NAME	1405
Duong-2020-100-53	53	man	MAN	1554
Duong-2020-100-54	54	woman	WOMAN	962
Duong-2020-100-55	55	new	NEW	1231
Duong-2020-100-56	56	good	GOOD	1035
Duong-2020-100-57	57	big/ huge	BIG	1202
Duong-2020-100-58	58	small/ tiny	SMALL	1246
Duong-2020-100-59	59	red	RED	156
Duong-2020-100-60	60	black	BLACK	163
Duong-2020-100-61	61	white	WHITE	1335
Duong-2020-100-62	62	blue/ green	BLUE OR GREEN	2382
Duong-2020-100-63	63	yellow	YELLOW	1424
Duong-2020-100-64	64	long	LONG	1203
Duong-2020-100-65	65	many	MANY	1198
Duong-2020-100-66	66	round	ROUND	1395
Duong-2020-100-67	67	hot	HOT	1286
Duong-2020-100-68	68	cold	COLD	1287
Duong-2020-100-69	69	full	FULL	1429
Duong-2020-100-70	70	dry	DRY	1398
Duong-2020-100-71	71	go/move	GO	695
Duong-2020-100-72	72	come	COME	1446
Duong-2020-100-73	73	burn	BURN	2102
Duong-2020-100-74	74	fly	FLY (MOVE THROUGH AIR)	1441
Duong-2020-100-75	75	stand	STAND	1442
Duong-2020-100-76	76	swim	SWIM	1439
Duong-2020-100-77	77	kill	KILL	1417
Duong-2020-100-78	78	sit	SIT	1416
Duong-2020-100-79	79	hear	HEAR	1408
Duong-2020-100-80	80	talk	TALK	2708
Duong-2020-100-81	81	look at	LOOK	1819
Duong-2020-100-82	82	lie	LIE (REST)	1411
Duong-2020-100-83	83	sleep	SLEEP	1585
Duong-2020-100-84	84	know	KNOW	3626
Duong-2020-100-85	85	eat	EAT	1336
Duong-2020-100-86	86	drink	DRINK	1401
Duong-2020-100-87	87	bite	BITE	1403
Duong-2020-100-88	88	die	DIE	1494
Duong-2020-100-89	89	give	GIVE	1447
Duong-2020-100-90	90	one	ONE	1493
Duong-2020-100-91	91	two	TWO	1498
Duong-2020-100-92	92	all	ALL	98
Duong-2020-100-93	93	what	WHAT	1236
Duong-2020-100-94	94	who	WHO	1235
Duong-2020-100-95	95	no	NO	1269
Duong-2020-100-96	96	here	HERE	136
Duong-2020-100-97	97	that	THAT	78
Duong-2020-100-98	98	I	I	1209
Duong-2020-100-99	99	you	THOU	1215
Duong-2020-100-100	100	we	WE	1212
