ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Dyen-1964-154-1	1	three	492	THREE	1
Dyen-1964-154-2	2	name	1405	NAME	2
Dyen-1964-154-3	3	new	1231	NEW	3
Dyen-1964-154-4	4	tongue	1205	TONGUE	4
Dyen-1964-154-5	5	sun	1343	SUN	5
Dyen-1964-154-6	6	heart	1223	HEART	6
Dyen-1964-154-7	7	wind	960	WIND	7
Dyen-1964-154-8	8	to give	1447	GIVE	8
Dyen-1964-154-9	9	eye	1248	EYE	9
Dyen-1964-154-10	10	tooth	1380	TOOTH	10
Dyen-1964-154-11	11	mother	1216	MOTHER	11
Dyen-1964-154-12	12	to die	1494	DIE	12
Dyen-1964-154-13	13	egg	744	EGG	13
Dyen-1964-154-14	14	night	1233	NIGHT	14
Dyen-1964-154-15	15	to sit	1416	SIT	15
Dyen-1964-154-16	16	star	1430	STAR	16
Dyen-1964-154-17	17	salt	1274	SALT	17
Dyen-1964-154-18	18	one	1493	ONE	18
Dyen-1964-154-19	19	ear	1247	EAR	19
Dyen-1964-154-20	20	day	1225	DAY (NOT NIGHT)	20
Dyen-1964-154-21	21	to live	1422	BE ALIVE	21
Dyen-1964-154-22	22	nose	1221	NOSE	22
Dyen-1964-154-23	23	know	1410	KNOW (SOMETHING)	23
Dyen-1964-154-24	24	long	1203	LONG	24
Dyen-1964-154-25	25	to drink	1401	DRINK	25
Dyen-1964-154-26	26	father	1217	FATHER	26
Dyen-1964-154-27	27	to stand	1442	STAND	27
Dyen-1964-154-28	28	smoke	778	SMOKE (EXHAUST)	28
Dyen-1964-154-29	29	yellow	1424	YELLOW	29
Dyen-1964-154-30	30	water	948	WATER	30
Dyen-1964-154-31	31	foot	1301	FOOT	31
Dyen-1964-154-32	32	to sew	1457	SEW	32
Dyen-1964-154-33	33	seed	714	SEED	33
Dyen-1964-154-34	34	worm	1219	WORM	34
Dyen-1964-154-35	35	thin	2308	THIN	35
Dyen-1964-154-36	36	to spit	1440	SPIT	36
Dyen-1964-154-37	37	to sleep	1585	SLEEP	37
