ID	NUMBER	ENGLISH	FINNISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	BRITISH_ENGILISH_FAMILIARITY_MEAN	BRITISH_ENGLISH_VALENCE_MEAN	BRITISH_ENGLISH_EMOTION_MEAN	BRITISH_ENGLISH_OFFENSIVENESS_MEAN	BRITISH_ENGLISH_CONCRETENESS_MEAN	FINNISH_FAMILIARITY_MEAN	FINNISH_VALENCE_MEAN	FINNISH_EMOTION_MEAN	FINNISH_OFFENSIVENESS_MEAN	FINNISH_CONCRETENESS_MEAN
Eilola-2010-210-1	1	abuse	solvaus	1953	ABUSE	3.42	0.69	5.19	2.36	4.21	1.42	1.33	3.81	1.95	4.51
Eilola-2010-210-2	2	acceptance	hyväksyntä			2.75	6.58	3.88	0.2	5.53	2.9	6.82	4.51	0.38	5.74
Eilola-2010-210-3	3	accident	onnettomuus	4058	ACCIDENT	4.51	1.65	3.71	0.52	2.4	3.36	1.11	5.41	0.87	2.37
Eilola-2010-210-4	4	ache	särky			4.79	2.04	2.6	0.25	3.59	3.97	1.65	3.78	0.54	3.1
Eilola-2010-210-5	5	achievement	saavutus			3.71	7.49	5.04	0.32	5.4	3.3	6.65	3.77	0.35	4.48
Eilola-2010-210-6	6	adventure	seikkailu			2.91	6.16	3.3	0.22	4.55	2.73	6.26	3.91	0.29	3.75
Eilola-2010-210-7	7	affection	hellyys	4093	AFFECTION	3.69	7.61	5.69	0.2	5.68	3.36	7.93	6.11	0.24	4.91
Eilola-2010-210-8	8	agony	tuska	4122	AGONY	2.33	0.76	5.15	0.73	5.11	3.19	1.02	5.49	1.08	5.24
Eilola-2010-210-9	9	agreement	sovinto	3644	AGREEMENT	3.68	6.51	2.84	0.22	5.06	2.84	6.79	4.45	0.27	4.58
Eilola-2010-210-10	10	alley	kuja			2.45	3.5	0.77	0.22	0.86	2.47	4.05	1.13	0.3	0.58
Eilola-2010-210-11	11	anger	kiukku	82	ANGER	4.11	1.15	6.25	1.16	5.91	3.17	2.07	4.67	0.95	5.12
Eilola-2010-210-12	12	anxiety	ahdistus	1000	ANXIETY	2.82	1.59	4.74	0.39	6.17	3.21	1.02	5.48	1.19	5.95
Eilola-2010-210-13	13	appliance	laite			2.4	4.26	0.72	0.15	1.03	3.39	4.29	0.77	0.32	0.61
Eilola-2010-210-14	14	army	armeija	1561	ARMY	3.38	3.46	2.18	0.32	1.23	4.34	4.08	3.24	0.43	1.03
Eilola-2010-210-15	15	arse	perse			5.34	2.15	2.06	3.29	1.99	5.62	2.89	2.44	4.29	0.71
Eilola-2010-210-16	16	art	taide	4094	ART	3.13	5.68	1.89	0.26	3.69	3.73	5.72	3.16	0.28	3.5
Eilola-2010-210-17	17	asshole	persläpi			4.54	1.35	3.01	5.21	3.08	1.49	1.26	2.53	5.92	3.32
Eilola-2010-210-18	18	baby	vauva	1289	BABY	4.99	6.53	4.23	0.34	0.49	4.49	7.13	5.44	0.55	0.51
Eilola-2010-210-19	19	barrel	tynnyri	2548	BARREL	1.51	3.8	0.62	0.22	0.56	1.69	4.12	0.89	0.78	0.34
Eilola-2010-210-20	20	bastard	äpärä	1947	BASTARD	5.3	1.34	3.29	5.11	4.24	1.47	1.5	2.87	5.81	2.77
Eilola-2010-210-21	21	beauty	kauneus	4051	BEAUTY	4.1	7.26	3.9	0.39	5.58	5.04	6.96	4.59	0.41	5.1
Eilola-2010-210-22	22	bed	sänky	1663	BED	7.05	6.5	2.51	0.18	0.39	6.38	6.55	3.29	0.48	0.32
Eilola-2010-210-23	23	beer	olut	1639	BEER	6.28	4.96	1.93	0.35	0.51	4.78	4.77	3.18	0.78	0.4
Eilola-2010-210-24	24	bint	urpo			1.22	2.08	1.34	2.54	4.69	2.33	2.37	2.01	4.19	3.67
Eilola-2010-210-25	25	bitch	narttu			6.2	1.45	3.66	4.89	4.34	2.1	1.26	3.52	6.21	2.41
Eilola-2010-210-26	26	bliss	onni			1.91	6.74	3.89	0.18	6.29	4.24	8.03	6.11	0.24	6.08
Eilola-2010-210-27	27	blossom	kukoistus			1.72	5.93	1.78	0.18	2.17	1.45	6.38	2.82	0.27	4.82
Eilola-2010-210-28	28	book	kirja	963	BOOK	5.69	4.82	1.06	0.23	0.72	6.31	5.38	2.11	0.25	0.4
Eilola-2010-210-29	29	bowl	kulho	1530	BOWL	4.01	4.13	0.53	0.2	0.54	2.99	4.5	0.83	0.24	0.31
Eilola-2010-210-30	30	bread	leipä	1368	BREAD	5.76	4.99	0.74	0.17	0.37	6.54	6.2	1.65	0.22	0.37
Eilola-2010-210-31	31	brother	veli	1262	BROTHER	5.36	6.59	4.18	0.16	1.03	5.65	7.18	5.25	0.25	0.77
Eilola-2010-210-32	32	cabinet	kamari	3357	CUPBOARD	2.31	3.99	0.62	0.15	0.45	1.47	4.59	1.07	0.51	0.67
Eilola-2010-210-33	33	cancer	syöpä	4110	CANCER (DISEASE)	3.61	0.55	5.93	1.62	1.81	3.03	0.81	5.16	1.32	2
Eilola-2010-210-34	34	car	auto	1111	CAR	7.18	5.31	1.49	0.38	0.39	7.26	5.53	2.22	0.23	0.36
Eilola-2010-210-35	35	cell	solu	4109	CELL (BIOLOGY)	2.14	2.53	1.12	0.3	0.91	2	4.25	0.89	0.36	1.77
Eilola-2010-210-36	36	chair	tuoli	1476	CHAIR	5.28	4.4	0.55	0.15	0.54	5.91	4.86	0.94	0.23	0.37
Eilola-2010-210-37	37	cock	kyrpä			4.73	1.87	2.57	4.22	1.96	3.19	2.24	2.56	5.46	0.92
Eilola-2010-210-38	38	column	pylväs	2045	COLUMN	1.86	4.05	0.6	0.14	1.45	1.78	4.13	0.79	0.37	0.48
Eilola-2010-210-39	39	comfort	mukavuus	4112	COMFORT	3.94	7.09	3.96	0.2	5.56	4.28	7.58	4.65	0.3	4.81
Eilola-2010-210-40	40	computer	tietokone	3086	COMPUTER	6.85	4.95	0.91	0.18	0.56	6.77	5.02	1.48	0.27	0.33
Eilola-2010-210-41	41	confidence	luottamus	4118	CONFIDENCE	4.44	7.05	4.34	0.23	6.29	4.1	7.5	5.55	0.34	6.09
Eilola-2010-210-42	42	content	sisältö	3967	CONTENT	2.8	5.47	2.03	0.19	4.78	2.93	4.47	1.05	0.34	3.43
Eilola-2010-210-43	43	core	ydin			1.9	3.92	0.59	0.16	2.7	2.12	3.88	0.99	0.34	2.52
Eilola-2010-210-44	44	corner	nurkka	192	CORNER	3.38	3.96	0.43	0.16	0.69	2.99	3.85	0.81	0.37	0.56
Eilola-2010-210-45	45	corridor	käytävä	4117	CORRIDOR	3.46	4.22	0.54	0.17	0.75	4.29	4.32	0.91	0.25	0.52
Eilola-2010-210-46	46	cottage	mökki	4116	COTTAGE	1.7	4.88	0.81	0.19	0.39	4.11	6.13	2.75	0.31	0.36
Eilola-2010-210-47	47	crap	ruikku			6.13	1.7	2.27	2.63	3	1.5	1.35	1.5	4.28	1.18
Eilola-2010-210-48	48	crime	rikos	1066	CRIME	4.96	0.89	3.32	1.3	3.41	3.52	1.31	3.81	1.21	2.61
Eilola-2010-210-49	49	cunt	pillu			3.9	0.84	4.45	7.92	4.05	3.37	2.07	2.81	5.85	0.93
Eilola-2010-210-50	50	damn	pahus			4.83	2.5	2.19	1.42	5.51	2.56	2.38	2.01	1.57	5.2
Eilola-2010-210-51	51	danger	vaara	1810	DANGER	3.76	1.2	5.32	0.89	4.7	3.37	1.63	4.32	0.64	4.04
Eilola-2010-210-52	52	death	kuolema	910	DEATH	3.79	0.66	6.68	1.19	3.24	3.85	0.97	6.57	1.54	3.97
Eilola-2010-210-53	53	debt	velka	1914	DEBT	4.68	1.12	3.29	0.73	2.47	3.62	1.81	2.75	1.05	2.52
Eilola-2010-210-54	54	depression	masennus	3877	DEPRESSION	3.76	1.04	5.51	0.77	5.74	3.65	0.89	4.99	1.24	5.18
Eilola-2010-210-55	55	desire	halu	2960	LONGING (WISH)	2.91	6.12	4.79	0.2	6.41	4.44	5.89	5.48	1.1	5.32
Eilola-2010-210-56	56	destruction	tuho	4115	DESTRUCTION	2.38	1.24	3.96	0.69	2.99	2.25	1.16	4.36	1.28	3.58
Eilola-2010-210-57	57	dick	mulkku			4.81	1.87	2.51	4.46	1.91	3.09	1.41	2.77	6.22	1.88
Eilola-2010-210-58	58	disappointment	pettymys	3845	DISAPPOINTMENT	3.53	1.27	4.98	0.65	6.12	3.18	1.41	5.18	1.06	5.39
Eilola-2010-210-59	59	discomfort	vaiva			2.56	1.51	3.87	0.52	5.24	3.11	1.9	2.6	0.9	3.55
Eilola-2010-210-60	60	doctor	lääkäri	597	PHYSICIAN	3.94	5.67	1.88	0.42	1.19	4.26	5.15	2.37	0.34	0.49
Eilola-2010-210-61	61	door	ovi	1567	DOOR	5.58	4.22	0.64	0.16	0.32	5.98	4.78	0.79	0.29	0.35
Eilola-2010-210-62	62	dream	uni	2374	DREAM	4.79	6.5	3.93	0.36	5.66	6.29	7.1	4.1	0.29	3.98
Eilola-2010-210-63	63	elevator	hissi	4033	ELEVATOR	2.12	4.12	0.83	0.14	0.51	3.33	4.67	0.88	0.24	0.4
Eilola-2010-210-64	64	engine	moottori	2622	ENGINE	2.72	4.05	0.63	0.18	0.53	3.83	4.6	1.2	0.26	0.48
Eilola-2010-210-65	65	enjoyment	nautinto			3.9	7.39	5.23	0.21	6.53	3.75	7.46	6.48	0.68	4.96
Eilola-2010-210-66	66	exercise	liikunta			5.28	6.27	2.39	0.16	1.96	5.96	6.75	3.32	0.31	2.17
Eilola-2010-210-67	67	fabric	kangas			2.22	4.32	0.52	0.16	0.41	3.3	4.69	1.02	0.27	0.36
Eilola-2010-210-68	68	faggot	hintti			2.5	1.16	2.8	5.45	5.05	3.11	1.44	3.23	6.59	2.62
Eilola-2010-210-69	69	family	perhe	194	FAMILY	6.42	7.7	5.61	0.47	1.64	5.9	7.82	6.53	0.21	1.15
Eilola-2010-210-70	70	fart	pieru	1159	FART	4.12	2.32	1.15	2.06	2.39	3.7	2.42	1.87	3.24	1.55
Eilola-2010-210-71	71	father	isä	1217	FATHER	4.67	6.48	4.65	0.21	1.25	6.86	7.35	6.3	0.19	0.75
Eilola-2010-210-72	72	fear	pelko	781	FEAR (FRIGHT)	3.53	1.13	5.89	0.47	6.29	3.92	1.56	5.64	0.83	5.63
Eilola-2010-210-73	73	field	kenttä	212	FIELD	3.16	4.46	0.7	0.15	0.6	3.46	4.57	0.97	0.28	0.69
Eilola-2010-210-74	74	filth	saasta	4124	FILTH	3.39	1.26	2.23	1.97	3.48	1.64	1.3	2.28	3.41	2.99
Eilola-2010-210-75	75	flag	lippu	2623	FLAG	1.92	4.15	0.94	0.3	0.79	3.37	5.04	1.72	0.26	0.41
Eilola-2010-210-76	76	food	ruoka	256	FOOD	7.88	6.43	2.72	0.28	0.87	7.57	6.98	3.43	0.26	0.46
Eilola-2010-210-77	77	fragrance	tuoksu			2.81	5.52	1.28	0.13	2.32	4.02	6.64	4.01	0.31	2.8
Eilola-2010-210-78	78	fraud	petos	4081	FRAUD	2.63	1.35	2.32	1.01	3.6	2.21	0.95	4.87	1.99	4.16
Eilola-2010-210-79	79	freedom	vapaus	4086	FREEDOM	3.72	7.58	5.24	0.25	6.22	3.58	7.47	5.32	0.28	6.08
Eilola-2010-210-80	80	friend	ystävä	1325	FRIEND	7.18	7.92	5.36	0.32	2.61	6.27	8.08	6.59	0.23	1.86
Eilola-2010-210-81	81	fuck	vittu			6.77	1.65	3.76	5.69	4.78	6.79	2.04	3.74	6.05	2.44
Eilola-2010-210-82	82	funeral	hautajaiset	3336	FUNERAL	2.35	0.86	5.7	1.09	1.58	2.31	1.28	5.93	1.03	1.45
Eilola-2010-210-83	83	gift	lahja	2982	GIFT	3.37	6.72	3.25	0.16	1.45	3.82	7.05	3.73	0.23	1.04
Eilola-2010-210-84	84	git	typerys			2.99	1.83	1.84	3.41	4.57	2.91	1.92	2.66	3.71	3.5
Eilola-2010-210-85	85	glass	lasi	604	GLASS	5.2	4.07	0.71	0.21	0.75	5.85	4.73	1.12	0.25	0.33
Eilola-2010-210-86	86	glory	kunnia			2.13	6.75	4.18	0.31	6.32	2.56	6.18	4.36	0.35	5.79
Eilola-2010-210-87	87	grave	hauta	1773	GRAVE	1.83	1.17	3.69	0.52	1.16	2.37	1.76	4.03	1	0.82
Eilola-2010-210-88	88	grief	murhe	1668	GRIEF	2.63	1.19	5.46	0.66	5.8	2.9	1.3	4.82	0.95	5.09
Eilola-2010-210-89	89	guilt	syyllisyys	4125	GUILT	3.43	1.29	4.86	0.63	6.11	2.65	1.66	5.13	1.11	5.53
Eilola-2010-210-90	90	habit	tapa			3.54	3.64	1.34	0.47	4.1	3.91	4.35	1.3	0.67	4.25
Eilola-2010-210-91	91	hammer	vasara	1481	HAMMER	2.02	3.6	0.77	0.45	0.3	2.48	4.23	0.75	0.28	0.27
Eilola-2010-210-92	92	hate	viha	3749	HATE (LOATHING)	5.03	0.76	6.6	2.77	6.6	4.2	1.24	6.52	1.5	5.46
Eilola-2010-210-93	93	hell	helvetti	878	HELL	3.62	0.96	3.5	1.92	6.56	5.31	1.27	4.37	3.91	5.81
Eilola-2010-210-94	94	holiday	loma			5.3	6.83	3.59	0.19	2.49	6.24	7.65	5.04	0.22	2.65
Eilola-2010-210-95	95	honesty	rehellisyys			4.02	7.38	4.6	0.28	6	4	7.51	5.46	0.39	6.06
Eilola-2010-210-96	96	honey	hunaja	942	HONEY	3.06	5.5	1.8	0.2	0.77	2.32	5.44	1.56	0.28	0.6
Eilola-2010-210-97	97	hope	toivo	3211	HOPE (FAITH)	3.98	7.07	5.1	0.19	6.85	3.49	7.34	5.34	0.25	6.32
Eilola-2010-210-98	98	horror	kauhu			3.15	1.34	4.36	0.7	5.86	3.11	1.85	5.09	0.74	5.43
Eilola-2010-210-99	99	hospital	sairaala	616	HOSPITAL	3.56	3.74	2.89	0.26	0.49	3.75	3.93	3.28	0.45	0.45
Eilola-2010-210-100	100	hostage	panttivanki			1.9	0.9	3.51	0.79	2.43	1.68	1.12	3.89	1.12	1.08
Eilola-2010-210-101	101	house	talo	1252	HOUSE	6.05	5.25	1.4	0.14	0.86	5.4	5.75	1.97	0.25	0.32
Eilola-2010-210-102	102	illness	sairaus	1986	DISEASE	4	1.15	3.8	0.74	2.93	4.11	1.19	4.82	1.15	2.72
Eilola-2010-210-103	103	improvement	parannus			3.78	6.75	2.56	0.27	5.11	2.33	6.88	3.9	0.32	4.48
Eilola-2010-210-104	104	industry	teollisuus	4114	INDUSTRY	2.33	3.75	0.77	0.2	2.2	3.02	3.83	1.03	0.36	1.96
Eilola-2010-210-105	105	inhabitant	asukas	4048	INHABITANT	1.54	3.85	0.77	0.44	2.21	3.44	4.66	1.04	0.25	0.76
Eilola-2010-210-106	106	injury	vamma	2947	DAMAGE (INJURY)	3.22	1.51	3.31	0.34	2.02	2.76	1.6	3.1	1.87	1.57
Eilola-2010-210-107	107	insult	loukkaus			3.51	1.31	4.66	1.95	5.19	3	1.4	4.65	1.67	4.96
Eilola-2010-210-108	108	intercourse	yhdyntä			2.98	5.6	4.47	1.1	1.74	2.99	5.89	5.22	2.29	1.33
Eilola-2010-210-109	109	jelly	hyytelö			2.23	4.79	0.68	0.2	0.57	1.67	4.12	0.92	0.53	0.5
Eilola-2010-210-110	110	joke	vitsi	3425	JOKE	5.87	6.48	3.81	0.34	5.46	5.49	6.65	3.27	0.61	3.06
Eilola-2010-210-111	111	joy	ilo	2524	JOY	3.06	7.64	5.7	0.19	5.86	4.95	8	6.03	0.28	5.27
