ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALENCE_MEAN	AROUSAL_MEAN	FAMILIARITY_MEAN	CONCRETENESS_MEAN	FREQUENCY_LEXESP	SEMANTIC_CATEGORY
Ferre-2012-380-1	1	Abeja	665	BEE	3.34	6.79	6.32	8.52	3.57	animal
Ferre-2012-380-2	2	Abejorro			2.13	7.08	4.40	7.52	0.18	animal
Ferre-2012-380-3	3	Águila	1905	EAGLE	6.16	6.00	4.32	7.36	7.86	animal
Ferre-2012-380-4	4	Alce	1772	ELK	5.47	4.57	1.96	6.56	0.54	animal
Ferre-2012-380-5	5	Almeja	4156	CLAMS	4.92	3.42	4.24	6.72	0.54	animal
Ferre-2012-380-6	6	Anguila	1013	FRESHWATER EEL	3.76	5.55	3.00	7.44	1.43	animal
Ferre-2012-380-7	7	Ardilla	1628	SQUIRREL	6.76	4.47	3.12	8.64	8.04	animal
Ferre-2012-380-8	8	Asno	1862	DONKEY	5.32	4.53	3.32	6.88	3.93	animal
Ferre-2012-380-9	9	Atún	4164	TUNA	5.74	4.84	6.64	7.64	3.39	animal
Ferre-2012-380-10	10	Avestruz	3797	OSTRICH	5.26	4.50	3.92	8.48	2.32	animal
Ferre-2012-380-11	11	Babosa			2.13	5.08	3.44	6.76	0.36	animal
Ferre-2012-380-12	12	Ballena	957	WHALE	6.38	4.43	4.88	7.96	3.04	animal
Ferre-2012-380-13	13	Bisonte	3142	BISON	4.54	5.32	1.84	7.00	1.96	animal
Ferre-2012-380-14	14	Buey	1169	OX	5.00	4.00	2.04	7.96	3.93	animal
Ferre-2012-380-15	15	Búfalo	934	BUFFALO	4.21	5.39	2.76	8.28	3.93	animal
Ferre-2012-380-16	16	Buitre	1185	VULTURE	3.18	5.42	3.48	6.92	3.57	animal
Ferre-2012-380-17	17	Burro	1862	DONKEY	5.26	3.92	5.36	7.52	13.93	animal
Ferre-2012-380-18	18	Caimán	2438	CAIMAN	4.39	5.66	2.16	8.04	0.89	animal
Ferre-2012-380-19	19	Camaleón	1555	CHAMELEON	5.58	5.11	2.80	7.56	0.89	animal
Ferre-2012-380-20	20	Camello	1871	CAMEL	5.82	4.87	4.28	7.56	2.32	animal
Ferre-2012-380-21	21	Canario	4129	CANARY	6.05	4.34	3.96	6.44	5.54	animal
Ferre-2012-380-22	22	Cangrejo	2348	CRAB	5.16	3.97	5.24	8.00	1.43	animal
Ferre-2012-380-23	23	Canguro	164	KANGAROO	6.13	4.95	4.44	7.68	0.36	animal
Ferre-2012-380-24	24	Caracol	1543	SNAIL	5.05	3.21	5.00	7.88	5.36	animal
Ferre-2012-380-25	25	Cebra	3675	ZEBRA	5.71	5.03	4.16	7.52	0.89	animal
Ferre-2012-380-26	26	Chacal	3313	JACKAL	4.50	5.56	2.00	6.88	1.07	animal
Ferre-2012-380-27	27	Chimpancé	3734	CHIMPANZEE	6.24	5.89	4.28	7.88	4.82	animal
Ferre-2012-380-28	28	Chinche	1949	BEDBUG	2.51	5.91	2.56	6.88	0.36	animal
Ferre-2012-380-29	29	Ciervo	1936	DEER	6.53	4.87	3.24	7.32	1.79	animal
Ferre-2012-380-30	30	Cigüeña	3724	STORK	5.87	4.63	3.28	8.12	1.79	animal
Ferre-2012-380-31	31	Cisne	2837	SWAN	7.32	4.39	4.08	8.08	3.21	animal
Ferre-2012-380-32	32	Cochinilla			4.05	4.05	2.84	6.16	0.00	animal
Ferre-2012-380-33	33	Cocodrilo	1857	CROCODILE	4.63	6.61	4.52	7.88	3.21	animal
Ferre-2012-380-34	34	Colibrí	1589	HUMMINGBIRD	5.97	4.18	1.88	7.88	0.18	animal
Ferre-2012-380-35	35	Comadreja	3384	WEASEL	4.29	4.87	2.20	7.68	0.71	animal
Ferre-2012-380-36	36	Cotorra	882	PARROT	4.05	4.97	4.24	5.48	0.36	animal
Ferre-2012-380-37	37	Cuervo	2543	RAVEN	3.66	4.45	3.24	8.20	2.14	animal
Ferre-2012-380-38	38	Culebra	730	SNAKE	1.82	7.58	3.88	7.32	2.32	animal
Ferre-2012-380-39	39	Delfín	1479	DOLPHIN	7.74	5.21	3.80	8.44	4.46	animal
Ferre-2012-380-40	40	Dromedario	1871	CAMEL	5.32	3.55	2.88	7.76	0.18	animal
Ferre-2012-380-41	41	Elefante	1290	ELEPHANT	5.97	5.08	3.88	8.32	7.32	animal
Ferre-2012-380-42	42	Erizo	1797	HEDGEHOG	5.13	5.42	2.24	8.00	0.71	animal
Ferre-2012-380-43	43	Escarabajo	2242	BEETLE	3.37	4.55	3.36	7.52	1.43	animal
Ferre-2012-380-44	44	Faisán	3060	PHEASANT	5.19	4.32	2.56	7.84	0.71	animal
Ferre-2012-380-45	45	Foca	651	SEAL	5.95	5.00	2.88	7.00	2.86	animal
Ferre-2012-380-46	46	Gacela	5	GAZELLE	5.57	4.68	2.72	8.16	1.25	animal
Ferre-2012-380-47	47	Gallina	1514	HEN	4.58	4.61	4.64	6.92	13.04	animal
Ferre-2012-380-48	48	Ganso	1187	GOOSE	4.87	4.32	2.72	6.84	0.36	animal
Ferre-2012-380-49	49	Garrapata	1527	TICK	1.95	5.95	2.88	7.56	0.18	animal
Ferre-2012-380-50	50	Garza	758	HERON	4.86	4.46	2.56	7.40	1.25	animal
Ferre-2012-380-51	51	Gaviota	950	SEAGULL	5.00	5.03	4.36	7.92	2.50	animal
Ferre-2012-380-52	52	Golondrina	3077	SWALLOW (BIRD)	6.32	4.34	3.12	7.16	2.32	animal
Ferre-2012-380-53	53	Gorila	3144	GORILLA	5.47	5.89	3.84	8.04	5.00	animal
Ferre-2012-380-54	54	Gorrión	1854	SPARROW	5.71	4.37	3.32	7.56	0.89	animal
Ferre-2012-380-55	55	Grillo	2354	CRICKET	4.82	4.68	3.44	8.20	1.43	animal
Ferre-2012-380-56	56	Hámster	3147	HAMSTER	5.58	4.34	4.08	8.36	0.00	animal
Ferre-2012-380-57	57	Hiena	1799	HYENA	3.29	5.87	2.92	7.44	1.25	animal
Ferre-2012-380-58	58	Hipopótamo	3145	HIPPOPOTAMUS	5.50	5.05	2.16	8.24	0.54	animal
Ferre-2012-380-59	59	Hormiga	587	ANT	4.45	3.50	5.24	8.24	2.68	animal
Ferre-2012-380-60	60	Iguana	1578	IGUANA	4.16	5.18	4.08	8.28	0.54	animal
Ferre-2012-380-61	61	Jabalí	3154	WILD BOAR	4.00	5.82	3.52	8.36	3.04	animal
Ferre-2012-380-62	62	Jirafa	3089	GIRAFFE	6.21	4.66	3.56	8.52	1.07	animal
Ferre-2012-380-63	63	Koala	4172	KOALA	7.05	4.26	3.16	8.28	0.00	animal
Ferre-2012-380-64	64	Lagartija	632	LIZARD	4.61	4.84	4.44	8.28	0.54	animal
Ferre-2012-380-65	65	Lagarto	632	LIZARD	4.03	5.61	4.96	5.68	2.68	animal
Ferre-2012-380-66	66	Lechuza	735	OWL	5.24	4.29	2.40	8.04	0.89	animal
Ferre-2012-380-67	67	Leopardo	1139	LEOPARD	6.08	6.29	3.48	7.96	0.54	animal
Ferre-2012-380-68	68	Libélula	2352	DRAGONFLY	5.16	5.16	2.88	8.28	1.07	animal
Ferre-2012-380-69	69	Liebre	1190	HARE	5.61	4.68	4.16	7.40	5.00	animal
Ferre-2012-380-70	70	Lince	3314	LYNX	6.89	6.66	3.60	6.76	1.25	animal
Ferre-2012-380-71	71	Lobo	522	WOLF	4.82	6.82	4.40	7.68	15.18	animal
Ferre-2012-380-72	72	Lombriz	2350	EARTHWORM	3.00	4.68	2.36	7.72	0.71	animal
Ferre-2012-380-73	73	Loro	882	PARROT	6.47	5.16	4.67	7.52	5.54	animal
Ferre-2012-380-74	74	Luciérnaga	206	FIREFLY	5.59	5.05	3.00	8.24	0.54	animal
Ferre-2012-380-75	75	Mapache	828	RACCOON	5.53	4.95	2.80	7.40	0.36	animal
Ferre-2012-380-76	76	Medusa	4017	JELLYFISH	2.79	6.71	4.32	8.40	1.25	animal
Ferre-2012-380-77	77	Mejillón	2829	MUSSELS	5.34	3.58	4.36	7.76	3.21	animal
Ferre-2012-380-78	78	Mofeta	3888	SKUNK	3.68	5.55	3.04	7.54	0.36	animal
Ferre-2012-380-79	79	Mono	1350	MONKEY	6.34	5.68	4.24	6.28	18.21	animal
Ferre-2012-380-80	80	Morsa	4007	WALRUS	4.82	4.37	2.32	8.04	0.54	animal
Ferre-2012-380-81	81	Mosca	1504	FLY (INSECT)	2.92	5.29	7.72	7.40	10.71	animal
Ferre-2012-380-82	82	Murciélago	1793	BAT	3.58	5.42	4.32	8.04	3.04	animal
Ferre-2012-380-83	83	Nutria	15	OTTER	5.92	4.47	2.48	7.76	0.54	animal
Ferre-2012-380-84	84	Oca	1187	GOOSE	5.39	4.18	3.76	7.44	1.61	animal
Ferre-2012-380-85	85	Orangután			5.50	5.97	3.16	8.00	1.07	animal
Ferre-2012-380-86	86	Oso	1820	BEAR	5.61	5.24	4.72	7.64	11.43	animal
Ferre-2012-380-87	87	Ostra	2830	OYSTERS	3.87	3.74	3.08	7.48	1.43	animal
Ferre-2012-380-88	88	Oveja	1331	SHEEP	5.66	4.03	3.68	7.84	6.61	animal
Ferre-2012-380-89	89	Pantera			5.74	6.58	3.24	8.24	6.07	animal
Ferre-2012-380-90	90	Papagayo	882	PARROT	5.58	4.03	3.04	8.00	0.89	animal
Ferre-2012-380-91	91	Pato	1360	DUCK	6.24	3.76	4.76	7.80	4.82	animal
Ferre-2012-380-92	92	Pavo	2386	TURKEY	5.42	3.97	6.08	6.72	6.07	animal
Ferre-2012-380-93	93	Pelícano	472	PELICAN	5.66	4.82	2.56	7.32	0.36	animal
Ferre-2012-380-94	94	Perdiz	3681	PARTRIDGE	5.32	3.95	4.68	8.00	1.07	animal
Ferre-2012-380-95	95	Periquito	886	PARAKEET	5.92	4.32	4.76	6.88	0.00	animal
Ferre-2012-380-96	96	Pingüino	2831	PENGUIN	7.00	4.95	4.00	7.04	1.96	animal
Ferre-2012-380-97	97	Polilla	2828	MOTH	2.50	5.16	3.08	7.64	1.07	animal
Ferre-2012-380-98	98	Pulga	232	FLEA	2.29	5.63	3.76	7.24	1.79	animal
Ferre-2012-380-99	99	Pulpo	2581	OCTOPUS	4.84	4.32	5.68	7.72	1.61	animal
Ferre-2012-380-100	100	Ratón	1491	MOUSE	2.97	5.97	6.08	7.52	7.50	animal
Ferre-2012-380-101	101	Reno	1876	REINDEER	5.87	5.55	2.04	7.68	1.07	animal
Ferre-2012-380-102	102	Rinoceronte	2591	RHINOCEROS	5.32	6.13	3.96	8.52	0.71	animal
Ferre-2012-380-103	103	Ruiseñor	3723	NIGHTINGALE	6.53	4.58	2.24	7.24	0.89	animal
Ferre-2012-380-104	104	Salamandra			4.63	4.18	3.08	7.84	0.18	animal
Ferre-2012-380-105	105	Saltamontes	607	GRASSHOPPER	3.53	6.16	3.68	8.28	1.25	animal
Ferre-2012-380-106	106	Sanguijuela	2273	LEECH	1.76	6.03	2.08	7.40	0.36	animal
Ferre-2012-380-107	107	Sapo	894	TOAD	3.55	5.34	3.44	8.16	2.86	animal
Ferre-2012-380-108	108	Sepia	2814	CUTTLEFISH	5.39	4.11	6.04	7.12	1.96	animal
Ferre-2012-380-109	109	Tábano	3262	HORSEFLY	2.11	6.44	1.83	7.54	0.18	animal
Ferre-2012-380-110	110	Tarántula	3886	TARANTULA	2.11	7.55	2.60	8.40	0.36	animal
Ferre-2012-380-111	111	Tigre	846	TIGER	5.97	7.24	3.76	7.60	4.29	animal
Ferre-2012-380-112	112	Topo	1907	MOLE	4.84	4.71	2.96	7.28	2.14	animal
Ferre-2012-380-113	113	Toro	1008	BULL	3.42	7.00	4.76	7.84	13.21	animal
Ferre-2012-380-114	114	Tortuga	112	TURTLE	6.11	3.97	5.72	7.28	3.93	animal
Ferre-2012-380-115	115	Trucha	795	TROUT	4.79	4.08	2.92	7.24	1.43	animal
Ferre-2012-380-116	116	Tucán	308	TOUCAN	6.21	5.16	2.76	8.40	0.00	animal
Ferre-2012-380-117	117	Urraca	2039	MAGPIE	3.84	4.50	3.12	7.68	3.04	animal
Ferre-2012-380-118	118	Víbora	2654	VIPER	2.71	7.08	2.96	6.20	1.96	animal
Ferre-2012-380-119	119	Zorro	1312	FOX	5.63	5.92	3.21	7.79	4.82	animal
Ferre-2012-380-120	120	Abogado			4.66	5.03	5.72	7.20	39.82	people
Ferre-2012-380-121	121	Abuelo	1383	GRANDFATHER	8.08	5.42	7.46	7.64	83.21	people
Ferre-2012-380-122	122	Actriz			6.32	5.42	6.88	6.32	17.86	people
Ferre-2012-380-123	123	Albañil			4.42	4.03	4.96	7.84	3.93	people
Ferre-2012-380-124	124	Amante			6.74	7.37	6.20	6.40	33.39	people
Ferre-2012-380-125	125	Anciano	406	OLD MAN	5.89	4.84	6.16	7.20	20.89	people
Ferre-2012-380-126	126	Arqueólogo			6.08	4.53	4.72	7.24	1.96	people
Ferre-2012-380-127	127	Arquitecto			5.89	4.29	4.40	6.72	8.93	people
Ferre-2012-380-128	128	Artista			7.16	5.71	6.84	5.12	34.82	people
Ferre-2012-380-129	129	Atleta			6.13	5.79	5.92	6.44	8.57	people
Ferre-2012-380-130	130	Banquero			4.03	4.37	5.04	7.36	7.14	people
Ferre-2012-380-131	131	Barrendero			4.68	4.13	5.12	7.12	0.00	people
Ferre-2012-380-132	132	Basurero			3.00	3.66	4.72	6.75	1.25	people
Ferre-2012-380-133	133	Beato			4.29	3.24	3.52	6.16	1.07	people
Ferre-2012-380-134	134	Bombero			6.42	6.21	5.88	8.20	1.79	people
