ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PORTUGUESE	POSITIVE_THINK_MONOLINGUALS_MEAN	POSITIVE_FEEL_MONOLINGUALS_MEAN	POSITIVE_THINK_BILINGUALS_MEAN	POSITIVE_FEEL_BILINGUALS_MEAN	NEGATIVE_THINK_MONOLINGUALS_MEAN	NEGATIVE_FEEL_MONOLINGUALS_MEAN	NEGATIVE_THINK_BILINGUALS_MEAN	NEGATIVE_FEEL_BILINGUALS_MEAN	EMOTION_TYPE	EMOTION_POLARITY	EMOTION_CONDITION	ORTHOGRAPHIC_SIMILARITY
Ferre-2022-160-1	1	174	PROUD	proud	orgulhoso	8.47	6.82	7.6	6.57	1.29	1.51	1.86	0.4	1	1	1	0.22
Ferre-2022-160-2	2			peaceful	pacífico	8.97	8.53	8.67	7.11	0.68	0.51	0.29	0.14	1	1	1	0.38
Ferre-2022-160-3	3	1900	ASTONISHED	astonished	atónito	5.45	4.22	4.74	2.33	2.87	1.84	2.21	1.46	1	1	1	0.4
Ferre-2022-160-4	4			euphoric	eufórico	8.21	7.12	6.71	3.91	1.39	0.94	2.07	1.54	1	1	1	0.5
Ferre-2022-160-5	5			grateful	grato	8.73	7.64	8.88	6.4	0.76	0.62	0.33	0.09	1	1	1	0.5
Ferre-2022-160-6	6			fun	diversão	9.08	7.8	8.71	6.77	0.58	0.8	0.4	0.26	1	1	1	0
Ferre-2022-160-7	7	3834	LOVE (AFFECTION)	love	amor	9.15	8.4	9.43	7.49	2.02	1.71	0.74	1.14	1	1	1	0
Ferre-2022-160-8	8	2941	HAPPINESS	happiness	alegria	9.53	8.31	9.07	7.29	0.61	0.62	0.12	0.26	1	1	1	0.11
Ferre-2022-160-9	9	1092	HOPE	hope	esperança	9.1	7.96	8.9	6.69	0.97	0.75	0.5	0.43	1	1	1	0.22
Ferre-2022-160-10	10			admiration	admiração	8.44	7.15	7.81	5.57	0.85	0.98	0.93	0.4	1	1	1	0.7
Ferre-2022-160-11	11	3916	PLEASURE	pleasure	prazer	8.56	6.98	8.6	6.23	0.9	1.58	0.76	0.26	1	1	1	0.38
Ferre-2022-160-12	12			tenderness	ternura	6.66	5.29	7.64	4.16	2.1	1.55	0.97	0.39	1	1	1	0.4
Ferre-2022-160-13	13			passion	paixão	8.39	7.53	8	5.8	1.53	1	1.1	0.69	1	1	1	0.43
