ID	NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	EOL	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gerardi-2021-447-1	1	ABOVE	EM CIMA (DE)	SPATIAL_RELATIONS		1741	ABOVE
Gerardi-2021-447-2	2	ACAI PALM	AÇAÍ	AGRICULTURE_AND_VEGETATION	1100375	2437	ACAI PALM
Gerardi-2021-447-3	3	ACHIOTE	URUCU	AGRICULTURE_AND_VEGETATION	584439	349	ACHIOTE
Gerardi-2021-447-4	4	AFTER	DEPOIS (DE)	SPATIAL_RELATIONS		1685	AFTER
Gerardi-2021-447-5	5	AGOUTI	CUTIA	ANIMALS	42029	313	AGOUTI
Gerardi-2021-447-6	6	ALL	TODOS / TUDO	QUANTITY		98	ALL
Gerardi-2021-447-7	7	ALONE	SÓ / SOZINHO	QUANTITY		1964	ALONE
Gerardi-2021-447-8	8	ANACONDA (WATER BOA)	SUCURI	ANIMALS	794661	896	ANACONDA (WATER BOA)
Gerardi-2021-447-9	9	ANT	FORMIGA	ANIMALS		587	ANT
Gerardi-2021-447-10	10	ANTEATER	TAMANDUÁ	ANIMALS	1661	181	ANTEATER
Gerardi-2021-447-11	11	ANUS	ÂNUS	BODY		1935	ANUS
Gerardi-2021-447-12	12	ARM	BRAÇO	BODY		1673	ARM
Gerardi-2021-447-13	13	ARMADILLO	TATU	ANIMALS		1885	ARMADILLO
Gerardi-2021-447-14	14	ARRIVE	CHEGAR	MOTION		1387	ARRIVE
Gerardi-2021-447-15	15	ARROW	FLECHA	WARFARE_AND_HUNTING		977	ARROW
Gerardi-2021-447-16	16	ASH	CINZA (S)	PHYSICAL_WORLD		646	ASH
Gerardi-2021-447-17	17	AXE	MACHADO	WARFARE_AND_HUNTING		677	AXE
Gerardi-2021-447-18	18	BABAÇU (Attalea speciosa)	BABAÇU	AGRICULTURE_AND_VEGETATION	1131651	3925	BABASSU PALM
Gerardi-2021-447-19	19	BABY CARRIER	TIPÓIA	CLOTHING_AND_GROOMING			
Gerardi-2021-447-20	20	BACK	COSTAS	BODY		1291	BACK
Gerardi-2021-447-21	21	BAD OR EVIL	MAU / MAL / RUIM	EMOTIONS_AND_VALUES		3764	BAD OR EVIL
Gerardi-2021-447-22	22	BAMBOO	TAQUARA / BAMBU	AGRICULTURE_AND_VEGETATION		1927	BAMBOO
Gerardi-2021-447-23	23	BANANA	BANANA	FOOD_AND_DRINK	44527	868	BANANA
Gerardi-2021-447-24	24	BARK OR SHELL	CASCA / PELE	AGRICULTURE_AND_VEGETATION		3865	BARK OR SHELL
Gerardi-2021-447-25	25	BASKET	CESTO / CESTA	BASIC_ACTIONS_AND_TECHNOLOGY		1539	BASKET
Gerardi-2021-447-26	26	BAT	MORCEGO	ANIMALS	7631	1793	BAT
Gerardi-2021-447-27	27	BATHE	BANHAR-SE	BODY		138	BATHE
Gerardi-2021-447-28	28	BE HUNGRY	TER FOME	BODY		1533	BE HUNGRY
Gerardi-2021-447-29	29	BEAD	MIÇANGAS / CONTAS	CLOTHING_AND_GROOMING		1860	BEAD
Gerardi-2021-447-30	30	BEAN	FEIJÃO	FOOD_AND_DRINK	4277	832	BEAN
Gerardi-2021-447-31	31	BEARD	BARBA	BODY		678	BEARD
Gerardi-2021-447-32	32	BEAUTIFUL	BONITO	EMOTIONS_AND_VALUES		1427	BEAUTIFUL
Gerardi-2021-447-33	33	BEE	ABELHA	ANIMALS		665	BEE
Gerardi-2021-447-34	34	BELLY	UMBIGO	BODY		1251	BELLY
Gerardi-2021-447-35	35	BELLYBUTTON	UMBIGO	BODY		3715	BELLYBUTTON
Gerardi-2021-447-36	36	BELOW OR UNDER	EM BAIXO DE / ABAIXO	SPATIAL_RELATIONS		1485	BELOW OR UNDER
Gerardi-2021-447-37	37	BENCH	BANCO	BASIC_ACTIONS_AND_TECHNOLOGY		2584	BENCH
Gerardi-2021-447-38	38	BIG	GRANDE	SPATIAL_RELATIONS		1202	BIG
Gerardi-2021-447-39	39	BIRD	PÁSSARO	ANIMALS		937	BIRD
Gerardi-2021-447-40	40	BITE	MORDER	BODY		1403	BITE
Gerardi-2021-447-41	41	BLACK	PRETO	SENSE_PERCEPTION		163	BLACK
Gerardi-2021-447-42	42	BLOOD	SANGUE	BODY		946	BLOOD
Gerardi-2021-447-43	43	BLOW (WITH MOUTH)	SOPRAR	MOTION		176	BLOW (WITH MOUTH)
Gerardi-2021-447-44	44	BLUE	AZUL	SENSE_PERCEPTION		837	BLUE
Gerardi-2021-447-45	45	BLUE-AND-YELLOW MACAW (Ara ararauna)	Arara-canindé	ANIMALS	45510823		
Gerardi-2021-447-46	46	BODY	CORPO	BODY		1480	BODY
Gerardi-2021-447-47	47	BONE	OSSO	BODY		1394	BONE
Gerardi-2021-447-48	48	BOW	ARCO	WARFARE_AND_HUNTING		994	BOW
