ID	NUMBER	CATEGORY	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Goddard-2001-42-1	1	Substantives	I	1209	I
Goddard-2001-42-2	2	Substantives	you	1215	THOU
Goddard-2001-42-3	3	Substantives	someone	2422	SOMEONE
Goddard-2001-42-4	4	Substantives	people	789	PEOPLE
Goddard-2001-42-5	5	Substantives	something/thing	738	THING
Goddard-2001-42-6	6	Determiners and quantifiers	this	1214	THIS
Goddard-2001-42-7	7	Determiners and quantifiers	the same	200	SAME
Goddard-2001-42-8	8	Determiners and quantifiers	one	1493	ONE
Goddard-2001-42-9	9	Determiners and quantifiers	two	1498	TWO
Goddard-2001-42-10	10	Determiners and quantifiers	all	98	ALL
Goddard-2001-42-11	11	Determiners and quantifiers	much/many	1198	MANY
Goddard-2001-42-12	12	Attributes	good	1035	GOOD
Goddard-2001-42-13	13	Attributes	bad	1292	BAD
Goddard-2001-42-14	14	Attributes	big	1202	BIG
Goddard-2001-42-15	15	Attributes	small	1246	SMALL
Goddard-2001-42-16	16	Mental and speech predicates	think	2271	THINK
Goddard-2001-42-17	16	Mental and speech predicates	think	2271	THINK
Goddard-2001-42-18	17	Mental and speech predicates	know	1410	KNOW (SOMETHING)
Goddard-2001-42-19	18	Mental and speech predicates	want	1784	WANT
Goddard-2001-42-20	19	Mental and speech predicates	see	1409	SEE
Goddard-2001-42-21	20	Mental and speech predicates	hear	1408	HEAR
Goddard-2001-42-22	21	Mental and speech predicates	say	1458	SAY
Goddard-2001-42-23	22	Actions, events, states, existence	do	813	DO
Goddard-2001-42-24	23	Actions, events, states, existence	happen	248	HAPPEN
Goddard-2001-42-25	24	Actions, events, states, existence	live	1422	BE ALIVE
Goddard-2001-42-26	25	Actions, events, states, existence	die	1494	DIE
Goddard-2001-42-27	26	Actions, events, states, existence	there is	2152	THERE IS OR THERE ARE
Goddard-2001-42-28	27	Time	when/time	1238	WHEN
Goddard-2001-42-29	28	Time	now	1376	NOW
Goddard-2001-42-30	29	Time	before	1882	BEFORE
Goddard-2001-42-31	30	Time	after	1685	AFTER
Goddard-2001-42-32	31	Time	a long time	418	FOR A LONG TIME
Goddard-2001-42-33	32	Space	where/place	1237	WHERE
Goddard-2001-42-34	33	Space	here	136	HERE
Goddard-2001-42-35	34	Space	above	1741	ABOVE
Goddard-2001-42-36	35	Space	below	1485	BELOW OR UNDER
Goddard-2001-42-37	36	Space	inside	1606	INSIDE
Goddard-2001-42-38	37	&quot;Logical&quot; concepts	not	1240	NOT
Goddard-2001-42-39	39	&quot;Logical&quot; concepts	because	1157	BECAUSE
Goddard-2001-42-40	40	&quot;Logical&quot; concepts	if	1459	IF
Goddard-2001-42-41	41	Other	like	1117	LIKE
Goddard-2001-42-42	42	Other	very	1311	VERY
