ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CATEGORY
Goddard-2002-59-1	1	I	1209	I	Substantives
Goddard-2002-59-2	2	YOU	1213	YOU	Substantives
Goddard-2002-59-3	3	SOMEONE	2422	SOMEONE	Substantives
Goddard-2002-59-4	4	PEOPLE	789	PEOPLE	Substantives
Goddard-2002-59-5	5	SOMETHING/THING	738	THING	Substantives
Goddard-2002-59-6	6	BODY	1480	BODY	Substantives
Goddard-2002-59-7	7	THIS	1214	THIS	Determiners
Goddard-2002-59-8	8	THE SAME	200	SAME	Determiners
Goddard-2002-59-9	9	OTHER	197	OTHER	Determiners
Goddard-2002-59-10	10	ONE	1493	ONE	Quantifiers
Goddard-2002-59-11	11	TWO	1498	TWO	Quantifiers
Goddard-2002-59-12	12	SOME	1241	SOME	Quantifiers
Goddard-2002-59-13	13	ALL	98	ALL	Quantifiers
Goddard-2002-59-14	14	MUCH/MANY	1198	MANY	Quantifiers
Goddard-2002-59-15	15	GOOD	1035	GOOD	Evaluators
Goddard-2002-59-16	16	BAD	1292	BAD	Evaluators
Goddard-2002-59-17	17	BIG	1202	BIG	Descriptors
Goddard-2002-59-18	18	SMALL	1246	SMALL	Descriptors
Goddard-2002-59-19	19	THINK	2271	THINK	Mental predicates
Goddard-2002-59-20	20	KNOW	3626	KNOW	Mental predicates
Goddard-2002-59-21	21	WANT	1784	WANT	Mental predicates
Goddard-2002-59-22	22	FEEL	1079	FEEL	Mental predicates
Goddard-2002-59-23	23	SEE	1409	SEE	Mental predicates
Goddard-2002-59-24	24	HEAR	1408	HEAR	Mental predicates
Goddard-2002-59-25	25	SAY	1458	SAY	Speech
Goddard-2002-59-26	26	WORDS	1599	WORD	Speech
Goddard-2002-59-27	27	TRUE	1657	TRUE	Speech
Goddard-2002-59-28	28	DO	813	DO	Actions, events and movement
Goddard-2002-59-29	29	HAPPEN	248	HAPPEN	Actions, events and movement
Goddard-2002-59-30	30	MOVE	765	MOVE	Actions, events and movement
Goddard-2002-59-31	31	THERE IS	2152	THERE IS OR THERE ARE	Existence and possession
Goddard-2002-59-32	32	HAVE	773	HAVE	Existence and possession
Goddard-2002-59-33	33	LIVE	1422	BE ALIVE	Life and death
Goddard-2002-59-34	34	DIE	1494	DIE	Life and death
Goddard-2002-59-35	35	WHEN/TIME	1238	WHEN	Time
Goddard-2002-59-36	36	NOW	1376	NOW	Time
Goddard-2002-59-37	37	BEFORE	1882	BEFORE	Time
Goddard-2002-59-38	38	AFTER	1685	AFTER	Time
Goddard-2002-59-39	39	A LONG TIME	418	FOR A LONG TIME	Time
Goddard-2002-59-40	40	A SHORT TIME	3312	SHORT (TIME)	Time
Goddard-2002-59-41	41	FOR SOME TIME			Time
Goddard-2002-59-42	42	WHERE/PLACE	1237	WHERE	Space
Goddard-2002-59-43	43	HERE	136	HERE	Space
Goddard-2002-59-44	44	ABOVE	1741	ABOVE	Space
Goddard-2002-59-45	45	BELOW	1485	BELOW OR UNDER	Space
Goddard-2002-59-46	46	FAR	1406	FAR	Space
Goddard-2002-59-47	47	NEAR	1942	NEAR	Space
Goddard-2002-59-48	48	SIDE	682	SIDE	Space
Goddard-2002-59-49	49	INSIDE	1606	INSIDE	Space
Goddard-2002-59-50	50	NOT	1240	NOT	Logical concepts
Goddard-2002-59-51	51	MAYBE			Logical concepts
Goddard-2002-59-52	52	CAN	1051	CAN	Logical concepts
Goddard-2002-59-53	53	BECAUSE	1157	BECAUSE	Logical concepts
Goddard-2002-59-54	54	IF	1459	IF	Logical concepts
Goddard-2002-59-55	55	VERY	1311	VERY	Intensifier, augmentor
Goddard-2002-59-56	56	MORE	1992	MORE	Intensifier, augmentor
Goddard-2002-59-57	57	KIND OF			Taxonomy, partonomy
Goddard-2002-59-58	58	PART OF			Taxonomy, partonomy
Goddard-2002-59-59	59	LIKE	1558	SIMILAR	Similarity
