ID	NUMBER	ENGLISH	ENGLISH_GLOSS	FRENCH_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gravina-2014-1611-1	1	(be) able	(be) able	(être) capable		
Gravina-2014-1611-2	2	(be) abundant	(be) abundant	(être) abondant		
Gravina-2014-1611-3	3	(be) afraid	(be) afraid	(avoir) peur // craindre	1419	FEAR (BE AFRAID)
Gravina-2014-1611-4	4	(be) alone	(be) alone	(être) seul, solitaire	1964	ALONE
Gravina-2014-1611-5	5	(be) angry	(be) angry	(être) furieux // (être) fâché // (être) fâché, en colère	1826	ANGRY
Gravina-2014-1611-6	6	(be) ashamed	(be) ashamed	(avoir) honte	1894	ASHAMED
Gravina-2014-1611-7	7	(be) bad	(be) bad	(être) mauvais	1292	BAD
Gravina-2014-1611-8	8	(be) bald	(be) bald	(être) chauve	1125	BALD
Gravina-2014-1611-9	9	(be) beautiful	(be) beautiful	(être) beau	1427	BEAUTIFUL
Gravina-2014-1611-10	10	(be) big	(be) big	(être) grand, gros	1202	BIG
Gravina-2014-1611-11	11	(be) bitter	(be) bitter	(être) amer	887	BITTER
Gravina-2014-1611-12	12	(be) black	(be) black	(être) noir	163	BLACK
Gravina-2014-1611-13	13	(be) blue	(be) blue	(être) bleu	837	BLUE
Gravina-2014-1611-14	14	(be) born	(be) born	naître	1090	BE BORN
Gravina-2014-1611-15	15	(be) bright	(be) bright	(être) brillant, vif	679	BRIGHT
Gravina-2014-1611-16	16	(be) clean	(be) clean	(être) propre	704	CLEAN
Gravina-2014-1611-17	17	(be) cold (objects)	(be) cold (objects)	(être) froid	1287	COLD
Gravina-2014-1611-18	18	(be) courageous, (be) brave	(be) courageous, (be) brave	(être) courageux	3	BRAVE
Gravina-2014-1611-19	19	(be) crooked	(be) crooked	(être) courbé, tordu	297	CROOKED
Gravina-2014-1611-20	20	(be) dark (colour)	(be) dark (colour)	(être) foncé, sombre	706	DARK
Gravina-2014-1611-21	21	(be) dead	(be) dead	(être) mort	1625	DEAD
Gravina-2014-1611-22	22	(be) deep	(be) deep	(être) profond	1593	DEEP
Gravina-2014-1611-23	23	(be) defeated	(be) defeated	(être) vaincu, battu, défait	3535	BE DEFEATED
Gravina-2014-1611-24	24	(be) different	(be) different	(être) différent	2504	DIFFERENT
Gravina-2014-1611-25	25	(be) difficult	(be) difficult	(être) difficile	584	DIFFICULT
Gravina-2014-1611-26	26	(be) dirty	(be) dirty	(être) sale	1230	DIRTY
Gravina-2014-1611-27	27	(be) dizzy	(be) dizzy	avoir le vertige	2712	GET DIZZY
Gravina-2014-1611-28	28	(be) drunk	(be) drunk	(être) soûl	1463	DRUNK
Gravina-2014-1611-29	29	(be) dry	(be) dry	(être) sec // sec // sécher	1398	DRY
Gravina-2014-1611-30	30	(be) empty	(be) empty	(être) vide	1624	EMPTY
Gravina-2014-1611-31	31	(be) equal	(be) equal	(être) égal	1570	EQUAL
Gravina-2014-1611-32	32	(be) expensive	(be) expensive	(être) cher, coûteux	1426	EXPENSIVE
Gravina-2014-1611-33	33	(be) fast	(be) fast	(être) rapide // (être) vite	1631	FAST
Gravina-2014-1611-34	34	(be) fat, (be) thick	(be) fat, (be) thick	(être) épais, gras		
Gravina-2014-1611-35	35	(be) first	(be) first	(être) premier	728	FIRST
Gravina-2014-1611-36	36	(be) flat	(be) flat	(être) plat	1633	FLAT
Gravina-2014-1611-37	37	(be) fresh	(be) fresh	(être) frais	243	FRESH
Gravina-2014-1611-38	38	(be) generous	(be) generous	(être) généreux	3632	GENEROUS
Gravina-2014-1611-39	39	(be) good	(be) good	(être) bien // (être) bon	1035	GOOD
Gravina-2014-1611-40	40	(be) great, (be) powerful	(be) great, (be) powerful	(être) grand, (être) puissant // (être) grand, puissant		
Gravina-2014-1611-41	41	(be) green	(be) green	(être) vert	1425	GREEN
Gravina-2014-1611-42	42	(be) happy, (be) joyful	(be) happy, (be) joyful	(être) content, joyeux	1495	HAPPY
Gravina-2014-1611-43	43	(be) hard	(be) hard	(être) dur	1884	HARD
Gravina-2014-1611-44	44	(be) healthy, (be) well	(be) healthy, (be) well	(être) bien portant	1364	HEALTHY
Gravina-2014-1611-45	45	(be) heavy	(be) heavy	(être) lourd	1210	HEAVY
Gravina-2014-1611-46	46	(be) high	(be) high	(être) haut	1265	HIGH
Gravina-2014-1611-47	47	(be) hollow	(be) hollow	(être) creux	3701	HOLLOW
Gravina-2014-1611-48	48	(be) honest	(be) honest	(être) honnête	1120	HONEST
Gravina-2014-1611-49	49	(be) hot (objects)	(be) hot (objects)	(être) chaud		
Gravina-2014-1611-50	50	(be) hot (of person)	(be) hot (of person)	(avoir) chaud		
Gravina-2014-1611-51	51	(be) hungry, hunger (v)	(be) hungry, hunger (v)	(avoir) faim		
Gravina-2014-1611-52	52	(be) impatient	(be) impatient	(être) impatient	3885	IMPATIENT
Gravina-2014-1611-53	53	(be) impotent	(be) impotent	(être) impuissant // impuissant, faible	1601	WEAK
Gravina-2014-1611-54	54	(be) inexpensive	(be) inexpensive	(être) bon marché	1887	CHEAP
Gravina-2014-1611-55	55	(be) jealous	(be) jealous	(être) jaloux	2821	JEALOUS
Gravina-2014-1611-56	56	(be) kind	(be) kind	(être) gentil // (être) gentil, bon	3299	KIND
Gravina-2014-1611-57	57	(be) last	(be) last	(être) dernier	1529	LAST (FINAL)
Gravina-2014-1611-58	58	(be) lazy	(be) lazy	(être) paresseux	1564	LAZY
Gravina-2014-1611-59	59	(be) light (not heavy)	(be) light (not heavy)	(être) léger	1052	LIGHT (WEIGHT)
Gravina-2014-1611-60	60	(be) long	(be) long	(être) long	1203	LONG
Gravina-2014-1611-61	61	(be) lost	(be) lost	(être) perdu // (être) perdu, égaré	3667	LOST
Gravina-2014-1611-62	62	(be) low	(be) low	(être) bas	721	LOW
Gravina-2014-1611-63	63	(be) mad	(be) mad	(être) fou	1899	MAD
Gravina-2014-1611-64	64	(be) mature	(be) mature	(être) mûr, mature // mûrir		
Gravina-2014-1611-65	65	(be) naked	(be) naked	(être) nu	590	NAKED
Gravina-2014-1611-66	66	(be) narrow	(be) narrow	(être) étroit	1267	NARROW
Gravina-2014-1611-67	67	(be) new	(be) new	(être) nouveau, neuf	1231	NEW
Gravina-2014-1611-68	68	(be) old (not new)	(be) old (not new)	(être) vieux, ancien	2113	OLD (USED)
Gravina-2014-1611-69	69	(be) old (not young)	(be) old (not young)	(être) vieux	2112	OLD (AGED)
Gravina-2014-1611-70	70	(be) open	(be) open	(être) ouvert	3235	OPEN (STATE)
Gravina-2014-1611-71	71	(be) patient	(be) patient	(être) patient // patienter	3884	PATIENT
Gravina-2014-1611-72	72	(be) perfect	(be) perfect	(être) parfait		
Gravina-2014-1611-73	73	(be) poor	(be) poor	(être) pauvre	1674	POOR
Gravina-2014-1611-74	74	(be) pregnant	(be) pregnant	(être) enceinte, en grossesse // (être) enceinte, en grossesse; (être) enceinte, en grossesse	1123	PREGNANT
Gravina-2014-1611-75	75	(be) proud	(be) proud	(être) fier	174	PROUD
Gravina-2014-1611-76	76	(be) red	(be) red	(être) rouge	156	RED
Gravina-2014-1611-77	77	(be) restless, (be) unsettled	(be) restless, (be) unsettled	(être) agité		
Gravina-2014-1611-78	78	(be) rich	(be) rich	(être) riche	712	RICH
Gravina-2014-1611-79	79	(be) rotten	(be) rotten	(être) pourri, gâté	1728	ROTTEN
Gravina-2014-1611-80	80	(be) rough	(be) rough	(être) rugueux // (être) rugueux, raboteux	1923	ROUGH
Gravina-2014-1611-81	81	(be) round	(be) round	(être) rond	1395	ROUND
Gravina-2014-1611-82	82	(be) sad	(be) sad	(être) triste	699	SAD
Gravina-2014-1611-83	83	(be) same	(be) same	(être) le même	200	SAME
Gravina-2014-1611-84	84	(be) sated	(be) sated	(être) rassasié	106	SATIATED
Gravina-2014-1611-85	85	(be) seated	(be) seated	(être) assis	1416	SIT
Gravina-2014-1611-86	86	(be) second	(be) second	(être) deuxième	1384	SECOND
Gravina-2014-1611-87	87	(be) shallow	(be) shallow	(être) peu profond	193	SHALLOW
Gravina-2014-1611-88	88	(be) sharp	(be) sharp	(être) pointu	1396	SHARP
Gravina-2014-1611-89	89	(be) short	(be) short	(être) court	1645	SHORT
Gravina-2014-1611-90	90	(be) shy	(be) shy	(être) timide	487	SHY
Gravina-2014-1611-91	91	(be) sick, (be) ill	(be) sick, (be) ill	(être) malade	1847	SICK
Gravina-2014-1611-92	92	(be) silent	(be) silent	se taire, (être) silencieux	48	BE SILENT
Gravina-2014-1611-93	93	(be) sleepy	(be) sleepy	(avoir) sommeil	3620	SLEEPY
Gravina-2014-1611-94	94	(be) slippery	(be) slippery	(être) glissant	3702	SLIPPERY
Gravina-2014-1611-95	95	(be) slow	(be) slow	(être) lent	701	SLOW
Gravina-2014-1611-96	96	(be) small	(be) small	(être) petit	1246	SMALL
Gravina-2014-1611-97	97	(be) smoked	(be) smoked	(être) fumé // (être) fumé**		
Gravina-2014-1611-98	98	(be) smooth	(be) smooth	(être) lisse	1234	SMOOTH
Gravina-2014-1611-99	99	(be) soft	(be) soft	(être) mou	1856	SOFT
Gravina-2014-1611-100	100	(be) sour	(be) sour	(être) acide, sur, aigre // (être) acide, sûr, aigre // (être) aigre	1906	SOUR
Gravina-2014-1611-101	101	(be) sticky	(be) sticky	(être) gluant, poisseux	3703	STICKY
Gravina-2014-1611-102	102	(be) straight	(be) straight	(être) droit	1404	STRAIGHT
Gravina-2014-1611-103	103	(be) strong	(be) strong	(être) fort	785	STRONG
Gravina-2014-1611-104	104	(be) stupid	(be) stupid	(être) stupide, bête // (être) stupide, bête,fou	1518	STUPID
Gravina-2014-1611-105	105	(be) surprised, (be) startled	(be) surprised, (be) startled	(être) surpris		
Gravina-2014-1611-106	106	(be) tasty, (be) sweet	(be) tasty, (be) sweet	(être) bon (au gout), sucré		
Gravina-2014-1611-107	107	(be) thin	(be) thin	(être) maigre, mince // (être) mince	1400	THIN (SLIM)
Gravina-2014-1611-108	108	(be) third	(be) third	(être) troisième	1859	THIRD
Gravina-2014-1611-109	109	(be) thirsty, thirst (v)	(be) thirsty, thirst (v)	(avoir) soif		
Gravina-2014-1611-110	110	(be) tight	(be) tight	(être) serré	3053	TIGHT
Gravina-2014-1611-111	111	(be) tired	(be) tired	(être) fatigué	1757	TIRED
Gravina-2014-1611-112	112	(be) together	(be) together	(être) ensemble	2482	TOGETHER
Gravina-2014-1611-113	113	(be) ugly	(be) ugly	(être) laid	1548	UGLY
Gravina-2014-1611-114	114	(be) unconscious	(be) unconscious	sans connaissance, évanoui		
Gravina-2014-1611-115	115	(be) unripe	(be) unripe	(être) non-mûr, vert	1958	UNRIPE
Gravina-2014-1611-116	116	(be) weak	(be) weak	(être) faible	1601	WEAK
Gravina-2014-1611-117	117	(be) wet	(be) wet	(être) mouillé	1726	WET
Gravina-2014-1611-118	118	(be) white	(be) white	(être) blanc	1335	WHITE
Gravina-2014-1611-119	119	(be) wicked	(be) wicked	(être) méchant	45	EVIL
Gravina-2014-1611-120	120	(be) wide	(be) wide	(être) large	1243	WIDE
Gravina-2014-1611-121	121	(be) wise	(be) wise	(être) sage // sagesse	698	WISE
Gravina-2014-1611-122	122	(be) wrong	(be) wrong	(avoir) tort // avoir tort	1390	WRONG
Gravina-2014-1611-123	123	(be) yellow	(be) yellow	(être) jaune	1424	YELLOW
Gravina-2014-1611-124	124	(be) young	(be) young	(être) jeune	1207	YOUNG
Gravina-2014-1611-125	125	Friday	Friday	vendredi	1692	FRIDAY
Gravina-2014-1611-126	126	God	God	Dieu	1944	GOD
Gravina-2014-1611-127	127	God (supreme being)	God (supreme being)	Dieu (être suprême)	3231	DEITY
Gravina-2014-1611-128	128	I	I	1s // je // je, moi // moi	1209	I
Gravina-2014-1611-129	129	Monday	Monday	lundi	1697	MONDAY
Gravina-2014-1611-130	130	Saturday	Saturday	samedi	1700	SATURDAY
