ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_FREQUENCY_PM	GERMAN_VALENCE_MEAN_FEMALE_YOUNG	GERMAN_VALENCE_MEAN_MALE_YOUNG	GERMAN_VALENCE_MEAN_FEMALE_OLD	GERMAN_VALENCE_MEAN_MALE_OLD	GERMAN_VALENCE_MEAN_YOUNG	GERMAN_VALENCE_MEAN_OLD	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_FEMALE_YOUNG	GERMAN_AROUSAL_MEAN_MALE_YOUNG	GERMAN_AROUSAL_MEAN_FEMALE_OLD	GERMAN_AROUSAL_MEAN_MALE_OLD	GERMAN_AROUSAL_MEAN_YOUNG	GERMAN_AROUSAL_MEAN_OLD	GERMAN_AROUSAL_MEAN	GERMAN_DOMINANCE_MEAN_FEMALE_YOUNG	GERMAN_DOMINANCE_MEAN_MALE_YOUNG	GERMAN_DOMINANCE_MEAN_FEMALE_OLD	GERMAN_DOMINANCE_MEAN_MALE_OLD	GERMAN_DOMINANCE_MEAN_YOUNG	GERMAN_DOMINANCE_MEAN_OLD	GERMAN_DOMINANCE_MEAN	GERMAN_IMAGEABILITY_MEAN_FEMALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_MALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_FEMALE_OLD	GERMAN_IMAGEABILITY_MEAN_MALE_OLD	GERMAN_IMAGEABILITY_MEAN_YOUNG	GERMAN_IMAGEABILITY_MEAN_OLD	GERMAN_IMAGEABILITY_MEAN	GERMAN_EGO_MEAN_FEMALE_YOUNG	GERMAN_EGO_MEAN_MALE_YOUNG	GERMAN_EGO_MEAN_FEMALE_OLD	GERMAN_EGO_MEAN_MALE_OLD	GERMAN_EGO_MEAN_YOUNG	GERMAN_EGO_MEAN_OLD	GERMAN_EGO_MEAN	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_MALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_MALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_OLD	GERMAN_AGE_RELEVANCE_MEAN	GERMAN_VALENCE_SELF_MEAN	GERMAN_VALENCE_OTHER_MEAN	GERMAN_RELEVANCE_SELF_OTHER_MEAN
Gruehn-2008-200-1	1	abhaengig	dependent			19.464	1.5	1.75	1.75	2.083	1.625	1.917	1.771	5.1	5.583	4.5	4.636	5.792	4.565	5.191	1.917	1.167	2.818	2.417	1.542	2.609	2.064	4.083	3.364	3.333	3.083	3.739	3.208	3.468	3.417	3.667	1.667	2.583	3.542	2.125	2.833	3.917	3.333	3.75	3.091	3.625	3.435	3.532	1.813	2.563	1.917
Gruehn-2008-200-2	2	abwesend	pre-occupied			1.767	2.917	3.083	3	2.917	3	2.958	2.979	2.833	2.5	3.083	2.25	2.667	2.667	2.667	1.917	1.917	3.083	2	1.917	2.542	2.229	3.833	3.25	5	3.583	3.542	4.292	3.917	2.583	2.917	1.833	2.25	2.75	2.042	2.396	3.5	3.667	3.583	4	3.583	3.792	3.688	2.813	2.125	1.458
Gruehn-2008-200-3	3	aggressiv	aggressive			8.319	1.083	1.583	1.167	1.833	1.333	1.5	1.417	6.667	6.5	6.833	6.636	6.583	6.739	6.66	3.333	3.75	4.167	2.917	3.542	3.542	3.542	5.545	6.417	5.917	6.083	6	6	6	2.25	3.083	2.5	3	2.667	2.739	2.702	2.667	2.167	2.333	1.75	2.417	2.042	2.229	1.875	1.625	1.125
Gruehn-2008-200-4	4	akkurat	precise			1.695	4.083	4.417	6.083	5.833	4.25	5.958	5.104	5.167	4.667	3.833	4.083	4.917	3.958	4.438	5.75	5.273	5.667	6.167	5.522	5.917	5.723	4.417	3.083	5.083	3.75	3.75	4.417	4.083	4.667	4.182	5.583	5.5	4.435	5.542	5	3.25	3.583	3.75	3.917	3.417	3.833	3.625	5.125	4.813	1.625
Gruehn-2008-200-5	5	aktiv	active	1861	ACTIVE	32.207	5.75	5.417	6.333	5.833	5.583	6.083	5.833	4.667	4.917	5.417	5.667	4.792	5.542	5.167	6.167	6.167	6.25	6.083	6.167	6.167	6.167	5.5	5.75	5.917	4.833	5.625	5.375	5.5	6.083	4.833	6.25	5.5	5.458	5.875	5.667	1.5	1.333	2.25	2	1.417	2.13	1.766	6.75	6.188	2
Gruehn-2008-200-6	6	albern	silly			2.666	4.333	4.75	3.333	2.583	4.542	2.958	3.75	2.167	2.583	3.417	3.333	2.375	3.375	2.875	4.083	3.583	4.083	2.833	3.833	3.458	3.646	5.75	5.75	5.25	5.167	5.75	5.208	5.479	4.75	5.583	2.25	2	5.167	2.125	3.646	2.25	1.583	1.417	2.167	1.917	1.792	1.854	5	5	1.25
Gruehn-2008-200-7	7	alt	old	1229	OLD	27.889	3.667	3.333	3.917	3.417	3.5	3.667	3.583	2.75	2.75	3.667	3.167	2.75	3.417	3.083	3.833	2.583	2.583	4	3.208	3.292	3.25	6.727	6.333	6.273	6.583	6.522	6.435	6.478	1.75	2	5.583	6	1.875	5.792	3.833	4.75	5	4.75	4.667	4.875	4.708	4.792	3.5	4	1.875
Gruehn-2008-200-8	8	amuesiert	amused			4.435	6.083	5.417	5.5	5.5	5.75	5.5	5.625	2.5	3	3.333	2.75	2.75	3.042	2.896	4.75	4.583	3.667	4.083	4.667	3.875	4.271	5.833	5.417	6	4.1	5.625	5.5	5.563	5.25	5.25	4.583	4.5	5.25	4.542	4.896	2.167	2.417	3	2.75	2.292	2.875	2.583	6.125	5.375	1.875
Gruehn-2008-200-9	9	analytisch	analytical			1.015	3.25	4.667	4.917	5.5	3.958	5.208	4.583	4.583	4.833	4.5	4.75	4.708	4.625	4.667	6.25	5.833	4.75	5.5	6.042	5.125	5.583	2.273	2.833	3.75	3.083	2.565	3.417	3	4.25	4.917	4.583	5.5	4.583	5.042	4.813	2.417	2.667	2.667	2.917	2.542	2.792	2.667	5.375	4.75	1.833
Gruehn-2008-200-10	10	angeekelt	disgusted			341	1.583	1.833	1.417	1.083	1.708	1.25	1.479	6.583	6	6.083	6.636	6.292	6.348	6.319	2.417	2.167	3.333	2.75	2.292	3.042	2.667	6.083	6.25	5.333	4.909	6.167	5.13	5.66	2.083	1.833	1.25	1.583	1.958	1.417	1.688	2.917	2.917	2.833	3.333	2.917	3.083	3	1.688	1.813	1.833
