ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gudschinsky-1956-200-1	1	all	98	ALL
Gudschinsky-1956-200-2	2	and	1577	AND
Gudschinsky-1956-200-3	3	animal	619	ANIMAL
Gudschinsky-1956-200-4	4	ashes	646	ASH
Gudschinsky-1956-200-5	5	at	1461	AT
Gudschinsky-1956-200-6	6	back	1291	BACK
Gudschinsky-1956-200-7	7	bad	1292	BAD
Gudschinsky-1956-200-8	8	bark	1204	BARK
Gudschinsky-1956-200-9	9	because	1157	BECAUSE
Gudschinsky-1956-200-10	10	belly	1251	BELLY
Gudschinsky-1956-200-11	11	big	1202	BIG
Gudschinsky-1956-200-12	12	bird	937	BIRD
Gudschinsky-1956-200-13	13	bite	1403	BITE
Gudschinsky-1956-200-14	14	black	163	BLACK
Gudschinsky-1956-200-15	15	blood	946	BLOOD
Gudschinsky-1956-200-16	16	blow	175	BLOW (OF WIND)
Gudschinsky-1956-200-17	17	bone	1394	BONE
Gudschinsky-1956-200-18	18	breathe	1407	BREATHE
Gudschinsky-1956-200-19	19	burn	141	BURN (SOMETHING)
Gudschinsky-1956-200-20	20	child	2099	CHILD
Gudschinsky-1956-200-21	21	cloud	1489	CLOUD
Gudschinsky-1956-200-22	22	cold	1287	COLD
Gudschinsky-1956-200-23	23	come	1446	COME
Gudschinsky-1956-200-24	24	count	1420	COUNT
Gudschinsky-1956-200-25	25	cut	1432	CUT
Gudschinsky-1956-200-26	26	day	1225	DAY (NOT NIGHT)
Gudschinsky-1956-200-27	27	die	1494	DIE
Gudschinsky-1956-200-28	28	dig	1418	DIG
Gudschinsky-1956-200-29	29	dirty	1230	DIRTY
Gudschinsky-1956-200-30	30	dog	2009	DOG
Gudschinsky-1956-200-31	31	drink	1401	DRINK
Gudschinsky-1956-200-32	32	dry	1398	DRY
Gudschinsky-1956-200-33	33	dull	379	BLUNT
Gudschinsky-1956-200-34	34	dust	2	DUST
Gudschinsky-1956-200-35	35	ear	1247	EAR
Gudschinsky-1956-200-36	36	earth	1228	EARTH (SOIL)
Gudschinsky-1956-200-37	37	eat	1336	EAT
Gudschinsky-1956-200-38	38	egg	744	EGG
Gudschinsky-1956-200-39	39	eye	1248	EYE
Gudschinsky-1956-200-40	40	fall	1280	FALL
Gudschinsky-1956-200-41	41	far	1406	FAR
Gudschinsky-1956-200-42	42	fat-grease	323	GREASE
Gudschinsky-1956-200-43	43	father	1217	FATHER
Gudschinsky-1956-200-44	44	fear	1419	FEAR (BE AFRAID)
Gudschinsky-1956-200-45	45	feather	1201	FEATHER
Gudschinsky-1956-200-46	46	few	1242	FEW
Gudschinsky-1956-200-47	47	fight	1423	FIGHT
