ID	CATEGORY	ENGLISH	PART_OF_SPEECH	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hale-1973-1798-1	Swadesh-100-1	I		1.001	1209	I
Hale-1973-1798-2	Swadesh-100-2	thou		1.002	1215	THOU
Hale-1973-1798-3	Swadesh-100-3	we (incl)		1.003	1131	WE (INCLUSIVE)
Hale-1973-1798-4	Swadesh-100-4	this		1.004	1214	THIS
Hale-1973-1798-5	Swadesh-100-5	that		1.005	78	THAT
Hale-1973-1798-6	Swadesh-100-6	who		1.006	1235	WHO
Hale-1973-1798-7	Swadesh-100-7	what		1.007	1236	WHAT
Hale-1973-1798-8	Swadesh-100-8	not		1.008	1240	NOT
Hale-1973-1798-9	Swadesh-100-9	all		1.009	98	ALL
Hale-1973-1798-10	Swadesh-100-10	many		1.010	1198	MANY
Hale-1973-1798-11	Swadesh-100-11	one		1.011	1493	ONE
Hale-1973-1798-12	Swadesh-100-12	two		1.012	1498	TWO
Hale-1973-1798-13	Swadesh-100-13	big		1.013	1202	BIG
Hale-1973-1798-14	Swadesh-100-14	long	adj	1.014	1203	LONG
Hale-1973-1798-15	Swadesh-100-15	small		1.015	1246	SMALL
Hale-1973-1798-16	Swadesh-100-16	woman		1.016	962	WOMAN
Hale-1973-1798-17	Swadesh-100-17	man		1.017	1554	MAN
Hale-1973-1798-18	Swadesh-100-18	person		1.018	683	PERSON
Hale-1973-1798-19	Swadesh-100-19	fish		1.019	227	FISH
Hale-1973-1798-20	Swadesh-100-20	bird		1.020	937	BIRD
Hale-1973-1798-21	Swadesh-100-21	dog		1.021	2009	DOG
Hale-1973-1798-22	Swadesh-100-22	louse		1.022	1392	LOUSE
Hale-1973-1798-23	Swadesh-100-23	tree		1.023	906	TREE
Hale-1973-1798-24	Swadesh-100-24	seed	n	1.024	714	SEED
Hale-1973-1798-25	Swadesh-100-25	leaf	n	1.025	628	LEAF
Hale-1973-1798-26	Swadesh-100-26	root	n	1.026	670	ROOT
Hale-1973-1798-27	Swadesh-100-27	bark (of tree)	n	1.027	1204	BARK
Hale-1973-1798-28	Swadesh-100-28	skin		1.028	763	SKIN
Hale-1973-1798-29	Swadesh-100-29	flesh		1.029	2615	FLESH OR MEAT
Hale-1973-1798-30	Swadesh-100-30	bone		1.030	1394	BONE
Hale-1973-1798-31	Swadesh-100-31	grease		1.032	323	FAT (ORGANIC SUBSTANCE)
Hale-1973-1798-32	Swadesh-100-32	egg		1.033	744	EGG
Hale-1973-1798-33	Swadesh-100-33	horn		1.034	1393	HORN (ANATOMY)
Hale-1973-1798-34	Swadesh-100-34	tail		1.035	1220	TAIL
Hale-1973-1798-35	Swadesh-100-35	feather		1.036	1201	FEATHER
Hale-1973-1798-36	Swadesh-100-36	hair		1.037	1040	HAIR
Hale-1973-1798-37	Swadesh-100-37	head		1.038	1256	HEAD
Hale-1973-1798-38	Swadesh-100-38	ear		1.039	1247	EAR
Hale-1973-1798-39	Swadesh-100-39	eye		1.040	1248	EYE
Hale-1973-1798-40	Swadesh-100-40	nose		1.041	1221	NOSE
Hale-1973-1798-41	Swadesh-100-41	mouth		1.042	674	MOUTH
Hale-1973-1798-42	Swadesh-100-42	tooth		1.043	1380	TOOTH
Hale-1973-1798-43	Swadesh-100-43	tongue		1.044	1205	TONGUE
Hale-1973-1798-44	Swadesh-100-44	fingernail		1.045	1258	FINGERNAIL
Hale-1973-1798-45	Swadesh-100-45	foot		1.046	2098	FOOT OR LEG
Hale-1973-1798-46	Swadesh-100-46	knee		1.047	1371	KNEE
Hale-1973-1798-47	Swadesh-100-47	hand		1.048	1277	HAND
Hale-1973-1798-48	Swadesh-100-48	belly		1.049	1251	BELLY
Hale-1973-1798-49	Swadesh-100-49	neck		1.050	1333	NECK
Hale-1973-1798-50	Swadesh-100-50	breasts		1.051	1402	BREAST
Hale-1973-1798-51	Swadesh-100-51	heart		1.052	1223	HEART
Hale-1973-1798-52	Swadesh-100-52	liver		1.053	1224	LIVER
Hale-1973-1798-53	Swadesh-100-53	drink	v	1.054	1401	DRINK
Hale-1973-1798-54	Swadesh-100-54	eat		1.055	1336	EAT
Hale-1973-1798-55	Swadesh-100-55	bite		1.056	1403	BITE
Hale-1973-1798-56	Swadesh-100-56	see		1.057	1409	SEE
Hale-1973-1798-57	Swadesh-100-57	hear		1.058	1408	HEAR
Hale-1973-1798-58	Swadesh-100-58	know		1.059	3626	KNOW
Hale-1973-1798-59	Swadesh-100-59	sleep	v	1.060	1585	SLEEP
Hale-1973-1798-60	Swadesh-100-60	die		1.061	1494	DIE
Hale-1973-1798-61	Swadesh-100-61	kill		1.062	1417	KILL
Hale-1973-1798-62	Swadesh-100-62	swim	v	1.063	1439	SWIM
Hale-1973-1798-63	Swadesh-100-63	fly		1.064	1441	FLY (MOVE THROUGH AIR)
Hale-1973-1798-64	Swadesh-100-64	walk	v	1.065	1443	WALK
Hale-1973-1798-65	Swadesh-100-65	come		1.066	1446	COME
Hale-1973-1798-66	Swadesh-100-66	lie	v	1.067	1411	LIE (REST)
Hale-1973-1798-67	Swadesh-100-67	sit		1.068	1416	SIT
Hale-1973-1798-68	Swadesh-100-68	stand	v	1.069	1442	STAND
Hale-1973-1798-69	Swadesh-100-69	give		1.070	1447	GIVE
Hale-1973-1798-70	Swadesh-100-70	say		1.071	1458	SAY
Hale-1973-1798-71	Swadesh-100-71	sun		1.072	1343	SUN
Hale-1973-1798-72	Swadesh-100-72	moon		1.073	1313	MOON
Hale-1973-1798-73	Swadesh-100-73	star		1.074	1430	STAR
Hale-1973-1798-74	Swadesh-100-74	water	n	1.075	948	WATER
Hale-1973-1798-75	Swadesh-100-75	rain	n	1.076	658	RAIN (PRECIPITATION)
Hale-1973-1798-76	Swadesh-100-76	stone	n	1.077	857	STONE
Hale-1973-1798-77	Swadesh-100-77	sand		1.078	671	SAND
Hale-1973-1798-78	Swadesh-100-78	earth		1.079	626	LAND
Hale-1973-1798-79	Swadesh-100-79	cloud		1.080	1489	CLOUD
Hale-1973-1798-80	Swadesh-100-80	smoke	n	1.081	778	SMOKE (EXHAUST)
Hale-1973-1798-81	Swadesh-100-81	fire		1.082	221	FIRE
Hale-1973-1798-82	Swadesh-100-82	ash		1.083	646	ASH
Hale-1973-1798-83	Swadesh-100-83	burn	v	1.084	2102	BURN
Hale-1973-1798-84	Swadesh-100-84	path		1.085	2252	PATH
Hale-1973-1798-85	Swadesh-100-85	mountain		1.086	639	MOUNTAIN
Hale-1973-1798-86	Swadesh-100-86	red		1.087	156	RED
Hale-1973-1798-87	Swadesh-100-87	green		1.088	1425	GREEN
Hale-1973-1798-88	Swadesh-100-88	yellow		1.089	1424	YELLOW
Hale-1973-1798-89	Swadesh-100-89	white		1.090	1335	WHITE
Hale-1973-1798-90	Swadesh-100-90	black		1.091	163	BLACK
Hale-1973-1798-91	Swadesh-100-91	night		1.092	1233	NIGHT
Hale-1973-1798-92	Swadesh-100-92	hot		1.093	2272	HOT OR WARM
Hale-1973-1798-93	Swadesh-100-93	cold		1.094	1287	COLD
Hale-1973-1798-94	Swadesh-100-94	full		1.095	1429	FULL
Hale-1973-1798-95	Swadesh-100-95	new		1.096	1231	NEW
Hale-1973-1798-96	Swadesh-100-96	good		1.097	1035	GOOD
Hale-1973-1798-97	Swadesh-100-97	round		1.098	1395	ROUND
Hale-1973-1798-98	Swadesh-100-98	dry	adj	1.099	1398	DRY
Hale-1973-1798-99	Swadesh-100-99	name	n	1.100	1405	NAME
Hale-1973-1798-100	Human_Body-1	body	n	02a.01	1480	BODY
Hale-1973-1798-101	Human_Body-2	skeleton	n	02a.02	2668	SKELETON
Hale-1973-1798-102	Human_Body-3	marrow	n	02a.03	1835	MARROW
Hale-1973-1798-103	Human_Body-4	joint	n	02a.04	999	JOINT
Hale-1973-1798-104	Human_Body-5	nerve	n	02a.05	2626	NERVE
Hale-1973-1798-105	Human_Body-6	blood vessel	n	02a.06	525	BLOOD VESSEL
Hale-1973-1798-106	Human_Body-7	ligament	n	02a.07		
Hale-1973-1798-107	Human_Body-8	wrinkle	n	02a.08	2294	WRINKLE
Hale-1973-1798-108	Human_Body-9	body hair	n	02a.09	189	HAIR (BODY)
Hale-1973-1798-109	Human_Body-10	pubic hair	n	02a.10	36	PUBIC HAIR
Hale-1973-1798-110	Human_Body-11	eyebrow	n	02a.11	1173	EYEBROW
Hale-1973-1798-111	Human_Body-12	eyelash	n	02a.12	1540	EYELASH
Hale-1973-1798-112	Human_Body-13	beard	n	02a.13	678	BEARD
Hale-1973-1798-113	Human_Body-14	mustache	n	02a.14	1165	MOUSTACHE
Hale-1973-1798-114	Human_Body-15	skull	n	02a.15	1605	SKULL
Hale-1973-1798-115	Human_Body-16	brain	n	02a.16	1583	BRAIN
Hale-1973-1798-116	Human_Body-17	temple	n	02a.17	1604	TEMPLES
Hale-1973-1798-117	Human_Body-18	forehead	n	02a.18	123	FOREHEAD
Hale-1973-1798-118	Human_Body-19	cheek	n	02a.19	1730	CHEEK
Hale-1973-1798-119	Human_Body-20	jaw	n	02a.20	798	JAW
Hale-1973-1798-120	Human_Body-21	face	n	02a.21	1560	FACE
Hale-1973-1798-121	Human_Body-22	chin	n	02a.22	1510	CHIN
Hale-1973-1798-122	Human_Body-23	eyeball	n	02a.23	3807	EYEBALL
Hale-1973-1798-123	Human_Body-24	nostril	n	02a.24	1178	NOSTRIL
Hale-1973-1798-124	Human_Body-25	lip	n	02a.25	478	LIP
Hale-1973-1798-125	Human_Body-26	molar	n	02a.26	1049	MOLAR TOOTH
Hale-1973-1798-126	Human_Body-27	throat	n	02a.27	1346	THROAT
Hale-1973-1798-127	Human_Body-28	neck	n	02a.28	1333	NECK
Hale-1973-1798-128	Human_Body-29	shoulder	n	02a.29	1482	SHOULDER
Hale-1973-1798-129	Human_Body-30	upper back	n	02a.30	445	UPPER BACK
Hale-1973-1798-130	Human_Body-31	lower back	n	02a.31	3613	LOWER BACK
Hale-1973-1798-131	Human_Body-32	spine	n	02a.32	805	SPINE
Hale-1973-1798-132	Human_Body-33	chest	n	02a.33	1592	CHEST
Hale-1973-1798-133	Human_Body-34	rib	n	02a.34	801	RIB
Hale-1973-1798-134	Human_Body-35	nipple	n	02a.35	796	NIPPLE
Hale-1973-1798-135	Human_Body-36	lung	n	02a.36	688	LUNG
Hale-1973-1798-136	Human_Body-37	waist	n	02a.37	1681	WAIST
Hale-1973-1798-137	Human_Body-38	navel	n	02a.38	1838	NAVEL
Hale-1973-1798-138	Human_Body-39	umbilical cord	n	02a.39	2663	UMBILICAL CORD
Hale-1973-1798-139	Human_Body-40	child	n	02a.40	1304	CHILD (YOUNG HUMAN)
Hale-1973-1798-140	Human_Body-41	kidney	n	02a.41	489	KIDNEY
Hale-1973-1798-141	Human_Body-42	spleen	n	02a.42	1744	SPLEEN
Hale-1973-1798-142	Human_Body-43	intestines	n	02a.43	1991	INTESTINES
Hale-1973-1798-143	Human_Body-44	hip	n	02a.44	1745	HIP
Hale-1973-1798-144	Human_Body-45	buttock	n	02a.45	834	BUTTOCKS
Hale-1973-1798-145	Human_Body-46	rectum	n	02a.46	1935	ANUS
Hale-1973-1798-146	Human_Body-47	arm	n	02a.47	1673	ARM
Hale-1973-1798-147	Human_Body-48	shoulder blade	n	02a.48	172	SHOULDERBLADE
Hale-1973-1798-148	Human_Body-49	right arm	n	02a.49		
Hale-1973-1798-149	Human_Body-50	left arm	n	02a.50		
Hale-1973-1798-150	Human_Body-51	armpit	n	02a.51	1886	ARMPIT
Hale-1973-1798-151	Human_Body-52	elbow	n	02a.52	981	ELBOW
Hale-1973-1798-152	Human_Body-53	palm of hand	n	02a.53	1183	PALM OF HAND
Hale-1973-1798-153	Human_Body-54	finger	n	02a.54	1303	FINGER
Hale-1973-1798-154	Human_Body-55	thumb	n	02a.55	1781	THUMB
Hale-1973-1798-155	Human_Body-56	leg	n	02a.56	1297	LEG
Hale-1973-1798-156	Human_Body-57	thigh	n	02a.57	471	UPPER LEG (THIGH)
Hale-1973-1798-157	Human_Body-58	shin	n	02a.58	186	SHIN
Hale-1973-1798-158	Human_Body-59	calf	n	02a.59	1989	CALF
Hale-1973-1798-159	Human_Body-60	heel	n	02a.60	980	HEEL
Hale-1973-1798-160	Human_Body-61	sole	n	02a.61	2666	SOLE (FOOT)
Hale-1973-1798-161	Human_Body-62	toe	n	02a.62	1389	TOE
Hale-1973-1798-162	Human_Body-63	pus	n	02a.63	1808	PUS
Hale-1973-1798-163	Human_Body-64	earwax	n	02a.64	32	EARWAX
Hale-1973-1798-164	Human_Body-65	tears	n	02a.65	1651	TEAR (OF EYE)
Hale-1973-1798-165	Human_Body-66	nasal mucus	n	02a.66	208	NASAL MUCUS (SNOT)
Hale-1973-1798-166	Human_Body-67	saliva	n	02a.67	1503	SALIVA
Hale-1973-1798-167	Human_Body-68	sputum	n	02a.68	3061	PHLEGM
Hale-1973-1798-168	Human_Body-69	breath	n	02a.69	870	BREATH
Hale-1973-1798-169	Human_Body-70	vomit	n	02a.70	1278	VOMIT
Hale-1973-1798-170	Human_Body-71	bile	n	02a.71	1780	BILE
Hale-1973-1798-171	Human_Body-72	feces	n	02a.72	675	FAECES (EXCREMENT)
Hale-1973-1798-172	Human_Body-73	urine	n	02a.73	1142	URINE
Hale-1973-1798-173	Human_Body-74	sweat	n	02a.74	125	SWEAT (SUBSTANCE)
Hale-1973-1798-174	Human_Body-75	bring	v	02b1.01	692	BRING
Hale-1973-1798-175	Human_Body-76	come	v	02b1.02	1446	COME
Hale-1973-1798-176	Human_Body-77	approach	v	02b1.03	1778	APPROACH
Hale-1973-1798-177	Human_Body-78	pull	v	02b1.04	1455	PULL
Hale-1973-1798-178	Human_Body-79	go	v	02b1.05	695	GO
Hale-1973-1798-179	Human_Body-80	enter	v	02b1.06	749	ENTER
Hale-1973-1798-180	Human_Body-81	go out	v	02b1.07	1107	GO OUT
Hale-1973-1798-181	Human_Body-82	cause to go out	v	02b1.07a		
Hale-1973-1798-182	Human_Body-83	go around	v	02b1.08		
Hale-1973-1798-183	Human_Body-84	cause to go around	v	02b1.08a		
Hale-1973-1798-184	Human_Body-85	run away	v	02b1.09	2142	RUN AWAY
Hale-1973-1798-185	Human_Body-86	take	v	02b1.10	1749	TAKE
Hale-1973-1798-186	Human_Body-87	push	v	02b1.11	1452	PUSH
Hale-1973-1798-187	Human_Body-88	send	v	02b1.12	1127	SEND
Hale-1973-1798-188	Human_Body-89	ascend	v	02b1.13	705	GO UP (ASCEND)
Hale-1973-1798-189	Human_Body-90	descend	v	02b1.14	2014	GO DOWN (DESCEND)
Hale-1973-1798-190	Human_Body-91	accompany	v	02b1.15	1542	ACCOMPANY
Hale-1973-1798-191	Human_Body-92	escort	v	02b1.16		
Hale-1973-1798-192	Human_Body-93	follow	v	02b1.17	1085	FOLLOW
Hale-1973-1798-193	Human_Body-94	chase	v	02b1.18		
Hale-1973-1798-194	Human_Body-95	catch	v	02b1.19	702	CATCH
Hale-1973-1798-195	Human_Body-96	hold	v	02b1.20	1448	HOLD
Hale-1973-1798-196	Human_Body-97	draw back	v	02b1.21		
Hale-1973-1798-197	Human_Body-98	cause to draw back	v	02b1.21a		
Hale-1973-1798-198	Human_Body-99	reach for	v	02b1.22		
Hale-1973-1798-199	Human_Body-100	hold out	v	02b1.23		
Hale-1973-1798-200	Human_Body-101	draw back	v	02b1.24		
Hale-1973-1798-201	Human_Body-102	limp	v	02b1.25	366	LIMP
Hale-1973-1798-202	Human_Body-103	jump up	v	02b1.26	1829	JUMP
Hale-1973-1798-203	Human_Body-104	jump over	v	02b1.27		
Hale-1973-1798-204	Human_Body-105	jump down	v	02b1.28		
Hale-1973-1798-205	Human_Body-106	jump across	v	02b1.29		
Hale-1973-1798-206	Human_Body-107	crawl	v	02b1.30	96	CRAWL
Hale-1973-1798-207	Human_Body-108	roll over	v	02b1.31		
Hale-1973-1798-208	Human_Body-109	run	v	02b1.32	1519	RUN
Hale-1973-1798-209	Human_Body-110	stoop (bend down)	v	02b1.33	2761	BEND (ONESELF)
Hale-1973-1798-210	Human_Body-111	stamp	v	02b1.34	3618	STAMP
