ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	SWADESH_100	SWADESH_200	SWADESH_GLOSS	WIKTIONARY	SPANISH	JACHONTOV_35	OMEGAWIKI
Heggarty-2005-150-1	1493	ONE	1	one	11	109	ONE	one	uno	1	6244
Heggarty-2005-150-2	1498	TWO	2	two	12	176	TWO	two	dos	1	6248
Heggarty-2005-150-3	492	THREE	3	three	-	169	THREE	three	tres	-	156096
Heggarty-2005-150-4	1500	FOUR	4	four	-	57	FOUR	four	cuatro	-	6253
Heggarty-2005-150-5	493	FIVE	5	five	-	50	FIVE	five	cinco	-	156104
Heggarty-2005-150-6	1703	SIX	6	six	-	-	-	-	seis	-	7003
Heggarty-2005-150-7	1704	SEVEN	7	seven	-	-	-	-	siete	-	7004
Heggarty-2005-150-8	1705	EIGHT	8	eight	-	-	-	-	ocho	-	7005
Heggarty-2005-150-9	1483	NINE	9	nine	-	-	-	-	nueve	-	6193
Heggarty-2005-150-10	1515	TEN	10	ten	-	-	-	-	diez	-	6312
Heggarty-2005-150-11	1226	YEAR	11	year	-	199	YEAR	year	año	1	5478
Heggarty-2005-150-12	1019	RIGHT	12	right (hand side)	-	118	RIGHT (HAND)	right (hand side - adjective)	derecha (mano)	-	436024
Heggarty-2005-150-13	244	LEFT	13	left (hand side)	-	87	LEFT (HAND)	left (hand side - adjective)	izquierda	-	1499731
Heggarty-2005-150-14	1212	WE	14	we (inclusive)	3	182	WE	we (inclusive)	nosotros (inclusive)	-	5455
Heggarty-2005-150-15	1215	THOU	15	thou (you sg.)	2	168	THOU	thou (you sg.)	tú	1	5459
Heggarty-2005-150-16	1240	NOT	16	not	8	107	NOT	not	no	-	5495
Heggarty-2005-150-17	1236	WHAT	17	what?	7	184	WHAT	what	qué?	1	5491
Heggarty-2005-150-18	1235	WHO	18	who?	6	188	WHO	who	quién?	1	5490
Heggarty-2005-150-19	1214	THIS	19	this	4	167	THIS	this	este	1	5458
Heggarty-2005-150-20	1340	WITH	20	with	-	194	WITH (ACCOMPANYING)	with	con	-	5844
Heggarty-2005-150-21	1256	HEAD	21	head	38	68	HEAD	head	cabeza	-	5527
Heggarty-2005-150-22	1560	FACE	22	face	-	-	-	-	cara	-	6410
Heggarty-2005-150-23	123	FOREHEAD	23	forehead	-	-	-	-	frente (la)	-	1241509
Heggarty-2005-150-24	1040	HAIR	24	hair	37	65	HAIR	hair	cabello, pelo	-	446278
Heggarty-2005-150-25	1248	EYE	25	eye	40	39	EYE	eye	ojo	1	5511
Heggarty-2005-150-26	1221	NOSE	26	nose	41	106	NOSE	nose	nariz	1	5471
Heggarty-2005-150-27	1247	EAR	27	ear	39	35	EAR	ear	oreja	1	5510
Heggarty-2005-150-28	674	MOUTH	28	mouth	42	99	MOUTH	mouth	boca	-	332000
Heggarty-2005-150-29	478	LIP	29	lip	-	-	-	-	labio	-	154710
Heggarty-2005-150-30	1205	TONGUE	30	tongue	44	172	TONGUE	tongue	lengua	1	5440
Heggarty-2005-150-31	1380	TOOTH	31	tooth	43	173	TOOTH (FRONT)	tooth	diente	1	5946
Heggarty-2005-150-32	1277	HAND	32	hand	48	66	HAND	hand	mano	1	5616
Heggarty-2005-150-33	981	ELBOW	33	elbow	-	-	-	-	codo	-	422180
Heggarty-2005-150-34	1333	NECK	34	neck	50	103	NECK	neck	cuello	-	5823
Heggarty-2005-150-35	1291	BACK	35	back	-	6	BACK	back	espalda	-	5648
Heggarty-2005-150-36	1301	FOOT	36	foot	46	56	FOOT	foot	pie	-	5672
Heggarty-2005-150-37	1297	LEG	37	leg	-	88	LEG	leg	pierna	-	5665
Heggarty-2005-150-38	1371	KNEE	38	knee	47	9082,1	KNEE	knee	rodilla	-	5918
Heggarty-2005-150-39	946	BLOOD	39	blood	30	15	BLOOD	blood	sangre	1	411
Heggarty-2005-150-40	1394	BONE	40	bone	31	17	BONE	bone	hueso	1	5983
Heggarty-2005-150-41	763	SKIN	41	skin	28	137	SKIN (OF PERSON)	skin	piel	-	3430
Heggarty-2005-150-42	1258	FINGERNAIL	42	fingernail	45	9020,1	CLAW	fingernail	uña	-	5529
Heggarty-2005-150-43	1251	BELLY	43	belly (stomach)	49	10	BELLY	belly	barriga	-	5516
Heggarty-2005-150-44	1838	NAVEL	44	navel	-	-	-	-	ombligo	-	7690
