ID	NUMBER	GLOSS	OMEGAWIKI
Heggarty-2005-30b-1	1	year	5478
Heggarty-2005-30b-2	2	left (hand side)	1499731
Heggarty-2005-30b-3	3	face	6410
Heggarty-2005-30b-4	4	mouth	332000
Heggarty-2005-30b-5	5	lip	154710
Heggarty-2005-30b-6	6	neck	5823
Heggarty-2005-30b-7	7	(upper) back,shoulder	5648
	7	(upper) back,shoulder	6186
Heggarty-2005-30b-8	8	skin (human)	3430
Heggarty-2005-30b-9	9	breast	5992
Heggarty-2005-30b-10	10	bird	400
Heggarty-2005-30b-11	11	tail	5468
Heggarty-2005-30b-12	12	wing	5528
Heggarty-2005-30b-13	13	man (male adult)	6397
Heggarty-2005-30b-14	14	river	3253
Heggarty-2005-30b-15	15	stone	3633
Heggarty-2005-30b-16	16	bread	5910
Heggarty-2005-30b-17	17	branch	6343
Heggarty-2005-30b-18	18	grass	1675
Heggarty-2005-30b-19	19	rope	5465
Heggarty-2005-30b-20	20	red	1333710
Heggarty-2005-30b-21	21	straight	5994
Heggarty-2005-30b-22	22	sick (be ill)	7800
Heggarty-2005-30b-23	23	empty	6659
Heggarty-2005-30b-24	24	heavy	5451
Heggarty-2005-30b-25	25	far (away)	5997
Heggarty-2005-30b-26	26	hot	5637
Heggarty-2005-30b-27	27	walk	6054
Heggarty-2005-30b-28	28	swim	6050
Heggarty-2005-30b-29	29	think	6021
Heggarty-2005-30b-30	30	push	6068
