ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TBL_ID
Hill-2017-240-1	1	above	1741	ABOVE	731
Hill-2017-240-2	2	all	98	ALL	962
Hill-2017-240-3	3	the ant	587	ANT	365
Hill-2017-240-4	4	the armpit	1886	ARMPIT	92
Hill-2017-240-5	5	bad	1292	BAD	1053
Hill-2017-240-6	6	the bamboo	1927	BAMBOO	389
Hill-2017-240-7	7	the barley (tibetan or highland)	932	BARLEY	411
Hill-2017-240-8	8	to be alive	1422	BE ALIVE	1087
Hill-2017-240-9	9	the belly	1251	BELLY	96
Hill-2017-240-10	10	below, under	1485	BELOW OR UNDER	732
Hill-2017-240-11	11	big	1202	BIG	964
Hill-2017-240-12	12	the bird	937	BIRD	326
Hill-2017-240-13	13	to bite	1403	BITE	1753
Hill-2017-240-14	14	black	163	BLACK	1005
Hill-2017-240-15	15	the blood	946	BLOOD	129
Hill-2017-240-16	16	to blow (of wind)	175	BLOW (OF WIND)	1738
Hill-2017-240-17	17	the body hair (hair or fur)	2678	HAIR OR FUR	266
Hill-2017-240-18	18	the bone	1394	BONE	133
Hill-2017-240-19	19	the branch	1531	BRANCH	374
Hill-2017-240-20	20	the breast (female)	1402	BREAST	94
Hill-2017-240-21	21	to burn [intransitive]	1428	BURNING	1269
Hill-2017-240-22	22	to buy	1869	BUY	1516
Hill-2017-240-23	23	to chew	321	CHEW	1424
Hill-2017-240-24	24	the child (young human)	1304	CHILD (YOUNG HUMAN)	169
Hill-2017-240-25	25	the cloud	1489	CLOUD	7
Hill-2017-240-26	26	cold (of temperature)	1287	COLD	1063
Hill-2017-240-27	27	to come	1446	COME	1491
Hill-2017-240-28	28	correct (right)	1725	CORRECT (RIGHT)	1045
Hill-2017-240-29	29	to count	1420	COUNT	1640
Hill-2017-240-30	30	to cry (weep)	1420	COUNT	1485
Hill-2017-240-31	31	dark	706	DARK	1013
Hill-2017-240-32	32	the daughter	1357	DAUGHTER	222
Hill-2017-240-33	33	the dew	1977	DEW	15
Hill-2017-240-34	34	to die	1494	DIE	1651
Hill-2017-240-35	35	to dig	1418	DIG	1698
Hill-2017-240-36	36	dirty	1230	DIRTY	1086
Hill-2017-240-37	37	the dog	2009	DOG	289
Hill-2017-240-38	38	the dream	2374	DREAM	699
Hill-2017-240-39	39	to drink	1401	DRINK	1370
Hill-2017-240-40	40	dry	1398	DRY	1028
Hill-2017-240-41	41	the dust	2	DUST	45
Hill-2017-240-42	42	the ear	1247	EAR	81
Hill-2017-240-43	43	early	672	EARLY	1018
Hill-2017-240-44	44	the earth (soil)	1228	EARTH (SOIL)	40
Hill-2017-240-45	45	the earthworm	2350	EARTHWORM	363
Hill-2017-240-46	46	to eat	1336	EAT	1198
Hill-2017-240-47	47	the egg	744	EGG	450
Hill-2017-240-48	48	eight	1705	EIGHT	804
Hill-2017-240-49	49	the eye	1248	EYE	79
Hill-2017-240-50	50	far	1406	FAR	974
Hill-2017-240-51	51	the father	1217	FATHER	218
Hill-2017-240-52	52	the feather	1201	FEATHER	299
Hill-2017-240-53	53	to fight	1423	FIGHT	1234
Hill-2017-240-54	54	the fire	221	FIRE	18
Hill-2017-240-55	55	firewood	10	FIREWOOD	534
Hill-2017-240-56	56	the fish	227	FISH	351
Hill-2017-240-57	57	five	493	FIVE	801
Hill-2017-240-58	58	the flea	232	FLEA	355
Hill-2017-240-59	59	to float	1574	FLOAT	1553
Hill-2017-240-60	60	to flow	2003	FLOW	1502
Hill-2017-240-61	61	the flower	239	FLOWER	377
Hill-2017-240-62	62	to fly (move through air)	1441	FLY (MOVE THROUGH AIR)	1318
Hill-2017-240-63	63	the fog	249	FOG	16
Hill-2017-240-64	64	the foot	1301	FOOT	103
Hill-2017-240-65	65	the forest	420	FOREST	50
Hill-2017-240-66	66	four	1500	FOUR	800
Hill-2017-240-67	67	the fox	1312	FOX	325
Hill-2017-240-68	68	the frog	503	FROG	349
Hill-2017-240-69	69	the front (front side)	2194	FRONT (PART)	712
Hill-2017-240-70	70	the frost	2034	FROST	14
Hill-2017-240-71	71	the fruit	1507	FRUIT	378
Hill-2017-240-72	72	full	1429	FULL	984
Hill-2017-240-73	73	to give	1447	GIVE	1345
Hill-2017-240-74	74	the goat	1502	GOAT	276
Hill-2017-240-75	75	good	1035	GOOD	1052
Hill-2017-240-76	76	the grass	606	GRASS	436
Hill-2017-240-77	77	green	1425	GREEN	1009
Hill-2017-240-78	78	the hail	609	HAIL	13
Hill-2017-240-79	79	the hair (of the head)	1040	HAIR	75
Hill-2017-240-80	80	the hand	1277	HAND	107
Hill-2017-240-81	81	hard	1884	HARD	1034
Hill-2017-240-82	82	he or she [third person singular]	262	HE OR SHE OR IT	934
Hill-2017-240-83	83	the head	1256	HEAD	74
Hill-2017-240-84	84	to hear	1408	HEAR	1682
Hill-2017-240-85	85	the heart	1223	HEART	144
Hill-2017-240-86	86	heavy	1210	HEAVY	1014
Hill-2017-240-87	87	here	136	HERE	944
Hill-2017-240-88	88	to hide (conceal)	602	HIDE (CONCEAL)	1169
Hill-2017-240-89	89	high / tall	1265	HIGH	968
Hill-2017-240-90	90	to hold	1448	HOLD	1709
Hill-2017-240-91	91	the hoof	152	HOOF	264
Hill-2017-240-92	92	horizontal	2376	HORIZONTAL	1001
Hill-2017-240-93	93	the horn (keratinized skin)	1393	HORN (ANATOMY)	263
Hill-2017-240-94	94	the horse	615	HORSE	268
Hill-2017-240-95	95	hot	1286	HOT	1062
Hill-2017-240-96	96	the house	1252	HOUSE	494
Hill-2017-240-97	97	hundred	1634	HUNDRED	824
Hill-2017-240-98	98	to hunt	1435	HUNT	1230
Hill-2017-240-99	99	the husband	1200	HUSBAND	247
Hill-2017-240-100	100	I [first person singular]	1209	I	928
Hill-2017-240-101	101	the ice	617	ICE	17
Hill-2017-240-102	102	inside	1606	INSIDE	715
Hill-2017-240-103	103	to kill	1417	KILL	1602
Hill-2017-240-104	104	the knee	1371	KNEE	101
Hill-2017-240-105	105	the lake	624	LAKE	31
Hill-2017-240-106	106	late	477	LATE	1019
Hill-2017-240-107	107	to laugh	1355	LAUGH	1735
Hill-2017-240-108	108	the leaf	2250	LEAF (LEAFLIKE OBJECT)	376
Hill-2017-240-109	109	left	244	LEFT	710
Hill-2017-240-110	110	to lick	319	LICK	1674
Hill-2017-240-111	111	to lie down	215	LIE DOWN	1661
Hill-2017-240-112	112	light (of weight)	1052	LIGHT (WEIGHT)	1052
Hill-2017-240-113	113	the lip (the lips)	478	LIP	85
Hill-2017-240-114	114	the liver	1224	LIVER	145
Hill-2017-240-115	115	long	1203	LONG	972
Hill-2017-240-116	116	the louse	1392	LOUSE	356
Hill-2017-240-117	117	the lung	688	LUNG	143
Hill-2017-240-118	118	the man (male human)	2106	MALE PERSON	173
Hill-2017-240-119	119	many	1198	MANY	987
Hill-2017-240-120	120	the meat	634	MEAT	443
Hill-2017-240-121	121	middle	1093	MIDDLE	708
Hill-2017-240-122	122	the moon	1313	MOON	4
Hill-2017-240-123	123	morning	1339	MORNING	749
Hill-2017-240-124	124	the mosquito	1509	MOSQUITO	360
Hill-2017-240-125	125	the mother	1216	MOTHER	219
Hill-2017-240-126	126	the mountain	639	MOUNTAIN	23
Hill-2017-240-127	127	the mouse or rat	2139	MUROID (MOUSE OR RAT)	320
Hill-2017-240-128	128	the mouth	674	MOUTH	84
Hill-2017-240-129	129	the mud	640	MUD	46
Hill-2017-240-130	130	the nail (fingernail or claw)	2128	CLAW OR NAIL	113
Hill-2017-240-131	131	the name	1405	NAME	687
Hill-2017-240-132	132	narrow	1267	NARROW	977
Hill-2017-240-133	133	near	1942	NEAR	975
Hill-2017-240-134	134	the neck	1333	NECK	89
Hill-2017-240-135	135	the needle (for sewing)	1382	NEEDLE (FOR SEWING)	578
Hill-2017-240-136	136	new	1231	NEW	1050
Hill-2017-240-137	137	nine	1483	NINE	805
Hill-2017-240-138	138	the nit	267	NIT	357
Hill-2017-240-139	139	noon	12	MIDDAY	750
Hill-2017-240-140	140	the nose	1221	NOSE	80
Hill-2017-240-141	141	old (of person)	2112	OLD (AGED)	1058
Hill-2017-240-142	142	one	1493	ONE	797
Hill-2017-240-143	143	the otter	15	OTTER	317
Hill-2017-240-144	144	outside	762	OUTSIDE	714
Hill-2017-240-145	145	the pig	1337	PIG	284
Hill-2017-240-146	146	to plant (vegetals, rice)	1486	PLANT (SOMETHING)	1774
Hill-2017-240-147	147	to play	1413	PLAY	1703
Hill-2017-240-148	148	to pull	1455	PULL	1568
Hill-2017-240-149	149	to push	1452	PUSH	1689
Hill-2017-240-150	150	the rain	658	RAIN (PRECIPITATION)	10
Hill-2017-240-151	151	the rainbow	1733	RAINBOW	11
Hill-2017-240-152	152	red	156	RED	1007
Hill-2017-240-153	153	to reside (live)	363	RESIDE	1452
Hill-2017-240-154	154	the rice plant	2026	RICE PLANT	439
Hill-2017-240-155	155	right	1019	RIGHT	711
Hill-2017-240-156	156	the river	666	RIVER	30
Hill-2017-240-157	157	the road	667	ROAD	38
Hill-2017-240-158	158	the root	670	ROOT	375
Hill-2017-240-159	159	the rope	1218	ROPE	619
