ID	NUMBER	ENGLISH	GLOSSES_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Holm-2017-100-1	1	I (PrsPrn 1Sg)	I (PPr) // I (PrsPrn 1Sg)	1209	I
Holm-2017-100-2	2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	1213	YOU
Holm-2017-100-3	3	we incl	we incl	1131	WE (INCLUSIVE)
Holm-2017-100-4	4	this	this // this [amb]	1214	THIS
Holm-2017-100-5	5	that	that [cf “all”!] // that [amb, often undecidable] // that	78	THAT
Holm-2017-100-6	6	who (intpron) [uninformative]	who (intpron) [uninformative]	1235	WHO
Holm-2017-100-7	7	what (Intpron) [uninformative]	what (Intpron) [uninformative] // what (Intpron)	1236	WHAT
Holm-2017-100-8	8	not	not (‘comparable’) // not	1240	NOT
Holm-2017-100-9	9	all (of a no.)	all (of a no.)	2650	ALL OR MANY
Holm-2017-100-10	10	many	many // many n [NOT: full, big, much] // many (plural!)	1198	MANY
Holm-2017-100-11	11	one	one // one (numeral)	1493	ONE
Holm-2017-100-12	12	two (num) [uninformative]	two (num) [uninformative]	1498	TWO
Holm-2017-100-13	13	big	big (large, cf many, long) // big	1202	BIG
Holm-2017-100-14	14	long	long	1203	LONG
Holm-2017-100-15	15	small	small // small [amb]	1246	SMALL
Holm-2017-100-16	16	woman	woman	962	WOMAN
Holm-2017-100-17	17	man	man (adult male human) cf person // man	1554	MAN
Holm-2017-100-18	18	person	person (human individual; cf man // person	683	PERSON
Holm-2017-100-19	19	fish	fish n // fish	227	FISH
Holm-2017-100-20	20	bird	bird (cf “fly”) // bird	937	BIRD
Holm-2017-100-21	21	dog	dog // dog n	2009	DOG
Holm-2017-100-22	22	louse	louse [Ri only i list] // louse	1392	LOUSE
Holm-2017-100-23	23	tree	tree // tree (not log) Lu~)	906	TREE
Holm-2017-100-24	24	seed	seed // seed n[not universal]	714	SEED
Holm-2017-100-25	25	leaf	leaf // leaf (of plant)	628	LEAF
Holm-2017-100-26	26	root	root	670	ROOT
Holm-2017-100-27	27	bark	bark (of tree) // bark	1204	BARK
Holm-2017-100-28	28	skin	skinn // skin // skin (human)	763	SKIN
Holm-2017-100-29	29	flesh	flesh (1955 meat, =Ri.)* // flesh	2615	FLESH OR MEAT
Holm-2017-100-30	30	blood	blood // blood n	946	BLOOD
Holm-2017-100-31	31	bone	bone (oppos. to flesh) // bone	1394	BONE
Holm-2017-100-32	32	grease, fat	grease, fat // grease n (anat! 1955 fat=Ri)	323	FAT (ORGANIC SUBSTANCE)
Holm-2017-100-33	33	egg	egg // egg [cf seed!]	744	EGG
Holm-2017-100-34	34	horn	horn // horn (anim.) [cf head]	1393	HORN (ANATOMY)
Holm-2017-100-35	35	tail	tail (cf arse!) // tail	1220	TAIL
Holm-2017-100-36	36	feather	feather (large, not down) [amb] // feather	1201	FEATHER
Holm-2017-100-37	37	hair	hair	2648	HAIR (HEAD)
Holm-2017-100-38	38	head	head // head(anat)	1256	HEAD
Holm-2017-100-39	39	ear	ear (anat) // ear	1247	EAR
Holm-2017-100-40	40	eye	eye	1248	EYE
Holm-2017-100-41	41	nose	nose	1221	NOSE
Holm-2017-100-42	42	mouth	mouth	674	MOUTH
Holm-2017-100-43	43	tooth	tooth (front? undecidable) // tooth	1380	TOOTH
Holm-2017-100-44	44	tongue	tongue (anat) // tongue	1205	TONGUE
Holm-2017-100-45	45	nail(s) (claw)	nail of digits (not followg Sw’ change to ‘claw’) // nail(s) (claw)	3306	NAIL
Holm-2017-100-46	46	foot	foot	2098	FOOT OR LEG
Holm-2017-100-47	47	knee	knee // knee (bodypt)	1371	KNEE
Holm-2017-100-48	48	hand	hand	1277	HAND
Holm-2017-100-49	49	belly	belly (abdomen, not stomach) // Belly // belly	1251	BELLY
Holm-2017-100-50	50	neck	neck // neck (not nape) [difficult]	1333	NECK
Holm-2017-100-51	51	breasts (fem)	breasts (fem, Ri. “woman’s”) // breasts (fem)	1402	BREAST
Holm-2017-100-52	52	heart	heart	1223	HEART
Holm-2017-100-53	53	liver	liver	1224	LIVER
Holm-2017-100-54	54	drink	drink // drink vt	1401	DRINK
Holm-2017-100-55	55	eat	eat v, [cf tooth] // eat	1336	EAT
Holm-2017-100-56	56	bite (v)	bite (v) // bite (v) [cf “eat”]	1403	BITE
Holm-2017-100-57	57	see	see (to look) [cf to know] // see	1409	SEE
Holm-2017-100-58	58	hear	hear (v) // hear	1408	HEAR
Holm-2017-100-59	59	know	know // know vi // know (facts)	3626	KNOW
Holm-2017-100-60	60	sleep	s(leep // sleep (v; [cf lie down] // sleep	1585	SLEEP
Holm-2017-100-61	61	die	die // die vi	1494	DIE
Holm-2017-100-62	62	kill	kill // kill v (cf die!) (Ri-L	1417	KILL
Holm-2017-100-63	63	swim	swim // swim [amb~ float]	1439	SWIM
Holm-2017-100-64	64	fly	fly // fly v	1441	FLY (MOVE THROUGH AIR)
Holm-2017-100-65	65	walk	walk (advancing foots alternatively) // walk	1443	WALK
Holm-2017-100-66	66	come	come // come vi [cf walk, go]	1446	COME
Holm-2017-100-67	67	lie	lie // lie (recline, rest)	2826	LIE (FALSEHOOD)
Holm-2017-100-68	68	sit	sit (vi) // sit	1649	SIT DOWN
Holm-2017-100-69	69	stand	stand (vi) // stand	570	STAND UP
Holm-2017-100-70	70	give	give	1447	GIVE
Holm-2017-100-71	71	say	say [undecidable!] // say	1458	SAY
Holm-2017-100-72	72	sun	sun	1343	SUN
Holm-2017-100-73	73	moon	moon	1313	MOON
Holm-2017-100-74	74	star	star	1430	STAR
Holm-2017-100-75	75	water	water n [cf rain!] // water	948	WATER
Holm-2017-100-76	76	rain	rain n // rain	1253	RAIN (RAINING)
Holm-2017-100-77	77	stone	stone // stone (opp. to sand, earth)	668	ROCK
Holm-2017-100-78	78	sand	sand // sand (as opp. to earth) // sand ?	671	SAND
Holm-2017-100-79	79	earth	earth // earth (soil! opp.to sand, stone; thus not globe, territory)	1228	EARTH (SOIL)
Holm-2017-100-80	80	cloud	cloud (not smoke, fume) // cloud	1489	CLOUD
Holm-2017-100-81	81	smoke	smoke ? // smoke (n, of fire, not cloud) // smoke	1689	SMOKE (INHALE)
Holm-2017-100-82	82	fire	fire	221	FIRE
Holm-2017-100-83	83	ash(es)	ash(es)	646	ASH
Holm-2017-100-84	84	burn	burn (i. not maintainable) // burn	2102	BURN
Holm-2017-100-85	85	path	path // path, road, (not street) [amb]	2252	PATH
Holm-2017-100-86	86	mountain	mountain [not universal, amb] // mountain	639	MOUNTAIN
Holm-2017-100-87	87	red	red	156	RED
Holm-2017-100-88	88	green	green // green [amb! cf. yellow]	1425	GREEN
Holm-2017-100-89	89	yellow	yellow [amb] // yellow	1424	YELLOW
Holm-2017-100-90	90	white	white  [amb] // white	1335	WHITE
Holm-2017-100-91	91	black	black(col) [amb] // black(col) // black	163	BLACK
Holm-2017-100-92	92	night	night	1233	NIGHT
Holm-2017-100-93	93	hot	hot // hot (vs. cold; 1952: warm) [amb]	2272	HOT OR WARM
Holm-2017-100-94	94	cold	cold	2932	COLD (CHILL)
Holm-2017-100-95	95	full	full	1429	FULL
Holm-2017-100-96	96	new	new	1231	NEW
Holm-2017-100-97	97	good	good [cf ‘big’] // good	1035	GOOD
Holm-2017-100-98	98	round	round [amb, out of 22 in WP:] // round // round ?	1395	ROUND
Holm-2017-100-99	99	dry	dry (adj) // dry	1398	DRY
Holm-2017-100-100	100	name	name // name [uninf]	1405	NAME
