ID	NUMBER	GLOSS	OMEGAWIKI
Holman-2008-40-1	1	blood	411
Holman-2008-40-2	2	fish (noun)	1460
Holman-2008-40-3	3	mountain	2421
Holman-2008-40-4	4	star	6041
Holman-2008-40-5	5	bone	5983
Holman-2008-40-6	6	full	6040
Holman-2008-40-7	7	name (noun)	5995
Holman-2008-40-8	8	stone	3633
Holman-2008-40-9	9	breast (woman’s)	5992
Holman-2008-40-10	10	hand	5616
Holman-2008-40-11	11	new	5484
Holman-2008-40-12	12	sun	5850
Holman-2008-40-13	13	come	6056
Holman-2008-40-14	14	hear	5999
Holman-2008-40-15	15	night (dark time)	5486
Holman-2008-40-16	16	tongue	5440
Holman-2008-40-17	17	die	6245
Holman-2008-40-18	18	horn (animal part)	5981
Holman-2008-40-19	19	nose	5471
Holman-2008-40-20	20	tooth	5946
Holman-2008-40-21	21	dog	966
Holman-2008-40-22	22	I	5450
Holman-2008-40-23	23	one	6244
Holman-2008-40-24	24	tree	3854
Holman-2008-40-25	25	drink (verb)	5991
Holman-2008-40-26	26	knee	5918
Holman-2008-40-27	27	path	3258
Holman-2008-40-28	28	two	6248
Holman-2008-40-29	29	ear	5510
Holman-2008-40-30	30	leaf	2124
Holman-2008-40-31	31	person	333730
Holman-2008-40-32	32	water	4118
Holman-2008-40-33	33	eye	5511
Holman-2008-40-34	34	liver	5476
Holman-2008-40-35	35	see	6003
Holman-2008-40-36	36	we	5455
Holman-2008-40-37	37	fire	1446
Holman-2008-40-38	38	louse	5980
Holman-2008-40-39	39	skin	3430
Holman-2008-40-40	40	you	5456
