ID	NUMBER	ENGLISH	SUBLIST	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	1	hair		1040	HAIR
2	2	head		1256	HEAD
3	3	mouth		674	MOUTH
4	4	nose		1221	NOSE
5	5	eye		1248	EYE
6	6	neck		1333	NECK
7	7	belly		1251	BELLY
8	8	skin		763	SKIN
9	9	knee	x	1371	KNEE
10	10	man		1554	MAN
11	11	woman		962	WOMAN
12	12	bird		937	BIRD
13	13	dog		2009	DOG
14	14	bite		1403	BITE
15	15	sit	x	1416	SIT
16	16	stand	x	1442	STAND
17	17	lie		1411	LIE (REST)
18	18	road		667	ROAD
19	19	stone		857	STONE
20	20	big		1202	BIG
21	21	small		1246	SMALL
22	22	fire		221	FIRE
23	23	smoke		778	SMOKE (EXHAUST)
24	24	ashes		646	ASH
25	25	ear		1247	EAR
26	26	tongue		1205	TONGUE
27	27	tooth		1380	TOOTH
28	28	breast		1402	BREAST
29	29	hand		1277	HAND
30	30	foot		1301	FOOT
31	31	sun		1343	SUN
32	32	moon		1313	MOON
33	33	star		1430	STAR
34	34	cloud		1489	CLOUD
35	35	rain		2108	RAINING OR RAIN
36	36	water		948	WATER
37	37	tree		906	TREE
38	38	root		670	ROOT
39	39	leaf		628	LEAF
40	40	fat		323	FAT (ORGANIC SUBSTANCE)
41	41	egg		744	EGG
42	42	eat		1336	EAT
43	43	see		1409	SEE
44	44	come		1446	COME
45	45	louse		1392	LOUSE
46	46	one		1493	ONE
47	47	two		1498	TWO
48	48	back		1291	BACK
49	49	shoulder	x	1482	SHOULDER
50	50	forehead		123	FOREHEAD
51	51	heart	x	1223	HEART
52	52	liver	x	1224	LIVER
53	53	bone		1394	BONE
54	54	blood		946	BLOOD
55	55	wing		1257	WING
56	56	fingernail		1258	FINGERNAIL
57	57	tail		1220	TAIL
58	58	father		1217	FATHER
59	59	mother		1216	MOTHER
60	60	brother		1262	BROTHER
61	61	sister	x	1263	SISTER
62	62	name		1405	NAME
63	63	pig		1337	PIG
64	64	cassowary		466	CASSOWARY
65	65	wallaby		165	WALLABY
66	66	flying fox		235	FLYING FOX
67	67	rat		1490	RAT
68	68	snake		730	SNAKE
69	69	taro		351	TARO
70	70	sugarcane		146	SUGAR CANE
71	71	yam		410	YAM
72	72	banana		868	BANANA
73	73	sweet potato		159	SWEET POTATO
74	74	axe	x	677	AXE
75	75	knife	x	1352	KNIFE
76	76	arrow	x	977	ARROW
77	77	string bag			
78	78	house		1252	HOUSE
79	79	earth		1228	EARTH (SOIL)
80	80	sand		671	SAND
81	81	mountain		639	MOUNTAIN
82	82	wind		960	WIND
83	83	vine	x	343	VINE
84	84	night	x	1233	NIGHT
85	85	yesterday	x	1174	YESTERDAY
86	86	tomorrow	x	1329	TOMORROW
87	87	white		1335	WHITE
88	88	black		163	BLACK
89	89	yellow		1424	YELLOW
90	90	good		1035	GOOD
91	91	bad	x	1292	BAD
92	92	long		1203	LONG
93	93	short		1645	SHORT
94	94	heavy		1210	HEAVY
95	95	light	x	1052	LIGHT (WEIGHT)
96	96	cold		1287	COLD
97	97	hot		1286	HOT
98	98	old		1229	OLD
99	99	new		1231	NEW
100	100	many	x	1198	MANY
101	101	what		1236	WHAT
102	102	who		1235	WHO
103	103	where	x	1237	WHERE
104	104	round	x	1395	ROUND
105	105	wet		1726	WET
106	106	dry		1398	DRY
107	107	full		1429	FULL
108	108	three		492	THREE
109	109	four		1500	FOUR
110	110	five	x	493	FIVE
111	111	ten	x	1515	TEN
112	112	say	x	1458	SAY
113	113	no	x	1269	NO
114	114	hear		1408	HEAR
115	115	drink		1401	DRINK
116	116	burn	x	2102	BURN
117	117	run	x	1519	RUN
118	118	fall down	x	1280	FALL
119	119	hit		1433	HIT
120	120	laugh	x	1355	LAUGH
121	121	dance	x	1879	DANCE
122	122	I		1209	I
123	123	thou		1215	THOU
124	124	he		1211	HE
125	125	die 		1494	DIE
126	126	we excl.		1130	WE (EXCLUSIVE)
127	127	you		1213	YOU
128	128	they		817	THEY
