ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	CHINESE	OMEGAWIKI
Hou-2004-180-1	1343	SUN	1	sun	太阳	5850
Hou-2004-180-2	1313	MOON	2	moon	月亮	5729
Hou-2004-180-3	1430	STAR	3	star	星星	6041
Hou-2004-180-4	1150	THUNDER	4	thunder	打雷	509787
Hou-2004-180-5	1654	LIGHTNING	5	lightning	闪电	6811
Hou-2004-180-6	1253	RAINING	6	rain	下雨	5523
Hou-2004-180-7	1255	SNOWING	7	snow	下雪	5525
Hou-2004-180-8	104	HAILING	8	hail	冰雹	1187180
Hou-2004-180-9	1431	FREEZE	9	freeze	结冰	6042
Hou-2004-180-10	175	BLOW	10	blow	刮风	1375415
Hou-2004-180-11	1733	RAINBOW	11	rainbow	虹	7041
Hou-2004-180-12	131	FESTIVAL	12	Dragon Boat Festival	端午节	1273978
Hou-2004-180-13	131	FESTIVAL	13	Mid-autumn Festival	中秋节	1273978
Hou-2004-180-14	131	FESTIVAL	14	New Year's Eve	除夕	1273978
Hou-2004-180-15	513	THIS YEAR	15	this year	今年	1577366
Hou-2004-180-16	515	NEXT YEAR	16	next year	明年	1577374
Hou-2004-180-17	514	LAST YEAR	17	last year	去年	1577370
Hou-2004-180-18	1329	TOMORROW	18	tomorrow	明天	5808
Hou-2004-180-19	1174	YESTERDAY	19	yesterday	昨天	525186
Hou-2004-180-20	1283	TODAY	20	today	今天	5630
Hou-2004-180-21	1699	SUNDAY	21	sunday	星期天	6993
Hou-2004-180-22	1077	WHEAT	22	wheat	麦子	466721
Hou-2004-180-23	832	BEAN	23	broad bean	蚕豆	355931
Hou-2004-180-24	1956	SUNFLOWER	24	sunflower	向日葵	894122
Hou-2004-180-25	975	SPINACH	25	spinach	菠菜	420508
Hou-2004-180-26	774	CABBAGE	26	cabbage	卷心菜	344475
Hou-2004-180-27	986	TOMATO	27	tomato	西红柿	423688
Hou-2004-180-28	1146	AUBERGINE	28	aubergine	茄子	507273
Hou-2004-180-29	159	SWEET POTATO	29	sweet potato	白薯	1336889
Hou-2004-180-30	593	POTATO	30	potato	土豆	160661
Hou-2004-180-31	864	PUMPKIN	31	pumpkin	南瓜	366683
Hou-2004-180-32	1337	PIG	32	pig	猪	5836
Hou-2004-180-33	1348	BOAR	33	male pig	公猪	5868
Hou-2004-180-34	1351	SOW, FEMALE PIG	34	female pig	母猪	5871
Hou-2004-180-35	1511	ROOSTER	35	rooster	公鸡	6308
Hou-2004-180-36	1318	CHICKEN	36	chicken	母鸡	5778
Hou-2004-180-37	1854	SPARROW	37	sparrow	麻雀	7891
Hou-2004-180-38	1491	MOUSE	38	mouse	老鼠	6237
Hou-2004-180-39	1949	BEDBUG	39	bedbug	臭虫	880112
Hou-2004-180-40	1252	HOUSE	40	house	房子	5517
Hou-2004-180-41	1450	ROOM	41	room	房间	6065
Hou-2004-180-42	1375	WINDOW	42	window	窗户	5932
Hou-2004-180-43	NAN		43	doorsills	门坎	NAN
Hou-2004-180-44	219	TOILET	44	toilet	厕所	1444087
Hou-2004-180-45	1365	KITCHEN	45	kitchen	厨房	5903
Hou-2004-180-46	1305	CHIMNEY	46	chimney	烟囱	569
Hou-2004-180-47	1775	TABLE	47	table	桌子	7196
Hou-2004-180-48	34	STAIRS	48	stairs	楼梯	1073134
Hou-2004-180-49	1256	HEAD	49	head	头	5527
Hou-2004-180-50	123	FOREHEAD	50	forehead	额头	1241509
Hou-2004-180-51	1560	FACE	51	face	脸	6410
Hou-2004-180-52	1221	NOSE	52	nose	鼻子	5471
Hou-2004-180-53	1333	NECK	53	neck	脖子	5823
Hou-2004-180-54	NAN		54	left hand	左手	NAN
Hou-2004-180-55	NAN		55	right hand	右手	NAN
Hou-2004-180-56	1473	FIST	56	fist	拳头	615259
Hou-2004-180-57	577	FOREFINGER	57	forefinger	手指	158386
Hou-2004-180-58	1896	NAIL, KERATIN	58	fingernail	指甲	828575
Hou-2004-180-59	1371	KNEE	59	knee	膝盖	5918
Hou-2004-180-60	1297	LEG	60	leg	腿	5665
Hou-2004-180-61	1217	FATHER	61	father	爸爸	5464
Hou-2004-180-62	1216	MOTHER	62	mother	妈妈	5463
Hou-2004-180-63	1383	GRANDFATHER	63	grandfather	祖父	5953
Hou-2004-180-64	1496	GRANDMOTHER	64	grandmother	祖母	6247
Hou-2004-180-65	1985	FATHER'S BROTHER	65	uncle (fathers's elder brother)	伯父	936030
Hou-2004-180-66	1272	AUNT	66	aunt (wife of father's elder brother)	伯母	5591
Hou-2004-180-67	1985	FATHER'S BROTHER	67	uncle (father's younger brother)	叔父	936030
Hou-2004-180-68	1272	AUNT	68	aunt (wife of father's younger brother)	叔母	5591
Hou-2004-180-69	1383	GRANDFATHER	69	maternal grandfather	祖父	5953
Hou-2004-180-70	1496	GRANDMOTHER	70	maternal grandmother	外祖母	6247
Hou-2004-180-71	1984	MOTHER'S BROTHER	71	uncle (mother's brother)	舅舅	936024
Hou-2004-180-72	1272	AUNT	72	aunt (wife of mother's brother)	舅母	5591
Hou-2004-180-73	1200	HUSBAND	73	husband	丈夫	5432
Hou-2004-180-74	1199	WIFE	74	wife	妻子	5429
Hou-2004-180-75	1620	SON	75	son	儿子	6634
Hou-2004-180-76	1357	DAUGHTER	76	daughter	女儿	5881
Hou-2004-180-77	1322	BREAKFAST	77	breakfast	早饭	5787
Hou-2004-180-78	768	LUNCH	78	lunch	午饭	343542
Hou-2004-180-79	1833	DINNER, SUPPER	79	supper	晚饭	7654
Hou-2004-180-80	973	NOODLE	80	noodles	面条	419869
Hou-2004-180-81	1969	MANTOU	81	steamed bun (Mantou)	馒头	910204
Hou-2004-180-82	511	BAOZI	82	steamed stuffed bun (Baozi)	包子	1577338
Hou-2004-180-83	1980	WANTON	83	dumpling won ton (Huntun)	馄饨	927319
Hou-2004-180-84	985	VINEGAR	84	vinegar	醋	423392
Hou-2004-180-85	1968	SOYA SAUCE	85	soya sauce	酱油	909894
Hou-2004-180-86	1274	SALT	86	salt	盐	5599
Hou-2004-180-87	1987	CHOPSTICKS	87	chopsticks	筷子	941235
