ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hsiu-2015-315-1	1	one	1493	ONE
Hsiu-2015-315-2	2	two	1498	TWO
Hsiu-2015-315-3	3	three	492	THREE
Hsiu-2015-315-4	4	four	1500	FOUR
Hsiu-2015-315-5	5	five	493	FIVE
Hsiu-2015-315-6	6	six	1703	SIX
Hsiu-2015-315-7	7	seven	1704	SEVEN
Hsiu-2015-315-8	8	eight	1705	EIGHT
Hsiu-2015-315-9	9	nine	1483	NINE
Hsiu-2015-315-10	10	ten	1515	TEN
Hsiu-2015-315-11	11	above	1741	ABOVE
Hsiu-2015-315-12	12	afternoon	1807	AFTERNOON
Hsiu-2015-315-13	13	you (sg.)	1215	THOU
Hsiu-2015-315-14	14	he	1211	HE
Hsiu-2015-315-15	15	ant	587	ANT
Hsiu-2015-315-16	16	ash	646	ASH
Hsiu-2015-315-17	17	autonym	3433	AUTONYM (OF PEOPLE)
Hsiu-2015-315-18	18	back	1291	BACK
Hsiu-2015-315-19	19	bamboo	1927	BAMBOO
Hsiu-2015-315-20	20	banana	868	BANANA
Hsiu-2015-315-21	21	basket	1539	BASKET
Hsiu-2015-315-22	22	bat	1793	BAT
Hsiu-2015-315-23	23	bean	832	BEAN
Hsiu-2015-315-24	24	bear	1820	BEAR
Hsiu-2015-315-25	25	bed	1663	BED
Hsiu-2015-315-26	26	bee	665	BEE
Hsiu-2015-315-27	27	belly	1251	BELLY
Hsiu-2015-315-28	28	below	1485	BELOW OR UNDER
Hsiu-2015-315-29	29	big	1202	BIG
Hsiu-2015-315-30	30	bird	937	BIRD
Hsiu-2015-315-31	31	bite	1403	BITE
Hsiu-2015-315-32	32	bitter	887	BITTER
Hsiu-2015-315-33	33	black	163	BLACK
Hsiu-2015-315-34	34	Black Hmong [autonym]		
Hsiu-2015-315-35	35	blind	1653	BLIND
Hsiu-2015-315-36	36	blood	946	BLOOD
Hsiu-2015-315-37	37	blunt	379	BLUNT
Hsiu-2015-315-38	38	boat	1844	BOAT
Hsiu-2015-315-39	39	bone	1394	BONE
Hsiu-2015-315-40	40	bowl	1530	BOWL
Hsiu-2015-315-41	41	brain	1583	BRAIN
Hsiu-2015-315-42	42	breast	1402	BREAST
Hsiu-2015-315-43	43	breathe	1407	BREATHE
Hsiu-2015-315-44	44	buffalo, water	2516	WATER BUFFALO
Hsiu-2015-315-45	45	burn	2102	BURN
Hsiu-2015-315-46	46	bury	1719	BURY
Hsiu-2015-315-47	47	butterfly	1791	BUTTERFLY
Hsiu-2015-315-48	48	buy	1869	BUY
Hsiu-2015-315-49	49	cat	1208	CAT
Hsiu-2015-315-50	50	cattle; cow	1153	CATTLE
Hsiu-2015-315-51	51	cave	1155	CAVE
Hsiu-2015-315-52	52	centipede	1974	CENTIPEDE
Hsiu-2015-315-53	53	chair	1476	CHAIR
Hsiu-2015-315-54	54	charcoal	1188	CHARCOAL
Hsiu-2015-315-55	55	cheek	1730	CHEEK
Hsiu-2015-315-56	56	chew	321	CHEW
Hsiu-2015-315-57	57	chicken	1318	CHICKEN
Hsiu-2015-315-58	58	child	2099	CHILD
Hsiu-2015-315-59	59	chili pepper	919	CHILI PEPPER
Hsiu-2015-315-60	60	chopstick	1987	CHOPSTICKS
Hsiu-2015-315-61	61	citrus fruit	1126	CITRUS FRUIT
Hsiu-2015-315-62	62	clean	704	CLEAN
Hsiu-2015-315-63	63	close, to	1046	SHUT
Hsiu-2015-315-64	64	cloud	1489	CLOUD
Hsiu-2015-315-65	65	coin	1867	COIN
Hsiu-2015-315-66	66	cold (adj.)	1287	COLD
Hsiu-2015-315-67	67	copper	1825	COPPER
Hsiu-2015-315-68	68	corn	506	MAIZE
Hsiu-2015-315-69	69	cough, to	879	COUGH
Hsiu-2015-315-70	70	cover, to	761	COVER
Hsiu-2015-315-71	71	crossbow	3193	CROSSBOW
Hsiu-2015-315-72	72	crow (bird)	913	CROW
Hsiu-2015-315-73	73	cry, to	1839	CRY
Hsiu-2015-315-74	74	cut, to	1432	CUT
Hsiu-2015-315-75	75	dark	706	DARK
Hsiu-2015-315-76	76	daughter	1357	DAUGHTER
Hsiu-2015-315-77	77	day	1225	DAY (NOT NIGHT)
Hsiu-2015-315-78	78	deaf	996	DEAF
Hsiu-2015-315-79	79	deer	1936	DEER
Hsiu-2015-315-80	80	dew	1977	DEW
Hsiu-2015-315-81	81	die	1494	DIE
Hsiu-2015-315-82	82	dig	1418	DIG
Hsiu-2015-315-83	83	dirty	1230	DIRTY
Hsiu-2015-315-84	84	dog	2009	DOG
Hsiu-2015-315-85	85	door	1567	DOOR
Hsiu-2015-315-86	86	dove	1853	DOVE
Hsiu-2015-315-87	87	dream	2374	DREAM
Hsiu-2015-315-88	88	drink water		
Hsiu-2015-315-89	89	dry	1398	DRY
Hsiu-2015-315-90	90	duck	1360	DUCK
Hsiu-2015-315-91	91	dust	2	DUST
Hsiu-2015-315-92	92	ear	1247	EAR
Hsiu-2015-315-93	93	eat	1336	EAT
Hsiu-2015-315-94	94	eat rice		
Hsiu-2015-315-95	95	egg	744	EGG
Hsiu-2015-315-96	96	elbow	981	ELBOW
Hsiu-2015-315-97	97	embers	67	EMBERS
Hsiu-2015-315-98	98	evening	1629	EVENING
Hsiu-2015-315-99	99	eye	1248	EYE
Hsiu-2015-315-100	100	face	1560	FACE
Hsiu-2015-315-101	101	fall	1280	FALL
Hsiu-2015-315-102	102	family	194	FAMILY
Hsiu-2015-315-103	103	far	1406	FAR
Hsiu-2015-315-104	104	fat		
Hsiu-2015-315-105	105	fear	1419	FEAR (BE AFRAID)
Hsiu-2015-315-106	106	field	212	FIELD
Hsiu-2015-315-107	107	fire	221	FIRE
Hsiu-2015-315-108	108	firewood	10	FIREWOOD
Hsiu-2015-315-109	109	fish	227	FISH
Hsiu-2015-315-110	110	floor	1632	FLOOR
Hsiu-2015-315-111	111	flower	239	FLOWER
Hsiu-2015-315-112	112	fly (insect)	1504	FLY (INSECT)
Hsiu-2015-315-113	113	fog	249	FOG
Hsiu-2015-315-114	114	forest	420	FOREST
Hsiu-2015-315-115	115	fox	1312	FOX
Hsiu-2015-315-116	116	fragrant	376	FRAGRANT
Hsiu-2015-315-117	117	frog	503	FROG
Hsiu-2015-315-118	118	fruit	1507	FRUIT
Hsiu-2015-315-119	119	full	1429	FULL
Hsiu-2015-315-120	120	ghost	1175	GHOST
Hsiu-2015-315-121	121	gold	1369	GOLD
Hsiu-2015-315-122	122	good	1035	GOOD
Hsiu-2015-315-123	123	grass	606	GRASS
Hsiu-2015-315-124	124	grave	1773	GRAVE
Hsiu-2015-315-125	125	green	1425	GREEN
Hsiu-2015-315-126	126	grow	479	GROW
Hsiu-2015-315-127	127	gums	139	GUMS
Hsiu-2015-315-128	128	hair, body	189	HAIR (BODY)
Hsiu-2015-315-129	129	hair, head	2648	HAIR (HEAD)
Hsiu-2015-315-130	130	happy	1495	HAPPY
Hsiu-2015-315-131	131	hat	771	HAT
Hsiu-2015-315-132	132	hay	342	HAY
Hsiu-2015-315-133	133	head	1256	HEAD
Hsiu-2015-315-134	134	hear	1408	HEAR
Hsiu-2015-315-135	135	heart	1223	HEART
Hsiu-2015-315-136	136	heavy	1210	HEAVY
Hsiu-2015-315-137	137	hen	1514	HEN
Hsiu-2015-315-138	138	hide	2486	HIDE
Hsiu-2015-315-139	139	hit	1433	HIT
Hsiu-2015-315-140	140	horse	615	HORSE
Hsiu-2015-315-141	141	hot	1286	HOT
Hsiu-2015-315-142	142	house	1252	HOUSE
Hsiu-2015-315-143	143	human, person	683	PERSON
Hsiu-2015-315-144	144	hunt, to	1435	HUNT
Hsiu-2015-315-145	145	husband	1200	HUSBAND
Hsiu-2015-315-146	146	I	1209	I
Hsiu-2015-315-147	147	insect	620	INSECT
Hsiu-2015-315-148	148	intestines	1991	INTESTINES
Hsiu-2015-315-149	149	iron	621	IRON
Hsiu-2015-315-150	150	jaw	798	JAW
Hsiu-2015-315-151	151	kill	1417	KILL
Hsiu-2015-315-152	152	knee	1371	KNEE
Hsiu-2015-315-153	153	knife	1352	KNIFE
Hsiu-2015-315-154	154	know	1410	KNOW (SOMETHING)
Hsiu-2015-315-155	155	laugh	1355	LAUGH
Hsiu-2015-315-156	156	leaf	628	LEAF
Hsiu-2015-315-157	157	left	244	LEFT
Hsiu-2015-315-158	158	leg	1297	LEG
Hsiu-2015-315-159	159	lie down	215	LIE DOWN
Hsiu-2015-315-160	160	light	630	LIGHT (RADIATION)
Hsiu-2015-315-161	161	lightning	1654	LIGHTNING
Hsiu-2015-315-162	162	light (not heavy)	1052	LIGHT (WEIGHT)
Hsiu-2015-315-163	163	lip	478	LIP
Hsiu-2015-315-164	164	live, to	1422	BE ALIVE
Hsiu-2015-315-165	165	liver	1224	LIVER
Hsiu-2015-315-166	166	long	1203	LONG
Hsiu-2015-315-167	167	look, to	1819	LOOK
Hsiu-2015-315-168	168	louse, body		BODY LOUSE
Hsiu-2015-315-169	169	louse, head	310	HEAD LOUSE
Hsiu-2015-315-170	170	male	1553	MALE
Hsiu-2015-315-171	171	market	633	MARKET
Hsiu-2015-315-172	172	meat	634	MEAT
Hsiu-2015-315-173	173	midday	12	MIDDAY
Hsiu-2015-315-174	174	millet	931	MILLET
Hsiu-2015-315-175	175	money	1559	MONEY
Hsiu-2015-315-176	176	monkey	1350	MONKEY
Hsiu-2015-315-177	177	month	1370	MONTH
Hsiu-2015-315-178	178	moon	1313	MOON
Hsiu-2015-315-179	179	morning	1339	MORNING
Hsiu-2015-315-180	180	mortar	224	MORTAR CRUSHER
Hsiu-2015-315-181	181	mosquito	1509	MOSQUITO
Hsiu-2015-315-182	182	mountain	639	MOUNTAIN
Hsiu-2015-315-183	183	mouth	674	MOUTH
Hsiu-2015-315-184	184	mud	640	MUD
Hsiu-2015-315-185	185	mushroom	641	MUSHROOM
Hsiu-2015-315-186	186	name	1405	NAME
Hsiu-2015-315-187	187	narrow	1267	NARROW
Hsiu-2015-315-188	188	navel	1838	NAVEL
Hsiu-2015-315-189	189	near	1942	NEAR
Hsiu-2015-315-190	190	neck	1333	NECK
Hsiu-2015-315-191	191	needle	1382	NEEDLE (FOR SEWING)
Hsiu-2015-315-192	192	new	1231	NEW
Hsiu-2015-315-193	193	night	1233	NIGHT
Hsiu-2015-315-194	194	nose	1221	NOSE
Hsiu-2015-315-195	195	oil	1484	OIL (ORGANIC SUBSTANCE)
Hsiu-2015-315-196	196	old (cu)	2113	OLD (USED)
Hsiu-2015-315-197	197	old (gia)	2112	OLD (AGED)
Hsiu-2015-315-198	198	open, to	1156	OPEN
Hsiu-2015-315-199	199	oven	1143	OVEN
Hsiu-2015-315-200	200	pig	1337	PIG
Hsiu-2015-315-201	201	plant, to	1486	PLANT (SOMETHING)
Hsiu-2015-315-202	202	plate	480	PLATE
Hsiu-2015-315-203	203	plow	2154	PLOUGH (INSTRUMENT)
Hsiu-2015-315-204	204	poor	1674	POOR
Hsiu-2015-315-205	205	potato	593	POTATO
Hsiu-2015-315-206	206	pound	354	POUND
Hsiu-2015-315-207	207	rain	658	RAIN (PRECIPITATION)
Hsiu-2015-315-208	208	rainbow	1733	RAINBOW
Hsiu-2015-315-209	209	rat	1490	RAT
Hsiu-2015-315-210	210	red	156	RED
Hsiu-2015-315-212	211	rice, cooked	1191	COOKED RICE
Hsiu-2015-315-213	212	rice, grain	926	RICE
Hsiu-2015-315-214	213	rice, plant	2026	RICE PLANT
Hsiu-2015-315-215	214	rich	712	RICH
Hsiu-2015-315-216	215	right	1725	CORRECT (RIGHT)
Hsiu-2015-315-217	216	right side	1019	RIGHT
Hsiu-2015-315-218	217	ripe	178	RIPE
Hsiu-2015-315-219	218	road	667	ROAD
