ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	SPANISH	GLOSS	OMEGAWIKI
Huber-1992-374-1	19f99c4f-8a24-42a1-9c6d-348f2294ff82	TONGUE	1	LENGUA	TONGUE	5440
Huber-1992-374-2	c780cfa8-2b82-4235-b292-b58476612151	MOUTH	2	BOCA	MOUTH	332000
Huber-1992-374-3	67e84fe8-47be-405e-8033-ae3eef98ed51	LIP	3	LABIO	LIP	154710
Huber-1992-374-4	930fe9a4-75f0-43b3-83af-80f7edab2d5b	TOOTH	4	DIENTE	TOOTH	5946
Huber-1992-374-5	23cad4b2-107d-4e9d-87e1-713d85f21963	NOSE	5	NARIZ	NOSE	5471
Huber-1992-374-6	95519ce3-89be-4eab-9d70-e4a66a14679a	EYE	6	OJO	EYE	5511
Huber-1992-374-7	18f41536-cbfc-4018-ab18-ff26d663e5ad	EAR	7	OREJA	EAR	5510
Huber-1992-374-8	335a32cf-241b-4aec-89a3-addb2c4f3d15	HEAD	8	CABEZA	HEAD	5527
Huber-1992-374-9	49f934b5-6b37-4ce4-8376-0d11773586f1	FOREHEAD	9	FRENTE	FOREHEAD	1241509
Huber-1992-374-10	680c0e51-ffd9-4f1e-8922-79573f551a0d	HAIR	10	CABELLO	HAIR	446278
Huber-1992-374-11	78020db1-72b3-4ef0-8300-d28f557c9a3e	CHIN	11	MENTÓN	CHIN	6306
Huber-1992-374-12	aa0b58cd-b586-4275-99ea-0a800da8ef92	BEARD	12	BARBA	BEARD	333455
Huber-1992-374-13	634d1187-3a1f-422a-b471-7bd362440466	NECK	13	CUELLO	NECK	5823
Huber-1992-374-14	adb42c2d-5489-426c-92d8-9534af7e06ca	CHEST	14	PECHO	CHEST	6532
Huber-1992-374-15	d57d9f65-33f1-4b7c-b5ec-3569fcae4f3b	BREAST	15	TETA, SENO, PECHO	WOMAN’S BREASTS	5992
Huber-1992-374-16	3105c3dd-fd8d-4a5c-b038-e89a1e39ab01	BELLY	16	VIENTRE, ABDOMEN	ABDOMEN, BELLY	5516
Huber-1992-374-17	8f757781-e96f-475b-a760-af7029ad3aae	BACK	17	ESPALDA	BACK	5648
Huber-1992-374-18	6275bacd-9264-4ed3-9d03-de86175cf79f	SHOULDER	18	HOMBRO	SHOULDER	6186
Huber-1992-374-19	bd32f65c-1521-4c5d-a925-e9e20fa3fc5d	ARM	19	BRAZO	ARM	6894
Huber-1992-374-20	ae50793e-7877-4692-a4d6-173dfeb986e2	UPPER ARM	20	BRAZO SUPERIOR	UPPER ARM	1541167
Huber-1992-374-21	a2b238f3-30d6-4b12-a164-986ff80b22a1	ELBOW	21	CODO	ELBOW	422180
Huber-1992-374-22	2dd51808-bdfd-4f54-b3fd-8379b3728b62	HAND	22	MANO	HAND	5616
Huber-1992-374-23	84fc0fdd-b842-4f6f-999c-30ad130def3c	FINGER	23	DEDO DE LA MANO	FINGER	5675
Huber-1992-374-24	d8627136-db5d-48de-a680-e9a719ff3653	NAIL, KERATIN	24	UÑA	FINGERNAIL	828575
Huber-1992-374-25	4287fc48-ffc7-47eb-b109-c271e11cb601	LEG	25	PIERNA	LEG	5665
Huber-1992-374-26	37eee5a9-d235-4a8f-84d4-aa80634cd802	THIGH	26	MUSLO	THIGH	348189
Huber-1992-374-27	3902ffeb-e290-4791-a373-7d1c320121f1	KNEE	27	RODILLA	KNEE	5918
Huber-1992-374-28	87481ecd-bd59-4a06-a5be-d52591efe15a	SHIN	28	ESPINILLA	SHIN	1398936
Huber-1992-374-29	06cd62a9-8918-44a8-969c-0fe5dfecafef	FOOT	29	PIE	FOOT	5672
Huber-1992-374-30	e11e01ff-4cc2-4481-af19-cf7605e4a440	TOE	30	DEDO DEL PIE	TOE	5969
Huber-1992-374-31	873cce95-a413-4e27-a7b1-e17570c6866d	SKIN	31	PIEL	SKIN	3430
Huber-1992-374-32	f1890d9d-8600-47a2-b9fd-1c48f9ce96df	BONE	32	HUESO	BONE	5983
Huber-1992-374-33	74c3ae87-eedb-4fb4-b783-7ec6084c0a8f	BLOOD	33	SANGRE	BLOOD	411
Huber-1992-374-34	81d67aed-f7a8-465a-b815-33c82c179698	HEART	34	CORAZÓN	HEART	5475
Huber-1992-374-35	6020200c-4321-474e-9cc7-afe2860f54e7	LUNG	35	PULMONES	LUNGS	334158
Huber-1992-374-36	9b6c3a27-bc05-4169-9c4d-fc8f5d8b2da0	PENIS	36	PENE	PENIS	5473
Huber-1992-374-37	9d6a1a71-7ad6-4d65-8163-479669e5ca64	VULVA	37	VULVA	VULVA	7687
Huber-1992-374-38	b05994fd-36af-44e5-9193-c515ae1bc5d2	MAN	38	HOMBRE	MAN	6397
Huber-1992-374-39	a961fd5e-8f66-41ae-af70-1cb3d5fadfb8	MALE	39	VARÓN	MALE	6396
Huber-1992-374-40	00068c23-9dec-44df-98ad-82ccefeb7c43	WOMAN	40	MUJER	WOMAN	4165
Huber-1992-374-41	66ddb2eb-b267-4a5f-a68c-675ef679214a	PEOPLE	41	GENTE	PEOPLE	345923
Huber-1992-374-42	89d402d6-bf71-4f5d-bb91-3cae481c5464	HUSBAND	42	MARIDO, ESPOSO	HUSBAND	5432
Huber-1992-374-43	2280db36-de00-4895-b0f4-dd16e49286b9	WIFE	43	ESPOSA	WIFE	5429
Huber-1992-374-44	312756e3-89a8-4d3b-a348-f8340f212b0f	FATHER	44	PADRE	FATHER	5464
Huber-1992-374-45	20777ac9-eb41-4985-aa65-d274ac412c38	MOTHER	45	MADRE	MOTHER	5463
Huber-1992-374-46	089d6017-9057-4bd2-81cc-bb8e8a3810cb	BABY	46	CRIATURA	BABY, INFANT	5642
Huber-1992-374-47	df3eb2a4-3b46-4ffe-8bfa-5e27ec8e00f4	OLD	47	VIEJO	OLD	5482
Huber-1992-374-48	a39512d8-34d4-4169-9610-af884b65ff3e	WATER	48	AGUA	WATER	4118
Huber-1992-374-49	a6cb03e9-20e0-48b9-b9dc-69d79ca09d80	RIVER	49	RÍO	RIVER	3253
Huber-1992-374-50	d71ec0c0-6196-49d7-98f9-a6d4316126c2	ISLAND	50	ISLA	ISLAND	2031
Huber-1992-374-51	c0a543be-2b17-4ac4-ac39-c55d6a81f8c0	LAKE	51	LAGO	LAKE	2061
Huber-1992-374-52	e118b9f1-a48d-4c0b-9259-24845b4af50d	SWAMP	52	PANTANO	SWAMP	5069
Huber-1992-374-53	93c944bc-b19a-4e5a-932f-306050cbe75e	SPRING OF WATER	53	FUENTE, OJO DE AGUA	SPRING OF WATER	3596
Huber-1992-374-54	fe9b9268-1421-4947-85e8-ab043d47edc7	WATERFALL	54	CAÍDA DE AGUA	WATERFALL	4079
