ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-1	369	abajo	down	1326	DOWN	ABAJO_DOWN
Huber-1992-375-2	140	abeja	bee	665	BEE	ABEJA_BEE
Huber-1992-375-3	170	achiote, bija	achiote	349	ACHIOTE	ACHIOTE, BIJA_ACHIOTE
Huber-1992-375-4	287	acostarse	lie down	215	LIE DOWN	ACOSTARSE_LIE DOWN
Huber-1992-375-5	339	afilado	sharp	1396	SHARP	AFILADO_SHARP
Huber-1992-375-6	48	agua	water	948	WATER	AGUA_WATER
Huber-1992-375-7	117	agutí	agouti	313	AGOUTI	AGUTÍ_AGOUTI
Huber-1992-375-8	173	ajahuasca, jajé	Banisterium	276	BANISTERIUM	AJAHUASCA, JAJÉ_BANISTERIUM
Huber-1992-375-9	171	ají	chili pepper	919	CHILI PEPPER	AJÍ_CHILI PEPPER
Huber-1992-375-10	316	ala	wing	1257	WING	ALA_WING
Huber-1992-375-11	166	algodón	cotton	1850	COTTON	ALGODÓN_COTTON
Huber-1992-375-12	306	allí	there	1937	THERE	ALLÍ_THERE
Huber-1992-375-13	296	amarillo	yellow	1424	YELLOW	AMARILLO_YELLOW
Huber-1992-375-14	123	anaconda	anaconda, water boa	896	ANACONDA (WATER BOA)	MAPANA_ANACONDA, WATER BOA
Huber-1992-375-15	330	ancho	wide	1243	WIDE	ANCHO_WIDE
Huber-1992-375-16	285	andar	walk	1443	WALK	ANDAR_WALK
Huber-1992-375-17	375	año	year	1226	YEAR	
Huber-1992-375-18	257	eso, ese, aquel	that	78	THAT	AQUEL_THAT
Huber-1992-375-19	240	antebrazo	lower arm	446	LOWER ARM	ANTEBRAZO_LOWER ARM
Huber-1992-375-20	87	anzuelo	fish hook	1074	FISHHOOK	ANZUELO_FISH HOOK
Huber-1992-375-21	367	apretar, exprimir	tighten, squeeze	1414	SQUEEZE	APRETAR, EXPRIMIR_TIGHTEN, SQUEEZE
Huber-1992-375-22	305	aquí	here	136	HERE	AQUÍ_HERE
Huber-1992-375-23	147	araña	spider	843	SPIDER	ARAÑA_SPIDER
Huber-1992-375-24	152	árbol	tree	906	TREE	ÁRBOL_TREE
Huber-1992-375-25	94	arco de cazar	bow	994	BOW	ARCO_BOW
Huber-1992-375-26	71	arco iris	rainbow	1733	RAINBOW	ARCO IRIS_RAINBOW
Huber-1992-375-27	74	arena	sand	671	SAND	ARENA_SAND
Huber-1992-375-28	100	armadillo, quinquincho, chupa	armadillo	1885	ARMADILLO	ARMADILLO, QUINQUINCHO, CHUPA_ARMADILLO
Huber-1992-375-29	370	arriba	up	1591	UP	ARRIBA_UP
