ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	RUSSIAN	SUBLIST
Jachontov-1991-100-1	646	ASH	1	ashes	пепел	Jachontov-1991-65
Jachontov-1991-100-10	1287	COLD (OF TEMPERATURE)	10	cold	холодный	Jachontov-1991-65
Jachontov-1991-100-100	1424	YELLOW	100	yellow	желты	Jachontov-1991-65
Jachontov-1991-100-11	1446	COME	11	come	приходить	Jachontov-1991-65
Jachontov-1991-100-12	1494	DIE	12	die	умирать	Jachontov-1991-35
Jachontov-1991-100-13	2009	DOG	13	dog	собака	Jachontov-1991-35
Jachontov-1991-100-14	1401	DRINK	14	drink	пить	Jachontov-1991-65
Jachontov-1991-100-15	1398	DRY	15	dry	сухой	Jachontov-1991-65
Jachontov-1991-100-16	1247	EAR	16	ear	ухо	Jachontov-1991-35
Jachontov-1991-100-17	1228	EARTH (SOIL)	17	earth	земль	Jachontov-1991-65
Jachontov-1991-100-18	1336	EAT	18	eat	есть	Jachontov-1991-65
Jachontov-1991-100-19	744	EGG	19	egg	яйцо	Jachontov-1991-35
Jachontov-1991-100-2	1251	BELLY	2	belly	живот	Jachontov-1991-65
Jachontov-1991-100-20	1248	EYE	20	eye	глаз	Jachontov-1991-35
Jachontov-1991-100-21	1406	FAR	21	far	далекий	Jachontov-1991-65
Jachontov-1991-100-22	1282	FAT (SUBSTANCE)	22	fat n.	жир	Jachontov-1991-65
Jachontov-1991-100-23	221	FIRE	23	fire	огонь	Jachontov-1991-35
Jachontov-1991-100-24	227	FISH	24	fish	перо	Jachontov-1991-35
Jachontov-1991-100-25	1441	FLY (MOVE THROUGH AIR)	25	fly v.	лететь	Jachontov-1991-65
Jachontov-1991-100-26	1301	FOOT	26	foot	нога	Jachontov-1991-65
Jachontov-1991-100-27	1429	FULL	27	full	полны	Jachontov-1991-35
Jachontov-1991-100-28	1447	GIVE	28	give	давать	Jachontov-1991-35
Jachontov-1991-100-29	1035	GOOD	29	good	хороший	Jachontov-1991-65
