ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RUSSIAN	GLOSS	OMEGAWIKI
Jachontov-1991-35-9	946	BLOOD	9	кровь	blood	411
Jachontov-1991-35-10	1394	BONE	10	кость	bone	5983
Jachontov-1991-35-17	1494	DIE	17	умереть	die	6245
Jachontov-1991-35-18	2009	DOG	18	собака	dog	966
Jachontov-1991-35-21	1247	EAR	21	ухо	ear	5510
Jachontov-1991-35-24	744	EGG	24	яйцо	egg	340828
Jachontov-1991-35-25	1248	EYE	25	глаз	eye	5511
Jachontov-1991-35-28	221	FIRE	28	огонь	fire	1446
Jachontov-1991-35-29	227	FISH	29	рыба	fish	1460
Jachontov-1991-35-32	1429	FULL	32	полный	full	6040
Jachontov-1991-35-33	1447	GIVE	33	дать	give	6059
Jachontov-1991-35-37	1277	HAND	37	рука	hand	5616
Jachontov-1991-35-41	1393	HORN, KERATINIZED SKIN	41	рог	horn	5981
Jachontov-1991-35-42	1209	I	42	я	I	5450
Jachontov-1991-35-45	1410	KNOW	45	знать	know	6004
Jachontov-1991-35-50	1392	LOUSE	50	вошь	louse	5980
Jachontov-1991-35-54	1313	MOON	54	луна	moon	5729
Jachontov-1991-35-57	1405	NAME	57	имя	name	5995
Jachontov-1991-35-59	1231	NEW	59	новый	new	5484
Jachontov-1991-35-61	1221	NOSE	61	нос	nose	5471
Jachontov-1991-35-63	1493	ONE	63	один	one	6244
Jachontov-1991-35-81	857	STONE	81	камень	stone	3633
Jachontov-1991-35-82	1343	SUN	82	солнце	sun	5850
Jachontov-1991-35-84	1220	TAIL	84	хвост	tail	5468
Jachontov-1991-35-86	1214	THIS	86	этот	this	5458
Jachontov-1991-35-87	1215	THOU	87	ты	thou	5459
Jachontov-1991-35-88	1205	TONGUE	88	язык	tongue	5440
Jachontov-1991-35-89	1380	TOOTH	89	зуб	tooth	5946
Jachontov-1991-35-91	1498	TWO	91	два	two	6248
Jachontov-1991-35-94	948	WATER	94	вода	water	4118
Jachontov-1991-35-96	1236	WHAT	96	что	what	5491
Jachontov-1991-35-98	1235	WHO	98	кто	who	5490
Jachontov-1991-35-104	1274	SALT	104	соль	salt	5599
Jachontov-1991-35-108	960	WIND	108	ветер	wind	4160
Jachontov-1991-35-110	1226	YEAR	110	год	year	5478
