ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	OMEGAWIKI
Jachontov-1991-65-1	646	ASH	1	ashes	264
Jachontov-1991-65-2	1251	BELLY	2	belly	5516
Jachontov-1991-65-3	1202	BIG	3	big	5437
Jachontov-1991-65-4	937	BIRD	4	bird	400
Jachontov-1991-65-5	163	BLACK	5	black	1341728
Jachontov-1991-65-6	1402	BREAST	6	breast	5992
Jachontov-1991-65-7	1489	CLOUD	7	cloud	623
Jachontov-1991-65-8	1287	COLD OF TEMPERATURE	8	cold	5639
Jachontov-1991-65-9	1446	COME	9	come	6056
Jachontov-1991-65-10	1401	DRINK ACTION	10	drink	5991
Jachontov-1991-65-11	1398	DRY	11	dry	5989
Jachontov-1991-65-12	1228	EARTH, SOIL	12	earth	5481
Jachontov-1991-65-13	1336	EAT	13	eat	5827
Jachontov-1991-65-14	1406	FAR	14	far	5997
Jachontov-1991-65-15	1282	FAT, SUBSTANCE	15	fat n.	5624
Jachontov-1991-65-16	1441	FLY, MOVE THROUGH AIR	16	fly v.	6052
Jachontov-1991-65-17	1301	FOOT	17	foot	5672
Jachontov-1991-65-18	1035	GOOD	18	good	443659
Jachontov-1991-65-19	1425	GREEN	19	green	6032
Jachontov-1991-65-20	1040	HAIR	20	hair	446278
Jachontov-1991-65-21	1256	HEAD	21	head	5527
Jachontov-1991-65-22	1408	HEAR	22	hear	5999
Jachontov-1991-65-23	1223	HEART	23	heart	5475
Jachontov-1991-65-24	1210	HEAVY	24	heavy	5451
Jachontov-1991-65-25	1417	KILL	25	kill	6023
Jachontov-1991-65-26	1371	KNEE	26	knee	5918
Jachontov-1991-65-27	628	LEAF	27	leaf	2124
Jachontov-1991-65-28	1224	LIVER	28	liver	5476
Jachontov-1991-65-29	1203	LONG	29	long	5438
Jachontov-1991-65-30	1554	MAN	30	man	6397
Jachontov-1991-65-31	1198	MANY	31	many	5423
Jachontov-1991-65-32	634	MEAT	32	meat	2300
Jachontov-1991-65-33	639	MOUNTAIN	33	mountain	2421
Jachontov-1991-65-34	674	MOUTH	34	mouth	332000
Jachontov-1991-65-35	1942	NEAR	35	near	869106
Jachontov-1991-65-36	1333	NECK	36	neck	5823
Jachontov-1991-65-37	1233	NIGHT	37	night	5486
Jachontov-1991-65-38	1240	NOT	38	not	5495
Jachontov-1991-65-39	683	PERSON	39	person	333730
Jachontov-1991-65-40	658	RAIN, PRECIPATION	40	rain	3100
Jachontov-1991-65-41	156	RED	41	red	1333710
Jachontov-1991-65-42	667	ROAD	42	road	3258
Jachontov-1991-65-43	670	ROOT	43	root	3269
Jachontov-1991-65-44	1395	ROUND	44	round	5984
Jachontov-1991-65-45	671	SAND	45	sand	3305
Jachontov-1991-65-46	1458	SAY	46	say	6075
Jachontov-1991-65-47	1409	SEE	47	see	6003
Jachontov-1991-65-48	1645	SHORT	48	short	6746
Jachontov-1991-65-49	1416	SIT	49	sit	6022
Jachontov-1991-65-50	763	SKIN	50	skin	3430
Jachontov-1991-65-51	1585	SLEEP	51	sleep	6519
Jachontov-1991-65-52	1246	SMALL	52	small	5509
Jachontov-1991-65-53	778	SMOKE, EXHAUST	53	smoke	3451
Jachontov-1991-65-54	730	SNAKE	54	snake	3388
Jachontov-1991-65-55	1442	STAND	55	stand	6053
Jachontov-1991-65-56	1430	STAR	56	star	6041
Jachontov-1991-65-57	1439	SWIM	57	swim	6050
Jachontov-1991-65-58	78	THAT	58	that	1149393
Jachontov-1991-65-59	1400	THIN	59	thin	5990
Jachontov-1991-65-60	906	TREE	60	tree	3854
Jachontov-1991-65-61	1443	WALK	61	walk (go)	6054
Jachontov-1991-65-62	1335	WHITE	62	white	5825
Jachontov-1991-65-63	962	WOMAN	63	woman	4165
Jachontov-1991-65-64	1219	WORM	64	worm	5466
Jachontov-1991-65-65	1424	YELLOW	65	yellow	6031
