ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	MUNSELL	LUMINANCE	A	B	SATURATION	RGB	HUE	HUE_D	WARMTH	SAT_WITZEL
Johansson-2020-11-1	1	black	163	BLACK		0	0	0	0	0, 0, 0			50	
Johansson-2020-11-2	2	blue	837	BLUE	F29	51.57	-3.41	-48.08	48.2007728153813	0, 129.20085, 205.12965	-0.940055992263306	-53.8612408626702	8.3	40
Johansson-2020-11-3	3	brown	2409	BROWN		37.6704361435912	49.692383592214	30.7308995671741	58.4270585883243	165.0003, 42.00105, 42.00105	0.553855606473604	31.7335887105961	50	
Johansson-2020-11-4	4	gray	153	GREY		50	0	0	0	118.91415, 118.91415, 118.91415			50	
Johansson-2020-11-5	5	green	1425	GREEN	F17	51.57	-63.28	28.95	69.5877927513152	0, 146.0844, 69.9567	2.37653394037964	136.165364653349	25	35
Johansson-2020-11-6	6	orange	3328	ORANGE (COLOR)		75.0298400554407	24.1364660325332	78.9978285199894	82.6028201904347	255, 165.0003, 0	1.27427088695435	73.0103437788765	91.7	
Johansson-2020-11-7	7	pink	3446	PINK		83.6413938820827	24.2093105895888	3.41149736583199	24.4484975714307	255, 191.9997, 203.0004	0.139994955093807	8.02112007999864	66.7	
Johansson-2020-11-8	8	purple	2452	PURPLE		45.4314646511811	78.4441564752268	-77.2513849469787	110.0966037684	159.99975, 31.99995, 240.0009	-0.77773739043188	-44.561070041265	41.7	
Johansson-2020-11-9	9	red	156	RED	G1	41.22	61.4	17.92	63.9616009805883	186.9966, 28.7691, 71.34135	0.699944084180676	40.1038419187024	75	65
Johansson-2020-11-10	10	white	1335	WHITE		100	0	0	0	255, 255, 255			50	
Johansson-2020-11-11	11	yellow	1424	YELLOW	C9	81.35	7.28	109.12	109.362574951397	253.8372, 193.51695, 0	1.79334199447183	102.750927506809	58.3	70
