ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Johansson-2020-344-1	1	ABOVE	1741	ABOVE
Johansson-2020-344-2	2	AFRAID	3033	SCARED
Johansson-2020-344-3	3	AFTER	1685	AFTER
Johansson-2020-344-4	4	AIR	27	AIR
Johansson-2020-344-5	5	ALL	98	ALL
Johansson-2020-344-6	6	ANGRY	1826	ANGRY
Johansson-2020-344-7	7	ANIMAL	619	ANIMAL
Johansson-2020-344-8	8	ANT	587	ANT
Johansson-2020-344-9	9	ARM (UPPER)	431	UPPER ARM
Johansson-2020-344-10	10	ARM (LOWER)	446	LOWER ARM
Johansson-2020-344-11	11	ASHES	646	ASH
Johansson-2020-344-12	12	BACK	1291	BACK
Johansson-2020-344-13	13	BAD	1292	BAD
Johansson-2020-344-14	14	BARK	1204	BARK
Johansson-2020-344-15	15	BEAUTIFUL	1427	BEAUTIFUL
Johansson-2020-344-16	16	BECAUSE	1157	BECAUSE
Johansson-2020-344-17	17	BEFORE	1882	BEFORE
Johansson-2020-344-18	18	BEHIND	1686	BEHIND
Johansson-2020-344-19	19	BELLY	1251	BELLY
Johansson-2020-344-20	20	BELOW	1485	BELOW OR UNDER
Johansson-2020-344-21	21	BESIDE	1816	BESIDE
Johansson-2020-344-22	22	BETWEEN	689	BETWEEN
Johansson-2020-344-23	23	BIG	1202	BIG
Johansson-2020-344-24	24	BIRD	937	BIRD
Johansson-2020-344-25	25	BITE	1403	BITE
Johansson-2020-344-26	26	BITTER	887	BITTER
Johansson-2020-344-27	27	BLACK	163	BLACK
Johansson-2020-344-28	28	BLOOD	946	BLOOD
Johansson-2020-344-29	29	BLOW	175	BLOW (OF WIND)
Johansson-2020-344-30	30	BLUE	837	BLUE
Johansson-2020-344-31	31	BLUNT	379	BLUNT
Johansson-2020-344-32	32	BODY	1480	BODY
Johansson-2020-344-33	33	BONE	1394	BONE
Johansson-2020-344-34	34	BOY	1366	BOY
Johansson-2020-344-35	35	BRAIN	1583	BRAIN
Johansson-2020-344-36	36	BREAST	1402	BREAST
Johansson-2020-344-37	37	BREATHE	1407	BREATHE
Johansson-2020-344-38	38	BURN	2102	BURN
Johansson-2020-344-39	39	BUTTOCKS	834	BUTTOCKS
Johansson-2020-344-40	40	CARRY	700	CARRY
Johansson-2020-344-41	41	CLEAN	704	CLEAN
Johansson-2020-344-42	42	CLOUD	1489	CLOUD
Johansson-2020-344-43	43	COLD	1287	COLD
Johansson-2020-344-44	44	COME	1446	COME
Johansson-2020-344-45	45	CORRECT	1725	CORRECT (RIGHT)
Johansson-2020-344-46	46	COUGH	879	COUGH
Johansson-2020-344-47	47	CROOKED	297	CROOKED
Johansson-2020-344-48	48	CRUSH	1520	CRUSH
Johansson-2020-344-49	49	CRY	1839	CRY
Johansson-2020-344-50	50	DARK	706	DARK
Johansson-2020-344-51	51	DAY	1225	DAY (NOT NIGHT)
Johansson-2020-344-52	52	DEEP	1593	DEEP
Johansson-2020-344-53	53	DEFECATE	676	SHIT (DEFECATE)
Johansson-2020-344-54	54	DIE	1494	DIE
Johansson-2020-344-55	55	DIRTY	1230	DIRTY
Johansson-2020-344-56	56	DO	813	DO
Johansson-2020-344-57	57	DOG	2009	DOG
Johansson-2020-344-58	58	DRINK	1401	DRINK
Johansson-2020-344-59	59	DRY	1398	DRY
