ID	Number	KBA_ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENTS	French	German	Afrikaans	Tswana	Scientific	Category	Möhlig	Swadesh	LJ
KBA-2021-912-1	1	m-k-bp-fl-fa1	Greater kudu								(Tragelaphus strepsiceros)	Fauna			
KBA-2021-912-2	2	m-k-bp-fl-fa12	Zebra (plains ~, Hartmann's mountain ~)	3675	ZEBRA						(Equus zebra zebra, Equus quagga)	Fauna			
KBA-2021-912-3	3	m-k-bp-fl-fa13	Common warthog								(Phacochoerus africanus)	Fauna			
KBA-2021-912-4	4	m-k-bp-fl-fa14	Cape porcupine								(Hystrix africae-australis)	Fauna			
KBA-2021-912-5	5	m-k-bp-fl-fa15	Ground pangolin								(Manis temminckii)	Fauna			
KBA-2021-912-6	6	m-k-bp-fl-fa16	Aardvark	181	ANTEATER						(Orycteropus afer)	Fauna			
KBA-2021-912-7	7	m-k-bp-fl-fa18	Suricate (meerkat)								(Suricata suricatta)	Fauna			
KBA-2021-912-8	8	m-k-bp-fl-fa19	Cape ground squirrel								(Xerus inauris)	Fauna			
KBA-2021-912-9	9	m-k-bp-fl-fa2	Common eland (Southern eland)								(Taurotragus oryx)	Fauna			
KBA-2021-912-10	10	m-k-bp-fl-fa20	Yellow mongoose								(Cynictis penicillata)	Fauna			
KBA-2021-912-11	11	m-k-bp-fl-fa21	Springhare								(Pedetes capensis)	Fauna			
KBA-2021-912-12	12	m-k-bp-fl-fa22	Hare (sp.)	1190	HARE						(Lepus saxatalis, L. capensis)	Fauna			
KBA-2021-912-13	13	m-k-bp-fl-fa25	Honey badger								(Mellivora capensis)	Fauna			
KBA-2021-912-14	14	m-k-bp-fl-fa26	Bat-eared fox								(Otocyon megalotis)	Fauna			
KBA-2021-912-15	15	m-k-bp-fl-fa27	Black-backed jackal								(Canis mesomelas)	Fauna			
KBA-2021-912-16	16	m-k-bp-fl-fa3	Springbok								(Antidorcas marsupialis)	Fauna			
KBA-2021-912-17	17	m-k-bp-fl-fa30	Aardwolf								(Proteles cristata)	Fauna			
KBA-2021-912-18	18	m-k-bp-fl-fa31	Small-spotted genet (Common genet)								(Genetta genetta)	Fauna			
KBA-2021-912-19	19	m-k-bp-fl-fa34	Cheetah	3146	CHEETAH						(Acinonyx jubatus)	Fauna			
KBA-2021-912-20	20	m-k-bp-fl-fa35	Caracal								(Caracal caracal)	Fauna			
KBA-2021-912-21	21	m-k-bp-fl-fa36	African wild cat								(Felis silvestris lybica)	Fauna			
KBA-2021-912-22	22	m-k-bp-fl-fa37	Ostrich	3797	OSTRICH						(Struthio camelus)	Fauna			
KBA-2021-912-23	23	m-k-bp-fl-fa38	Abdim's stork								(Ciconia abdimii)	Fauna			
KBA-2021-912-24	24	m-k-bp-fl-fa39	Secretarybird								(Sagittarius serpentarius)	Fauna			
KBA-2021-912-25	25	m-k-bp-fl-fa4	Gemsbok (oryx)								(Oryx gazella)	Fauna			
KBA-2021-912-26	26	m-k-bp-fl-fa40	Red-crested bustard (red-crested korhaan)								(Eupodotis ruficrista)	Fauna			
KBA-2021-912-27	27	m-k-bp-fl-fa41	Black bustard (black korhaan)								(Eupodotis afra)	Fauna			
KBA-2021-912-28	28	m-k-bp-fl-fa42	Kori bustard								(Ardeotis kori)	Fauna			
KBA-2021-912-29	29	m-k-bp-fl-fa45	Lanner falcon								(Falco biarmicus)	Fauna			
KBA-2021-912-30	30	m-k-bp-fl-fa46	Spotted dikkop (Cape dikkop, Cape thick-knee)								(Burhinus capensis)	Fauna			
KBA-2021-912-31	31	m-k-bp-fl-fa49	Spotted eagle-owl								(Bubo africanus)	Fauna			
KBA-2021-912-32	32	m-k-bp-fl-fa5	Steenbok								(Raphicerus campestris)	Fauna			
KBA-2021-912-33	33	m-k-bp-fl-fa50	Southern yellow-billed hornbill								(Tockus leucomelas)	Fauna			
KBA-2021-912-34	34	m-k-bp-fl-fa51	Crimson-breasted gonolek (C.-b. shrike)								(Laniarius atrococcineus)	Fauna			
KBA-2021-912-35	35	m-k-bp-fl-fa52	Southern masked weaver (African masked weaver)								(Ploceus velatus)	Fauna			
KBA-2021-912-36	36	m-k-bp-fl-fa53	Duck, teal (sp.)	1360	DUCK						(Anas sp.)	Fauna			
KBA-2021-912-37	37	m-k-bp-fl-fa54	Leopard tortoise								(Geochelone pardalis)	Fauna			
KBA-2021-912-38	38	m-k-bp-fl-fa55	Kalahari tent tortoise (Serrated tent tortoise)								(Psammobates oculiferus)	Fauna			
KBA-2021-912-39	39	m-k-bp-fl-fa56	Puff adder (African ~, Common ~)								(Bitis arietans)	Fauna			
KBA-2021-912-40	40	m-k-bp-fl-fa57	Rock monitor (White-throated monitor, legavaan)								(Varanus albigularis)	Fauna			
KBA-2021-912-41	41	m-k-bp-fl-fa58	Agama (sp.)								(Agama aculeata)	Fauna			
KBA-2021-912-42	42	m-k-bp-fl-fa59	Thick-toed gecko (sp.)								(Pachydactylus sp.)	Fauna			
KBA-2021-912-43	43	m-k-bp-fl-fa6	Common duiker (bush duiker, gray duiker)									Fauna			
KBA-2021-912-44	44	m-k-bp-fl-fa60	Chameleon (sp.)	1555	CHAMELEON						(Chamaeleo dilepis)	Fauna			
KBA-2021-912-45	45	m-k-bp-fl-fa61	African Common Toad (Guttural Toad)								(Amietophrynus gutturalis, Bufo ~)	Fauna			
KBA-2021-912-46	46	m-k-bp-fl-fa62	Millipede (sp.) (Shongololo)								(Diplopoda sp.)	Fauna			
KBA-2021-912-47	47	m-k-bp-fl-fa64	Dung beetle (sp.)								(Scarabaeidae sp.)	Fauna			
KBA-2021-912-48	48	m-k-bp-fl-fa65	Butterfly, moth (sp.)								(Lepidoptera sp.)	Fauna			
KBA-2021-912-49	49	m-k-bp-fl-fa66	Praying mantis (sp.) (Common mantid)								(Mantidae sp.)	Fauna			
KBA-2021-912-50	50	m-k-bp-fl-fa68	Paper wasp (sp.) (Social wasp)								(Vespidae)	Fauna			
KBA-2021-912-51	51	m-k-bp-fl-fa7	Red hartebeest								(Alcelaphus caama)	Fauna			
KBA-2021-912-52	52	m-k-bp-fl-fa8	Blue wildebeest								(Connochaetes taurinus)	Fauna			
KBA-2021-912-53	53	m-k-bp-fl-fa9	Hook-lipped (black)  rhinoceros (Diceros bicornis) and square-lipped (white) rhino-ceros								(Ceratotherium simum)	Fauna			
KBA-2021-912-54	54	m-k-bp-fl1-fa	Camel thorn (Giraffe thorn)								(Acacia erioloba)	Flora			
KBA-2021-912-55	55	m-k-bp-fl10-fa	Trumpet thorn								(Catophractes alexandrii)	Flora			
KBA-2021-912-56	56	m-k-bp-fl11-fa	Sickle bush								(Dichrostachys cinerea)	Flora			
KBA-2021-912-57	57	m-k-bp-fl12-fa	Wild asparagus (sandveld asparagus)								(Asparagus nelsii)	Flora			
KBA-2021-912-58	58	m-k-bp-fl13-fa	Eland's bean (Elephant's root)								(Elephantorrhiza elephantina)	Flora			
KBA-2021-912-59	59	m-k-bp-fl14-fa	Poison apple								(Solanum supinum)	Flora			
KBA-2021-912-60	60	m-k-bp-fl15-fa	Gemsbok cucumber								(Acanthosicyos naudinianus)	Flora			
KBA-2021-912-61	61	m-k-bp-fl16-fa	Wild cucumber								(Coccinea rehmannii)	Flora			
KBA-2021-912-62	62	m-k-bp-fl17-fa	Wild cucumber								(Cucumis africanus)	Flora			
KBA-2021-912-63	63	m-k-bp-fl18-fa	Gemsbok bean (Marama bean)								(Tylosema esculentum)	Flora			
KBA-2021-912-64	64	m-k-bp-fl19-fa	Tsamma melon (wild watermelon)								(Citrullus lunatus)	Flora			
KBA-2021-912-65	65	m-k-bp-fl2-fa	False umbrella thorn								(Acacia luederitzii)	Flora			
KBA-2021-912-66	66	m-k-bp-fl20-fa	Devil's claw (Grapple plant)								(Harpagophytum procumbens)	Flora			
KBA-2021-912-67	67	m-k-bp-fl21-fa	Heart-leaf twiner (Milkweed sp.)								(Pergularia daemia)	Flora			
KBA-2021-912-68	68	m-k-bp-fl22-fa	Porcupine root (Purslane sp.)								(Talinum caffrum)	Flora			
KBA-2021-912-69	69	m-k-bp-fl23-fa	Wild morning glory (Narrow-leaved pink ipomoea)								(Ipomoea bolusiana)	Flora			
KBA-2021-912-70	70	m-k-bp-fl24-fa	Zebra aloe								(Aloe zebrina)	Flora			
KBA-2021-912-71	71	m-k-bp-fl3-fa	Black thorn								(Acacia mellifera)	Flora			
KBA-2021-912-72	72	m-k-bp-fl4-fa	Candle thorn								(Acacia hebeclada)	Flora			
KBA-2021-912-73	73	m-k-bp-fl5-fa	Buffalo thorn								(Ziziphus mucronata)	Flora			
KBA-2021-912-74	74	m-k-bp-fl6-fa	Shepherd's tree								(Boscia albitrunca)	Flora			
KBA-2021-912-75	75	m-k-bp-fl7-fa	Silver cluster-leaf (Silver terminalia)								(Terminalia sericea)	Flora			
KBA-2021-912-76	76	m-k-bp-fl8-fa	Brandy bush  (Velvet raisin, wild raisin)								(Grewia flava)	Flora			
KBA-2021-912-77	77	m-k-bp-fl9-fa	Kalahari raisin (Kalahari sand raisin)								(Grewia retinervis, Grewia deserticola)	Flora			
KBA-2021-912-78	78	m-k-bp10-fl-fa	toe	1389	TOE							Body parts			
KBA-2021-912-79	79	m-k-bp101-fl-fa	hip bone	2820	HIP BONE							Body parts			
KBA-2021-912-80	80	m-k-bp102-fl-fa	anus	1935	ANUS							Body parts			
KBA-2021-912-81	81	m-k-bp103-fl-fa	buttock	834	BUTTOCKS							Body parts			
KBA-2021-912-82	82	m-k-bp104-fl-fa	penis	1222	PENIS							Body parts			
KBA-2021-912-83	83	m-k-bp105-fl-fa	vagina	1836	VAGINA							Body parts			
KBA-2021-912-84	84	m-k-bp106-fl-fa	menstruation	766	MENSTRUATION							Body parts			
KBA-2021-912-85	85	m-k-bp107-fl-fa	excrement (faeces, shit)	675	FAECES (EXCREMENT)							Body parts			
KBA-2021-912-86	86	m-k-bp109-fl-fa	pus	1808	PUS							Body parts			
KBA-2021-912-87	87	m-k-bp11-fl-fa	sole	2666	SOLE (FOOT)							Body parts			
KBA-2021-912-88	88	m-k-bp112-fl-fa	(to be) dead	1625	DEAD							Body parts			
KBA-2021-912-89	89	m-k-bp114-fl-fa	lower leg	447	LOWER LEG							Body parts			
KBA-2021-912-90	90	m-k-bp14-fl-fa	calf (of leg)	498	CALF OF LEG							Body parts			
